"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-19-23 / 12:31 AM","Terrace Level","449","12","1","641.9"
"03-19-23 / 12:31 AM","Terrace Level","407","12","5","576.24"
"03-18-23 / 09:38 PM","Field","F","1","2","1621.9"
"03-18-23 / 09:38 PM","Field","J","42","1","827.12"
"03-18-23 / 09:38 PM","Terrace Level","405","10","3","620.34"
"03-18-23 / 06:45 PM","Field","H","33","1","990.78"
"03-18-23 / 06:45 PM","Terrace Level","451","11","4","750.68"
"03-18-23 / 06:45 PM","Terrace Level","449","","3","696.78"
"03-18-23 / 06:45 PM","Terrace Level","450","13","5","565.46"
"03-18-23 / 06:45 PM","Main Level","102","27","2","639"
"03-18-23 / 03:25 PM","Club Level","Club Level","","2","585"
"03-18-23 / 03:25 PM","Field","J","19","2","855"
"03-18-23 / 03:25 PM","Field","F","18","2","720"
"03-18-23 / 03:25 PM","Loft Level","328","2A","2","843.17"
"03-18-23 / 03:25 PM","Loft Level","327","2A","2","843.17"
"03-18-23 / 12:41 PM","Club Level","219","12","1","445.5"
"03-18-23 / 12:41 PM","Main Level","128","27","1","630"
"03-18-23 / 12:40 PM","Main Level","109","22","2","654.75"
"03-18-23 / 12:40 PM","Main Level","108","13","2","697.5"
"03-18-23 / 12:40 PM","Terrace Level","447","3","2","531.42"
"03-18-23 / 12:40 PM","Terrace Level","403","14","2","426.23"
"03-18-23 / 12:40 PM","Field","C","11","2","1349.1"
"03-18-23 / 12:40 PM","Field","F","26","2","739.2"
"03-18-23 / 12:40 PM","Main Level","132","15","2","720"
"03-18-23 / 12:40 PM","Field","F","25","2","672"
"03-18-23 / 12:40 PM","Main Level","102","","2","451.2"
"03-18-23 / 12:40 PM","Main Level","128","25","1","707.56"
"03-18-23 / 12:40 PM","Terrace Level","406","11","6","696.78"
"03-18-23 / 12:40 PM","Terrace Level","450","10","6","674.24"
"03-18-23 / 12:40 PM","Field","D","32","1","792.82"
"03-18-23 / 12:40 PM","Field","L","19","2","810"
"03-18-23 / 12:40 PM","Field","C","23","1","750"
"03-18-23 / 12:40 PM","Main Level","111","15","2","630"
"03-18-23 / 12:40 PM","Main Level","111","4","2","629.1"
"03-18-23 / 12:40 PM","Terrace Level","446","21","2","450"
"03-18-23 / 12:40 PM","Main Level","136","37","2","450"
"03-18-23 / 12:40 PM","Main Level","135","17","2","495"
"03-18-23 / 12:40 PM","Main Level","132","7","4","1028.02"
"03-18-23 / 12:40 PM","Main Level","109","4","2","744"
"03-18-23 / 12:40 PM","Field","Q","20","2","1139.28"
"03-18-23 / 12:40 PM","Ring of Honor","439","A","4","530.32"
"03-18-23 / 12:40 PM","Field","C","7","3","1546.09"
"03-18-23 / 12:40 PM","Main Level","112","24","1","1181.82"
"03-18-23 / 12:40 PM","Club Level","232","4","2","545.79"
"03-18-23 / 12:40 PM","Main Level","104","29","1","675"
"03-18-23 / 12:40 PM","Main Level","131","1","1","720"
"03-18-23 / 12:40 PM","Terrace Level","433","18","6","544.11"
"03-18-23 / 10:32 AM","Terrace Level","442","15","1","400"
"03-18-23 / 08:35 AM","Main Level","116","13","3","630"
"03-18-23 / 08:35 AM","Club Level","242","9","2","492"
"03-18-23 / 08:35 AM","Main Level","102","41","1","450"
"03-18-23 / 06:55 AM","Main Level","128","25","3","707.56"
"03-18-23 / 06:55 AM","Main Level","122","35","1","538.02"
"03-18-23 / 06:55 AM","Main Level","102","","4","456.95"
"03-18-23 / 06:55 AM","Field","H","14","2","881.02"
"03-18-23 / 06:55 AM","Field","L","5","2","1297.8"
"03-18-23 / 06:55 AM","Field","F","14","1","729.12"
"03-18-23 / 06:55 AM","Terrace Level","448","2","2","498.68"
"03-18-23 / 06:55 AM","Field","G","5","6","1536.73"
"03-18-23 / 06:55 AM","Field","M","19","2","720"
"03-18-23 / 06:55 AM","Terrace Level","403","16","6","454.09"
"03-18-23 / 06:55 AM","Terrace Level","453","7","1","398.58"
"03-18-23 / 05:06 AM","Field","N","22","1","765"
"03-18-23 / 05:06 AM","Main Level","132","23","2","799.2"
"03-18-23 / 05:06 AM","Field","H","8","1","1080"
"03-18-23 / 05:06 AM","Main Level","110","16","1","630"
"03-18-23 / 05:06 AM","Terrace Level","435","9","1","540"
"03-18-23 / 05:06 AM","Terrace Level","414","19","1","450"
"03-18-23 / 05:06 AM","Loft Level","328","4","2","765"
"03-18-23 / 05:06 AM","Main Level","135","9","1","621"
"03-18-23 / 05:06 AM","Field","N","21","2","675"
"03-18-23 / 05:06 AM","Field","P","17","6","1212.5"
"03-18-23 / 05:06 AM","Club Level","232","9","2","477"
"03-18-23 / 05:06 AM","Main Level","126","22","4","609.83"
"03-18-23 / 05:06 AM","Ring of Honor","444","A","4","533.26"
"03-18-23 / 05:06 AM","Terrace Level","448","7","2","468.85"
"03-18-23 / 05:06 AM","Main Level","118","9","2","685.02"
"03-18-23 / 05:06 AM","Ring of Honor","443","A","4","495.95"
"03-18-23 / 05:06 AM","Field","M","30","1","685.02"
"03-18-23 / 05:06 AM","Field","M","28","2","729.92"
"03-18-23 / 05:06 AM","Field","D","23","2","815.53"
"03-18-23 / 05:06 AM","Club Level","208","2","4","901.93"
"03-18-23 / 05:06 AM","Main Level","136","20","1","450"
"03-18-23 / 05:06 AM","Field","D","20","2","855"
"03-18-23 / 05:06 AM","Main Level","108","2","2","1080"
"03-18-23 / 05:06 AM","Main Level","130","30","1","540"
"03-18-23 / 05:06 AM","Field","D","9","2","1350"
"03-18-23 / 05:06 AM","Field","B","24","2","938.74"
"03-18-23 / 05:06 AM","Main Level","130","10","2","1222"
"03-18-23 / 05:06 AM","Terrace Level","451","6","1","405"
"03-18-23 / 05:06 AM","Field","G","14","3","900"
"03-18-23 / 05:06 AM","Main Level","113","30","2","585"
"03-18-23 / 05:06 AM","Ring of Honor","435","A","3","581.03"
"03-18-23 / 05:06 AM","Field","C","6","1","1530.12"
"03-18-23 / 05:06 AM","Club Level","245","7","4","540"
"03-18-23 / 05:06 AM","Main Level","136","27","2","495"
"03-18-23 / 05:06 AM","Main Level","126","3","2","589.68"
"03-18-23 / 02:25 AM","Field","L","8","1","1078"
"03-18-23 / 02:25 AM","Terrace Level","445","19","1","450"
"03-18-23 / 02:25 AM","Main Level","125","22","3","541.45"
"03-18-23 / 02:25 AM","Main Level","121","18","1","675"
"03-18-23 / 02:25 AM","Main Level","104","29","3","675"
"03-18-23 / 02:25 AM","Terrace Level","414","19","3","450"
"03-17-23 / 11:00 PM","Main Level","132","","1","498.75"
"03-17-23 / 11:00 PM","Main Level","116","38","1","540"
"03-17-23 / 11:00 PM","Club Level","214","7","1","469.8"
"03-17-23 / 11:00 PM","Main Level","135","6","2","450"
"03-17-23 / 11:00 PM","Main Level","103","37","1","359.1"
"03-17-23 / 07:04 PM","Club Level","234","4","1","360"
"03-17-23 / 07:04 PM","Club Level","213","2","2","427.23"
"03-17-23 / 07:04 PM","Field","N","18","1","665"
"03-17-23 / 07:04 PM","Main Level","127","5","1","450"
"03-17-23 / 07:04 PM","Main Level","130","","2","378.1"
"03-17-23 / 07:04 PM","Loft Level","328","2A","2","576.91"
"03-17-23 / 07:04 PM","Main Level","112","7","2","585"
"03-17-23 / 07:04 PM","Terrace Level","434","14","2","315"
"03-17-23 / 07:04 PM","Main Level","135","23","4","360"
"03-17-23 / 03:19 PM","Field","E","14","2","707.75"
"03-17-23 / 03:19 PM","Terrace Level","406","18","2","270"
"03-17-23 / 03:19 PM","Field","C","25","2","659.3"
"03-17-23 / 03:19 PM","Field","J","28","5","629.1"
"03-17-23 / 03:19 PM","Main Level","128","25","2","376.36"
"03-17-23 / 03:19 PM","Terrace Level","452","21","2","270"
"03-17-23 / 12:09 PM","Club Level","216","2","2","358.9"
"03-17-23 / 12:09 PM","Club Level","218","10","4","333.27"
"03-17-23 / 12:09 PM","Main Level","127","15","1","337.5"
"03-17-23 / 12:09 PM","Field","F","26","2","402.29"
"03-17-23 / 12:09 PM","Main Level","109","13","2","417.1"
"03-17-23 / 12:09 PM","Terrace Level","452","21","2","270"
"03-17-23 / 12:09 PM","Main Level","112","2","2","389.15"
"03-17-23 / 12:09 PM","Club Level","219","10","2","316.35"
"03-17-23 / 12:09 PM","Main Level","102","31","2","384.88"
"03-17-23 / 12:09 PM","Club Level","227","8","2","322.42"
"03-17-23 / 12:09 PM","Club Level","219","12","2","414"
"03-17-23 / 12:09 PM","Field","D","27","2","582"
"03-17-23 / 12:09 PM","Main Level","137","21","1","300.19"
"03-17-23 / 12:09 PM","Main Level","107","18","1","474.7"
"03-17-23 / 12:09 PM","Club Level","216","2","4","321.16"
"03-17-23 / 12:09 PM","Terrace Level","404","12","1","225"
"03-17-23 / 12:09 PM","Main Level","102","34","2","376.2"
"03-17-23 / 12:09 PM","Main Level","109","4","1","539"
"03-17-23 / 12:09 PM","Main Level","136","39","2","367.52"
"03-17-23 / 12:08 PM","Main Level","102","40","4","358.84"
"03-17-23 / 12:08 PM","Ring of Honor","403","A","2","270"
"03-17-23 / 12:08 PM","Terrace Level","433","17","2","270"
"03-17-23 / 12:08 PM","Terrace Level","447","3","2","273.93"
"03-17-23 / 12:08 PM","Main Level","122","29","2","337.5"
"03-17-23 / 12:08 PM","Club Level","217","2","4","303.81"
"03-17-23 / 12:08 PM","Field","P","18","2","719.1"
"03-17-23 / 12:08 PM","Main Level","110","34","2","341.72"
"03-17-23 / 12:08 PM","Main Level","122","23","3","441.77"
"03-17-23 / 12:08 PM","Ring of Honor","434","A","4","427.23"
"03-17-23 / 12:08 PM","Club Level","208","1","2","429.98"
"03-17-23 / 12:08 PM","Main Level","133","39","1","416.13"
"03-17-23 / 12:08 PM","Ring of Honor","427","A","4","362.18"
"03-17-23 / 12:08 PM","Main Level","102","41","2","324.11"
"03-17-23 / 12:08 PM","Club Level","211","4","4","363.75"
"03-17-23 / 12:08 PM","Terrace Level","437","2","2","292.5"
"03-17-23 / 12:08 PM","Terrace Level","406","8","1","224.1"
"03-17-23 / 12:08 PM","Club Level","246","1","4","315"
"03-17-23 / 12:08 PM","Club Level","221","11","2","313.95"
"03-17-23 / 12:08 PM","Club Level","218","8","6","342.93"
"03-17-23 / 12:08 PM","Main Level","105","31","2","349.05"
"03-17-23 / 12:08 PM","Field","N","23","2","569.64"
"03-17-23 / 09:36 AM","Main Level","103","14","1","378"
"03-17-23 / 09:36 AM","Main Level","116","6","2","360"
"03-17-23 / 09:36 AM","Terrace Level","408","1","1","290.03"
"03-17-23 / 09:36 AM","Main Level","133","18","1","420.3"
"03-17-23 / 09:36 AM","Main Level","131","41","2","369.32"
"03-17-23 / 09:36 AM","Terrace Level","403","22","4","223.1"
"03-17-23 / 09:36 AM","Ring of Honor","441","D","3","292.5"
"03-17-23 / 09:36 AM","Main Level","102","41","2","284.82"
"03-17-23 / 09:36 AM","Field","P","31","2","544.09"
"03-17-23 / 09:36 AM","Club Level","234","3","2","297"
"03-17-23 / 09:36 AM","Terrace Level","452","18","2","247.5"
"03-17-23 / 07:45 AM","Field","P","29","1","418.5"
"03-17-23 / 07:45 AM","Main Level","105","35","2","603.75"
"03-17-23 / 06:05 AM","Field","K","24","1","631.12"
"03-17-23 / 06:05 AM","Club Level","203","11","2","275.33"
"03-17-23 / 06:05 AM","Main Level","116","35","1","369"
"03-17-23 / 06:05 AM","Terrace Level","451","1","1","225"
"03-17-23 / 06:05 AM","Terrace Level","438","17","2","252"
"03-17-23 / 06:05 AM","Field","D","33","2","509.25"
"03-17-23 / 06:05 AM","Club Level","209","9","6","379.05"
"03-17-23 / 06:05 AM","Club Level","241","2","2","358.9"
"03-17-23 / 06:05 AM","Main Level","112","24","2","405"
"03-17-23 / 06:04 AM","Main Level","104","8","2","450"
"03-17-23 / 06:04 AM","Field","K","11","2","427.23"
"03-17-23 / 06:04 AM","Field","Q","32","2","522.17"
"03-17-23 / 06:04 AM","Ring of Honor","440","B","2","295.96"
"03-17-23 / 06:04 AM","Main Level","109","36","1","396.73"
"03-17-23 / 06:04 AM","Club Level","213","8","4","333.9"
"03-17-23 / 06:04 AM","Field","H","35","4","489.02"
"03-17-23 / 06:04 AM","Club Level","216","4","4","349.2"
"03-17-23 / 06:04 AM","Field","P","30","2","460.75"
"03-17-23 / 03:45 AM","Field","K","14","1","450"
"03-17-23 / 03:45 AM","Terrace Level","444","18","4","269.1"
"03-17-23 / 03:45 AM","Main Level","102","15","1","315"
"03-17-23 / 03:45 AM","Field","C","6","1","895.5"
"03-17-23 / 03:45 AM","Main Level","110","21","2","337.45"
"03-17-23 / 03:45 AM","Main Level","132","30","2","384.51"
"03-17-23 / 03:45 AM","Main Level","116","13","2","360"
"03-17-23 / 03:45 AM","Club Level Loft","242 A","6","1","288"
"03-17-23 / 03:45 AM","Terrace Level","437","2","2","299.61"
"03-17-23 / 03:45 AM","Field","P","29","1","584.1"
"03-17-23 / 03:45 AM","Field","Q","12","2","834.75"
