"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-24-23 / 11:45 PM","Field","A5","","2","896.28"
"03-24-23 / 11:45 PM","Field","A8","12","1","1311.3"
"03-24-23 / 11:45 PM","100-Level","127","29","1","666.4"
"03-24-23 / 07:35 PM","100-Level","126","22","1","528.65"
"03-24-23 / 07:35 PM","West 150-Suite","W1532","1","2","1080"
"03-24-23 / 07:35 PM","East 200-Suite","E2020","SRO","2","930"
"03-24-23 / 07:35 PM","Field","A10","3","2","1144.8"
"03-24-23 / 07:34 PM","100-Level","128","23","2","828.1"
"03-24-23 / 07:34 PM","100-Level","127","16","2","405"
"03-24-23 / 03:45 PM","400-Level","438","3","1","775.03"
"03-24-23 / 03:45 PM","East 200-Suite","E2010","2","2","990"
"03-24-23 / 12:19 PM","Field","B3","1","2","800.25"
"03-24-23 / 12:19 PM","Field","A7","33","2","1457"
"03-24-23 / 12:19 PM","100-Level","138","36","1","899.22"
"03-24-23 / 12:19 PM","Field","A15","18","2","855"
"03-24-23 / 12:19 PM","100-Level","C114","18","2","1033.06"
"03-24-23 / 12:19 PM","100-Level","118","35","2","764.36"
"03-24-23 / 12:19 PM","Field","A9","34","1","878.82"
"03-24-23 / 12:19 PM","400-Level","434","11","1","532.53"
"03-24-23 / 12:19 PM","Field","A11","10","2","1572.3"
"03-24-23 / 12:19 PM","100-Level","C110","18","2","1046.5"
"03-24-23 / 12:19 PM","Field","A5","","2","931"
"03-24-23 / 12:19 PM","100-Level","127","9","2","833.23"
"03-24-23 / 12:19 PM","100-Level","127","12","2","640.2"
"03-24-23 / 12:19 PM","Field","A10","17","2","865.92"
"03-24-23 / 12:19 PM","400-Level","431","5","2","449.45"
"03-24-23 / 12:19 PM","100-Level","C110","25","1","1035"
"03-24-23 / 12:19 PM","300-Level","336","8","1","658.8"
"03-24-23 / 12:19 PM","100-Level","117","32","2","843.51"
"03-24-23 / 12:19 PM","Field","B1","12","2","1115.5"
"03-24-23 / 07:53 AM","Field","A7","22","1","877.5"
"03-24-23 / 05:33 AM","West Loge","WL3","1","2","909.09"
"03-24-23 / 05:33 AM","100-Level","119","14","1","670.5"
"03-24-23 / 05:33 AM","100-Level","C134","32","2","1034.1"
"03-24-23 / 05:33 AM","100-Level","116","38","2","1357.03"
"03-24-23 / 05:33 AM","400-Level","437","5","1","646.2"
"03-24-23 / 05:33 AM","400-Level","406","7","2","720"
"03-24-23 / 05:33 AM","400-Level","410","21","2","824.5"
"03-24-23 / 05:33 AM","400-Level","415","5","2","776"
"03-24-23 / 05:33 AM","Field","B3","12","1","972"
"03-24-23 / 05:33 AM","400-Level","438","3","4","969.03"
"03-24-23 / 05:33 AM","100-Level","141","18","1","832.5"
"03-24-23 / 05:33 AM","100-Level","129","2","2","1485"
"03-24-23 / 02:09 AM","400-Level","431","2","2","670.8"
"03-24-23 / 02:09 AM","Field","B1","16","3","2231"
"03-24-23 / 02:09 AM","West Loge","WL4","1","4","1024.66"
"03-24-23 / 02:08 AM","100-Level","C114","34","4","1214.1"
"03-24-23 / 02:08 AM","100-Level","C115","25","2","899.1"
"03-24-23 / 02:08 AM","300-Level","304","1","2","775.03"
"03-24-23 / 02:08 AM","100-Level","129","35","2","675"
"03-24-23 / 02:08 AM","300-Level","306","10","2","648"
"03-24-23 / 02:08 AM","100-Level","C114","20","4","1751.01"
"03-24-23 / 02:08 AM","100-Level","138","22","1","728"
"03-24-23 / 02:08 AM","East 200-Suite","E2016","SRO","2","910"
"03-24-23 / 02:08 AM","400-Level","434","3","2","654.75"
"03-24-23 / 02:08 AM","400-Level","436","4","1","635.35"
"03-24-23 / 02:08 AM","400-Level","416","2","4","979.99"
"03-24-23 / 02:08 AM","200-Level","221","2","1","549.99"
"03-24-23 / 02:08 AM","100-Level","101","18","1","969.03"
"03-24-23 / 02:08 AM","100-Level","130","14","4","1536.95"
"03-24-23 / 02:08 AM","Field","A15","11","2","1921.5"
"03-24-23 / 02:08 AM","100-Level","100-Level","","2","882"
"03-24-23 / 02:08 AM","100-Level","140","30","1","895.5"
"03-24-23 / 02:08 AM","Field","A6","14","1","855"
"03-24-23 / 02:08 AM","Field","A1","17","2","1575"
"03-24-23 / 02:08 AM","200-Level","219","1","2","585"
"03-24-23 / 02:08 AM","200-Level","248","12","2","809.1"
"03-24-23 / 02:08 AM","Field","A7","14","1","1530"
"03-24-23 / 02:08 AM","200-Level","200-Level","4","1","720"
"03-24-23 / 02:08 AM","400-Level","442","9","2","800"
"03-24-23 / 02:08 AM","100-Level","118","14","1","684"
"03-24-23 / 02:07 AM","Field","A11","7","1","2250"
"03-24-23 / 02:07 AM","400-Level","400-Level","","3","900"
"03-23-23 / 10:00 PM","Field","B1","11","1","1800"
"03-23-23 / 10:00 PM","400-Level","413","19","2","764.36"
"03-23-23 / 10:00 PM","100-Level","118","35","2","607.5"
"03-23-23 / 10:00 PM","400-Level","431","6","1","570.36"
"03-23-23 / 10:00 PM","East 200-Suite","E2010","1","2","1237.5"
"03-23-23 / 10:00 PM","400-Level","409","15","1","628.2"
"03-23-23 / 10:00 PM","100-Level","C111","32","2","1800"
"03-23-23 / 10:00 PM","100-Level","116","6","1","900"
"03-23-23 / 10:00 PM","Field","A7","35","2","2520"
"03-23-23 / 10:00 PM","100-Level","127","26","1","824.5"
"03-23-23 / 10:00 PM","400-Level","440","6","1","576.4"
"03-23-23 / 10:00 PM","Field","A2","14","2","1709.1"
"03-23-23 / 10:00 PM","300-Level","308","1","4","994.25"
"03-23-23 / 10:00 PM","100-Level","119","34","4","941.98"
"03-23-23 / 10:00 PM","100-Level","118","18","3","630"
"03-23-23 / 10:00 PM","100-Level","127","13","2","626"
"03-23-23 / 10:00 PM","400-Level","411","2","1","649.9"
"03-23-23 / 10:00 PM","Field","A7","31","2","1450"
"03-23-23 / 10:00 PM","Field","A6","10","2","1455"
"03-23-23 / 10:00 PM","Field","A9","34","1","1001.7"
"03-23-23 / 10:00 PM","400-Level","416","5","1","540"
"03-23-23 / 10:00 PM","400-Level","409","5","1","600.43"
"03-23-23 / 10:00 PM","100-Level","117","25","2","960.45"
"03-23-23 / 10:00 PM","Field","A3","18","2","1800"
"03-23-23 / 10:00 PM","100-Level","C114","33","2","1293.01"
"03-23-23 / 10:00 PM","300-Level","306","7","3","990.89"
"03-23-23 / 10:00 PM","300-Level","345","8","2","819"
"03-23-23 / 10:00 PM","400-Level","433","8","2","585"
"03-23-23 / 09:59 PM","Field","A8","15","2","2168.1"
"03-23-23 / 09:59 PM","Field","A3","4","1","2520"
"03-23-23 / 09:59 PM","100-Level","C115","29","2","1137.5"
"03-23-23 / 09:59 PM","300-Level","316","13","1","585"
"03-23-23 / 09:59 PM","100-Level","C131","8","2","1372.5"
"03-23-23 / 09:59 PM","Field","B3","1","4","1575"
"03-23-23 / 09:59 PM","200-Level","204","16","5","1152.36"
"03-23-23 / 09:59 PM","400-Level","415","9","4","810"
"03-23-23 / 09:59 PM","300-Level","316","2","2","767.86"
"03-23-23 / 09:59 PM","Field","A6","12","2","2700"
"03-23-23 / 09:59 PM","400-Level","413","2","2","799.65"
"03-23-23 / 05:50 PM","East 200-Suite","E2010","SRO","2","900"
"03-23-23 / 05:50 PM","100-Level","118","18","2","720"
"03-23-23 / 05:50 PM","100-Level","118","8","3","711"
