"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-31-23 / 07:52 PM","Club Main","C210","8","2","1709.1"
"03-31-23 / 03:56 PM","Standing Room Only","Standing Room","","1","450"
"03-31-23 / 03:56 PM","Hall of Fame","102","11","2","569.64"
"03-31-23 / 03:56 PM","Standing Room Only","Standing Room","","3","490.5"
"03-31-23 / 10:14 AM","Club Mezzanine","C308","5","3","720"
"03-31-23 / 10:14 AM","Mezzanine","303","7","1","405"
"03-31-23 / 10:14 AM","Club Hall of Fame","C109","10","2","1219.4"
"03-31-23 / 10:14 AM","Mezzanine","319","3","1","585"
"03-31-23 / 10:14 AM","Upper Concourse","410","15","1","432"
"03-31-23 / 10:14 AM","Field","B","22","2","1139.28"
"03-31-23 / 10:14 AM","Hall of Fame","144","9","2","359.99"
"03-31-23 / 10:14 AM","Upper Concourse","404","1","2","421.53"
"03-31-23 / 10:14 AM","Hall of Fame","144","14","2","356.03"
"03-31-23 / 10:14 AM","Mezzanine","343","4","4","432"
"03-31-23 / 10:14 AM","Main","202","8","2","388"
"03-31-23 / 10:14 AM","Main","243","1","2","435.77"
"03-31-23 / 10:14 AM","Mezzanine","303","5","1","318.05"
"03-31-23 / 10:14 AM","Hall of Fame","128","2","1","619.83"
"03-31-23 / 10:14 AM","Hall of Fame","103","9","2","539.1"
"03-31-23 / 10:14 AM","Hall of Fame","143","19","1","765"
"03-31-23 / 10:14 AM","Upper Concourse","440","28","2","756.9"
"03-31-23 / 10:14 AM","Club Hall of Fame","C134","9","2","857.7"
"03-31-23 / 10:14 AM","Mezzanine","318","6","2","675"
"03-31-23 / 10:14 AM","Club Hall of Fame","C111","11","1","990"
"03-31-23 / 10:14 AM","Upper Concourse","439","25","1","699.45"
"03-31-23 / 08:25 AM","Hall of Fame","102","15","2","332.29"
"03-31-23 / 08:25 AM","Hall of Fame","102","13","1","269.99"
"03-31-23 / 06:59 AM","Upper Concourse","408","29","6","437.47"
"03-31-23 / 06:59 AM","Upper Concourse","447","22","1","319.49"
"03-31-23 / 05:26 AM","Club Hall of Fame","C135","1","2","1324.41"
"03-31-23 / 05:26 AM","Club Mezzanine","C333","3","2","732.44"
"03-31-23 / 05:26 AM","Club Mezzanine","C338","2","2","980.73"
"03-31-23 / 05:26 AM","Hall of Fame","127","2","1","625.65"
"03-31-23 / 05:26 AM","Club Hall of Fame","C135","2","2","945"
"03-31-23 / 05:26 AM","Hall of Fame","122","19","2","901.93"
"03-31-23 / 05:26 AM","Field","G","11","1","891"
"03-31-23 / 02:56 AM","Hall of Fame Suite","HF239","","5","1261"
