"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-13-23 / 06:58 PM","Lower","119","CC","2","617.11"
"04-13-23 / 03:18 PM","Lower","127","Z","1","564.2"
"04-13-23 / 03:18 PM","Upper","315","B","2","787.5"
"04-13-23 / 03:18 PM","Upper","331","T","3","742.5"
"04-13-23 / 03:18 PM","Field","G","18","2","1193.4"
"04-13-23 / 03:18 PM","Lower","118","Z","4","810"
"04-13-23 / 12:44 PM","Middle","237","E","1","1175.02"
"04-13-23 / 12:44 PM","Middle","213","Y","1","823.53"
"04-13-23 / 12:44 PM","Lower","131","C","2","765"
"04-13-23 / 12:44 PM","Upper","327","W","2","450"
"04-13-23 / 12:44 PM","Middle","227","C","1","533.5"
"04-13-23 / 12:44 PM","Middle","227","P","2","398.75"
"04-13-23 / 12:44 PM","Field","H","32","2","1044.34"
"04-13-23 / 12:44 PM","Middle","219","T","2","425.33"
"04-13-23 / 12:44 PM","Lower","115","D","2","856.52"
"04-13-23 / 12:44 PM","Lower","103","D","1","783.25"
"04-13-23 / 12:44 PM","Middle","230","V","2","648"
"04-13-23 / 12:44 PM","Middle","207","CC","1","707.13"
"04-13-23 / 12:44 PM","Middle","216","K","2","697.5"
"04-13-23 / 12:44 PM","Lower","118","D","2","666.4"
"04-13-23 / 12:44 PM","Middle","227","L","2","464.52"
"04-13-23 / 12:44 PM","Lower","119","AA","3","535.5"
"04-13-23 / 12:44 PM","Middle","227","K","3","455.71"
"04-13-23 / 12:44 PM","Lower","128","A","2","775.03"
"04-13-23 / 12:44 PM","Field","L","13","2","1241.92"
"04-13-23 / 12:44 PM","Lower","110","E","2","969.03"
"04-13-23 / 12:44 PM","Lower","145","D","4","930.41"
"04-13-23 / 12:44 PM","Lower","110","AA","2","949.4"
"04-13-23 / 12:44 PM","Lower","118","B","3","617.11"
"04-13-23 / 12:44 PM","Lower","131","B","3","806.99"
"04-13-23 / 12:44 PM","Lower","115","D","3","655.09"
"04-13-23 / 12:44 PM","Lower","103","D","1","775.03"
"04-13-23 / 12:44 PM","Lower","119","A","2","748.9"
"04-13-23 / 12:44 PM","Lower","128","D","2","645.97"
"04-13-23 / 12:44 PM","Lower","127","U","2","495"
"04-13-23 / 12:44 PM","Lower","127","V","2","712.05"
"04-13-23 / 12:44 PM","Lower","127","X","1","441.35"
"04-13-23 / 12:44 PM","Upper","315","Z","3","575.21"
"04-13-23 / 12:44 PM","Lower","127","BB","4","522.17"
"04-13-23 / 12:44 PM","Lower","118","D","1","550.65"
"04-13-23 / 12:44 PM","Middle","227","A","2","443.37"
"04-13-23 / 12:44 PM","Middle","227","B","4","451.05"
"04-13-23 / 12:44 PM","Lower","119","Z","2","436.5"
"04-13-23 / 12:44 PM","Middle","219","A","2","465.21"
"04-13-23 / 12:44 PM","Middle","219","D","4","427.22"
"04-13-23 / 12:44 PM","Lower","127","W","2","453.81"
"04-13-23 / 12:44 PM","Middle","227","C","2","436.5"
"04-13-23 / 12:44 PM","Middle","219","W","2","425.33"
"04-13-23 / 12:44 PM","Lower","134","R","2","900"
"04-13-23 / 12:44 PM","Lower","114","J","2","806.99"
"04-13-23 / 12:43 PM","Middle","218","S","2","804.6"
"04-13-23 / 12:43 PM","Middle","229","H","1","720"
"04-13-23 / 12:43 PM","Upper","306","R","1","625.5"
"04-13-23 / 12:43 PM","Upper","318","BB","2","563.4"
"04-13-23 / 12:43 PM","Lower","133","R","2","982.8"
