"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-21-23 / 11:40 AM","Upper","608","J","2","769.5"
"04-21-23 / 11:40 AM","Club","330","K","2","497.09"
"04-21-23 / 11:40 AM","Field","P","18","2","1231.91"
"04-21-23 / 11:40 AM","Club","340","G","2","1040.37"
"04-21-23 / 11:40 AM","Lower","136","D","2","1037.4"
"04-21-23 / 11:40 AM","Lower","132","L","2","1111.5"
"04-21-23 / 11:40 AM","Lower","110","J","2","1068.75"
"04-21-23 / 11:40 AM","Lower","111","U","3","855"
"04-21-23 / 11:40 AM","Upper","638","T","2","1158.52"
"04-21-23 / 11:40 AM","Club","330","E","4","518.7"
"04-21-23 / 11:40 AM","Club","311","J","2","994.18"
"04-21-23 / 11:40 AM","Lower","120","CC","2","518.7"
"04-21-23 / 11:40 AM","Club","317","L","4","497.09"
"04-21-23 / 11:40 AM","Lower","113","HH","1","519.73"
"04-21-23 / 11:40 AM","Loge","550","D","1","513"
"04-21-23 / 11:40 AM","Lower","112","V","4","561.92"
"04-21-23 / 11:40 AM","Lower","120","HH","2","505.9"
"04-21-23 / 11:40 AM","Field","N","4","2","2565"
"04-21-23 / 11:40 AM","Club","317","U","1","494.93"
"04-21-23 / 11:40 AM","Field","H","19","1","957.6"
"04-21-23 / 11:40 AM","Club","349","R","2","983.25"
"04-21-23 / 11:40 AM","Lower","136","P","2","967.58"
"04-21-23 / 11:40 AM","Club","334","G","3","919.12"
"04-21-23 / 11:40 AM","Club","332","T","1","598.5"
"04-21-23 / 11:40 AM","Upper","751","R","4","880.65"
"04-21-23 / 11:40 AM","Field","Q","20","1","1282.5"
"04-21-23 / 11:40 AM","Field","G","14","2","1713.67"
"04-21-23 / 11:40 AM","Lower","109","G","2","1111.5"
"04-21-23 / 09:14 AM","Lower","136","B","1","1037.4"
"04-21-23 / 09:14 AM","Lower","137","B","2","1145.46"
"04-21-23 / 09:14 AM","Lower","140","X","2","1267.02"
"04-21-23 / 09:14 AM","Field","P","20","2","2351.25"
"04-21-23 / 09:14 AM","Upper","633","A","1","684"
"04-21-23 / 07:25 AM","Club","336","L","2","994.18"
"04-21-23 / 06:14 AM","Lower","107","P","3","1197"
"04-21-23 / 06:14 AM","Club","330","G","2","528.94"
"04-21-23 / 06:14 AM","Loge","533","J","2","953.32"
"04-21-23 / 04:27 AM","Lower","112","H","3","428"
"04-21-23 / 04:27 AM","Lower","120","X","2","518.7"
"04-21-23 / 04:27 AM","Upper","614","Q","3","695.73"
"04-21-23 / 04:27 AM","Loge","511","K","1","537.8"
"04-21-23 / 04:27 AM","Lower","110","X","1","538.65"
"04-21-23 / 01:27 AM","Lower","125","JJ","2","1174.91"
"04-21-23 / 01:27 AM","Club","330","S","2","516.23"
"04-21-23 / 01:27 AM","Field","C","20","2","1623.64"
"04-21-23 / 01:27 AM","Lower","138","T","1","855"
"04-21-23 / 01:27 AM","Lower","126","X","1","812.25"
"04-21-23 / 01:27 AM","Lower","135","E","2","1145.45"
"04-21-23 / 01:27 AM","Club","345","R","1","850.72"
"04-21-23 / 01:27 AM","Lower","111","A","2","962.05"
"04-21-23 / 01:27 AM","Lower","107","FF","1","897.75"
"04-21-23 / 01:27 AM","Lower","110","S","1","641.25"
"04-21-23 / 01:27 AM","Lower","138","GG","2","1111.5"
"04-21-23 / 01:27 AM","Field","D","10","2","2137.5"
"04-21-23 / 01:27 AM","Lower","109","E","2","1282.5"
"04-21-23 / 01:27 AM","Field","P","11","1","3377.25"
"04-21-23 / 01:27 AM","Lower","106","Y","1","855"
"04-21-23 / 01:27 AM","Lower","124","C","1","928.87"
"04-21-23 / 01:27 AM","Lower","124","N","1","725.9"
"04-20-23 / 10:00 PM","Club","336","J","5","1294.09"
"04-20-23 / 09:59 PM","Club","330","L","1","653.34"
"04-20-23 / 09:59 PM","Lower","104","Y","1","802.63"
"04-20-23 / 09:59 PM","Lower","112","V","2","983.25"
"04-20-23 / 09:59 PM","Club","338","H","1","940.5"
"04-20-23 / 09:59 PM","Loge","508","H","4","1052.5"
"04-20-23 / 09:59 PM","Upper","632","C","2","769.5"
"04-20-23 / 09:59 PM","Lower","109","A","1","1013.65"
"04-20-23 / 09:59 PM","Upper","641","N","2","726.75"
"04-20-23 / 09:59 PM","Upper","637","A","1","623.3"
"04-20-23 / 09:59 PM","Upper","628","A","1","619.88"
"04-20-23 / 09:59 PM","Lower","104","GG","1","1282.5"
"04-20-23 / 09:59 PM","Club","349","T","2","1197.03"
"04-20-23 / 09:59 PM","Lower","136","U","2","1235.33"
"04-20-23 / 09:59 PM","Club","310","M","1","799.42"
"04-20-23 / 09:59 PM","Lower","104","V","1","1026"
"04-20-23 / 09:59 PM","Lower","125","L","1","842.18"
"04-20-23 / 09:59 PM","Field","P","13","4","1948.12"
"04-20-23 / 09:59 PM","Field","L","15","1","1238.69"
"04-20-23 / 09:59 PM","Club","317","L","1","855"
"04-20-23 / 09:59 PM","Field","B","18","3","1966.5"
"04-20-23 / 09:58 PM","Field","N","16","1","1809.86"
"04-20-23 / 09:58 PM","Field","H-ADA","C","3","1729"
"04-20-23 / 06:25 PM","Lower","111","V","1","1197"
"04-20-23 / 06:25 PM","Upper","630","S","1","610.95"
"04-20-23 / 06:25 PM","Lower","122","B","4","1296.75"
"04-20-23 / 06:25 PM","Lower","121","P","1","726.75"
"04-20-23 / 06:25 PM","Upper","639","T","2","846.86"
"04-20-23 / 06:25 PM","Lower","111","A","2","817.19"
"04-20-23 / 06:25 PM","Field","H","9","1","2302.83"
"04-20-23 / 06:25 PM","Club","311","L","2","994.18"
"04-20-23 / 06:25 PM","Club","311","J","4","1040.07"
"04-20-23 / 06:25 PM","Upper","603","L","1","812.25"
"04-20-23 / 06:25 PM","Lower","135","HH","4","1030.74"
"04-20-23 / 06:25 PM","Lower","110","R","2","1127.41"
"04-20-23 / 06:25 PM","Field","P","16","3","1815.45"
"04-20-23 / 06:25 PM","Upper","630","L","1","769.5"
"04-20-23 / 06:25 PM","Upper","745","Q","1","902.5"
"04-20-23 / 06:25 PM","Lower","103","E","1","940.5"
"04-20-23 / 06:25 PM","Field","P","28","2","1496.25"
"04-20-23 / 06:25 PM","Lower","131","G","1","1026"
"04-20-23 / 06:25 PM","Lower","139","U","4","1106.74"
"04-20-23 / 02:53 PM","Lower","127","U","5","1641.69"
"04-20-23 / 02:53 PM","Club","349","S","1","951.1"
"04-20-23 / 02:53 PM","Club","340","M","1","1026"
"04-20-23 / 02:53 PM","Lower","105","V","2","1231.2"
"04-20-23 / 02:53 PM","Lower","138","M","4","1197"
"04-20-23 / 02:53 PM","Lower","137","J","1","983.25"
"04-20-23 / 02:53 PM","Field","J","30","2","1282.5"
"04-20-23 / 02:53 PM","Lower","136","P","4","1657.78"
"04-20-23 / 02:53 PM","Upper","633","R","1","866.21"
"04-20-23 / 02:53 PM","Field","J","20","2","1226.92"
