"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-28-23 / 03:54 PM","Field Level","FLR-C","2","1","2994.88"
"04-28-23 / 01:01 PM","100-Level","134","25","4","597.86"
"04-28-23 / 01:01 PM","100-Level Club","110C","22","5","2718.42"
"04-28-23 / 01:01 PM","100-Level","133","42A","1","645.78"
"04-28-23 / 01:01 PM","100-Level","133","28","2","1172.51"
"04-28-23 / 01:01 PM","100-Level","122","18","2","1657.78"
"04-28-23 / 01:01 PM","100-Level Club","109C","20","2","1945.12"
"04-28-23 / 01:01 PM","200-Level","239","2","2","1565.63"
"04-28-23 / 01:01 PM","100-Level","134","32","3","853.22"
"04-28-23 / 01:01 PM","100-Level","117","34","1","1197.03"
"04-28-23 / 01:01 PM","100-Level","104","29","4","653.89"
"04-28-23 / 01:01 PM","Field Level","FLR-Q","17","2","1913.55"
"04-28-23 / 01:01 PM","100-Level","133","39","4","690.88"
"04-28-23 / 01:01 PM","100-Level","133","14","4","744.09"
"04-28-23 / 01:01 PM","100-Level","133","19","2","811.74"
"04-28-23 / 01:01 PM","100-Level","133","34","2","721.54"
"04-28-23 / 01:01 PM","100-Level","133","24","4","828.43"
"04-28-23 / 01:01 PM","100-Level","105","41","1","628.45"
"04-28-23 / 01:01 PM","100-Level Club","128C","18","2","2850"
"04-28-23 / 01:01 PM","300-Level","347","7","1","641.25"
"04-28-23 / 01:01 PM","100-Level","133","11","2","719.48"
"04-28-23 / 01:01 PM","100-Level","133","42A","1","653.89"
"04-28-23 / 01:01 PM","100-Level","104","39","2","636.98"
"04-28-23 / 01:01 PM","100-Level","132","20","2","1138.05"
"04-28-23 / 01:01 PM","100-Level","134","22","1","541.16"
"04-28-23 / 01:01 PM","Field Level","FLR-C","2","1","2763.58"
"04-28-23 / 01:01 PM","300-Level","344","4","2","1026"
"04-28-23 / 01:01 PM","Field Level","FLR-J","31","1","1585.17"
"04-28-23 / 01:00 PM","200-Level","239","4","2","1626.18"
"04-28-23 / 01:00 PM","100-Level","131","10","2","1558.69"
"04-28-23 / 01:00 PM","Field Level","FLR-C","3","1","2175.04"
"04-28-23 / 01:00 PM","100-Level Club","111C","32","2","2052"
"04-28-23 / 01:00 PM","Field Level","FLR-B","15","2","2650.5"
"04-28-23 / 11:04 AM","100-Level","121","46","2","1527.85"
"04-28-23 / 11:04 AM","300-Level","319","13","1","983.25"
"04-28-23 / 11:04 AM","Field Level","FLR-E","16","1","1749.93"
"04-28-23 / 11:04 AM","100-Level","133","41","4","699"
"04-28-23 / 11:04 AM","100-Level","133","15","4","721.54"
"04-28-23 / 11:04 AM","300-Level","315","20","2","1282.5"
"04-28-23 / 11:04 AM","100-Level","134","26","1","601.69"
"04-28-23 / 11:04 AM","100-Level","105","40","2","759.32"
"04-28-23 / 11:04 AM","300-Level","347","14","1","726.75"
"04-28-23 / 11:04 AM","100-Level","104","30","1","622.34"
"04-28-23 / 11:04 AM","200-Level","231","6","1","1150.95"
"04-28-23 / 11:04 AM","100-Level","104","41","4","643.98"
"04-28-23 / 11:04 AM","100-Level Club","128C","35","1","1368"
"04-28-23 / 11:04 AM","Field Level","FLR-J","34","2","1799.35"
"04-28-23 / 11:04 AM","100-Level Club","126C","8","1","1517.06"
"04-28-23 / 11:04 AM","100-Level Club","126C","5","1","1565.63"
"04-28-23 / 11:04 AM","Field Level","FLR-P","9","2","2164.63"
"04-28-23 / 11:04 AM","100-Level Club","111C","35","1","1282.5"
"04-28-23 / 11:04 AM","200-Level Club","237C","9","4","1710"
"04-28-23 / 11:04 AM","200-Level","242","5","1","837.9"
"04-28-23 / 11:04 AM","Field Level","FLR-C","20","3","2565.4"
"04-28-23 / 11:04 AM","Field Level","FLR-P","10","1","2052"
"04-28-23 / 09:37 AM","100-Level","134","34","1","559.2"
"04-28-23 / 09:37 AM","100-Level","134","36","2","653.89"
"04-28-23 / 09:37 AM","100-Level","105","13","2","680.24"
"04-28-23 / 09:37 AM","100-Level Club","109C","34","2","1710"
"04-28-23 / 09:37 AM","100-Level","133","13","2","675.88"
"04-28-23 / 09:37 AM","100-Level","105","41","4","762.13"
"04-28-23 / 09:37 AM","100-Level","121","20","2","1623.64"
"04-28-23 / 09:37 AM","100-Level","134","28","4","676.45"
"04-28-23 / 09:37 AM","100-Level","132","32","5","855"
"04-28-23 / 09:37 AM","200-Level","240","1","2","1407.01"
"04-28-23 / 09:37 AM","Field Level","FLR-L","11","1","1668.57"
"04-28-23 / 09:37 AM","100-Level","120","15","1","1440.68"
"04-28-23 / 09:37 AM","200-Level","239","1","1","1289.18"
"04-28-23 / 09:37 AM","100-Level Club","108C","21","1","1330"
"04-28-23 / 09:37 AM","200-Level Club","210C","3","2","2137.5"
"04-28-23 / 08:19 AM","100-Level","133","17","4","901.93"
"04-28-23 / 08:19 AM","100-Level","117","42","2","1603.12"
"04-28-23 / 08:19 AM","100-Level","133","34","4","721.54"
"04-28-23 / 08:19 AM","100-Level","105","14","2","654.08"
"04-28-23 / 08:19 AM","100-Level","134","35","2","632.81"
"04-28-23 / 08:19 AM","100-Level","104","25","2","649.39"
"04-28-23 / 08:19 AM","300-Level","347","8","1","631.35"
"04-28-23 / 08:19 AM","100-Level Club","110C","27","2","1881"
"04-28-23 / 08:19 AM","300-Level","312","26","1","968.68"
"04-28-23 / 07:01 AM","100-Level","105","19","2","639.46"
"04-28-23 / 07:01 AM","100-Level","104","40","2","581.4"
"04-28-23 / 06:16 AM","200-Level","243","5","4","683.14"
"04-28-23 / 06:16 AM","100-Level Club","110C","20","1","1469.79"
"04-28-23 / 06:16 AM","Field Level","FLR-P","15","4","1931.44"
"04-28-23 / 05:02 AM","300-Level","347","4","1","645.05"
"04-28-23 / 05:02 AM","200-Level","218","3","2","1382.25"
"04-28-23 / 12:55 AM","100-Level Club","128C","25","2","2565"
"04-28-23 / 12:55 AM","200-Level","239","2","2","2265.75"
"04-28-23 / 12:55 AM","Field Level","FLR-A","12","2","2025.07"
"04-28-23 / 12:55 AM","Field Level","FLR-L","20","2","2142.09"
"04-28-23 / 12:55 AM","Field Level","FLR-Q","11","2","2522.25"
"04-27-23 / 10:21 PM","100-Level","125","39","1","1111.5"
"04-27-23 / 10:21 PM","100-Level Club","126C","5","1","1624.72"
"04-27-23 / 10:21 PM","Field Level","FLR-L","13","2","1780.01"
"04-27-23 / 10:21 PM","100-Level","122","38A","1","1026"
