"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-06-23 / 08:34 PM","Field","K","5","3","1470.98"
"05-06-23 / 08:34 PM","Lower","139","D","2","1023.17"
"05-06-23 / 05:20 PM","Field","A","","2","3045.41"
"05-06-23 / 02:20 PM","Lower","133","K","2","2254.82"
"05-06-23 / 11:38 AM","Middle","243","J","1","641.25"
"05-06-23 / 09:39 AM","Middle","204","F","1","586.25"
"05-06-23 / 09:38 AM","Field","Q","13","2","2850.57"
"05-06-23 / 08:01 AM","Lower","112","Q","2","2199.77"
"05-06-23 / 08:01 AM","Lower","121","GG","1","2375"
"05-06-23 / 04:20 AM","Lower","141","LL","2","1739.84"
"05-06-23 / 04:20 AM","Lower","117","EE","1","1216.38"
"05-06-23 / 12:58 AM","Field","F","13","4","3382.24"
"05-06-23 / 12:58 AM","Field","F","10","4","3607.72"
"05-06-23 / 12:58 AM","Field","A","25","2","1729"
"05-06-23 / 12:58 AM","Lower","135","CC","1","1282.5"
"05-06-23 / 12:58 AM","Lower","120","G","2","2441.98"
"05-06-23 / 12:58 AM","Upper","303","GG","2","1296.75"
"05-06-23 / 12:58 AM","Lower","110","Z","1","1453.5"
"05-06-23 / 12:58 AM","Upper","340","S","3","1624.5"
"05-06-23 / 12:58 AM","Middle","235","E","1","1282.5"
"05-06-23 / 12:58 AM","Field","E","12","4","3961.53"
"05-06-23 / 12:58 AM","Lower","138","K","1","1090.12"
"05-06-23 / 12:58 AM","Field","E","","2","2164.63"
"05-06-23 / 12:58 AM","Lower","110","Y","1","1444.85"
"05-06-23 / 12:58 AM","Field","P","5","2","2992.5"
"05-05-23 / 09:31 PM","Upper","317","AA","4","2709.21"
"05-05-23 / 09:31 PM","Upper","344","KK","2","1212.22"
"05-05-23 / 09:31 PM","Upper","304","X","2","1710"
"05-05-23 / 09:31 PM","Lower","134","P","4","2488.05"
"05-05-23 / 09:31 PM","Lower","112","Q","2","3000.05"
"05-05-23 / 09:31 PM","Lower","125","U","2","3334.5"
"05-05-23 / 09:31 PM","Lower","140","Q","1","883.72"
"05-05-23 / 09:31 PM","Lower","128","JJ","2","2442.9"
"05-05-23 / 09:31 PM","Upper","306","Z","4","1654.09"
"05-05-23 / 09:31 PM","Field","Q","","2","2534.12"
"05-05-23 / 09:31 PM","Upper","343","CC","2","1057.88"
"05-05-23 / 09:31 PM","Upper","343","U","2","1336.47"
"05-05-23 / 09:30 PM","Lower","110","L","1","1558.26"
"05-05-23 / 09:30 PM","Upper","343","X","1","896.9"
"05-05-23 / 09:30 PM","Field","N","19","2","3321.81"
"05-05-23 / 09:30 PM","Field","F","12","1","1710"
"05-05-23 / 05:53 PM","Upper","327","C","2","2303.75"
"05-05-23 / 05:53 PM","Lower","136","Z","2","2709.21"
"05-05-23 / 05:53 PM","Middle","244","V","2","1472.5"
"05-05-23 / 05:53 PM","Field","E","16","2","4275"
"05-05-23 / 05:53 PM","Field","P","21","4","3410.47"
"05-05-23 / 05:53 PM","Field","M","9","1","2261.48"
"05-05-23 / 05:53 PM","Middle","204","G","3","1134.66"
"05-05-23 / 05:53 PM","Lower","138","DD","1","1282.5"
"05-05-23 / 05:52 PM","Lower","114","Q","1","1550.88"
"05-05-23 / 05:52 PM","Lower","140","BB","2","1881"
"05-05-23 / 02:22 PM","Lower","141","GG","1","737.01"
"05-05-23 / 02:22 PM","Field","B","","2","4606.58"
"05-05-23 / 02:22 PM","Lower","135","V","2","2672.35"
"05-05-23 / 02:22 PM","Lower","110","C","4","3460.56"
