"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-13-23 / 08:26 PM","Field","F13","2","2","4509.65"
"05-13-23 / 08:26 PM","Field","F12","","1","2525.4"
"05-13-23 / 08:26 PM","Field","F11","","2","3066.56"
"05-13-23 / 08:26 PM","Field","F4","2","4","3241.88"
"05-13-23 / 08:26 PM","Field","F12","4","4","3155.42"
"05-13-23 / 08:26 PM","Field","F4","3","4","3198.65"
"05-13-23 / 08:26 PM","Field","F12","2","2","3697.91"
"05-13-23 / 08:26 PM","Field","F4","6","2","3025.75"
"05-13-23 / 08:26 PM","Field","F4","5","2","3112.2"
"05-13-23 / 08:26 PM","Field","F4","23","3","2759.89"
"05-13-23 / 08:26 PM","Field","F4","7","2","2939.3"
"05-13-23 / 08:26 PM","Field","F4","9","2","2766.4"
"05-13-23 / 08:26 PM","Field","F4","8","2","2852.85"
"05-13-23 / 08:26 PM","Field","F4","14","2","2571.89"
"05-13-23 / 08:26 PM","Field","F4","13","2","2593.5"
"05-13-23 / 08:26 PM","Field","F12","12","2","2636.72"
"05-13-23 / 08:26 PM","Field","F12","11","2","2679.95"
"05-13-23 / 08:26 PM","Field","F4","15","2","2550.28"
"05-13-23 / 08:25 PM","Field","F4","17","2","2507.05"
"05-13-23 / 08:25 PM","Field","F4","16","2","2528.66"
"05-13-23 / 08:25 PM","Field","F11","","1","2507.36"
"05-13-23 / 08:25 PM","Field","F12","18","2","2463.82"
"05-13-23 / 08:25 PM","Field","F10","16","2","4329.26"
"05-13-23 / 08:25 PM","Field","F5","11","4","3500.78"
"05-13-23 / 08:25 PM","Field","F3","12","1","3291.08"
"05-13-23 / 08:25 PM","Field","F13","21","2","3427.33"
"05-13-23 / 08:25 PM","Field","F3","1","1","5988.83"
"05-13-23 / 02:09 PM","Upper","231","29","2","1744.2"
"05-13-23 / 02:09 PM","Club Level","C16","18","2","3399.41"
"05-13-23 / 02:09 PM","Field","F11","","2","4478.98"
"05-13-23 / 02:09 PM","Field","F12","","2","4464.55"
"05-13-23 / 02:09 PM","Field","F4","1","4","5187"
"05-13-23 / 02:09 PM","Field","F10","1","1","2745.15"
"05-13-23 / 02:09 PM","Field","F7","","4","2705.79"
"05-13-23 / 02:09 PM","Field","F7","33","2","3847.5"
"05-13-23 / 02:09 PM","Field","F11","","2","2525.4"
"05-13-23 / 02:09 PM","Upper","218","1","2","3133.1"
"05-13-23 / 02:09 PM","Field","F6","19","2","2480.31"
"05-13-23 / 02:09 PM","Field","F10","","2","2459.56"
"05-13-23 / 02:09 PM","Field","F4","","2","2660.69"
"05-13-23 / 02:09 PM","Field","F6","20","1","2435.21"
"05-13-23 / 02:09 PM","Field","F6","18","4","2880.51"
"05-13-23 / 02:09 PM","Field","F4","22","4","2571.89"
"05-13-23 / 02:09 PM","Lower","102","7","1","2565"
"05-13-23 / 02:09 PM","Field","F12","23","4","2550.28"
"05-13-23 / 02:09 PM","Field","F10","18","1","2116.41"
"05-13-23 / 02:09 PM","Field","F6","","2","2466.78"
"05-13-23 / 02:09 PM","Field","F4","23","2","2528.66"
"05-13-23 / 02:09 PM","Field","F4","","4","2507.05"
"05-13-23 / 02:09 PM","Field","F12","","2","2398.99"
"05-13-23 / 02:09 PM","Field","F6","21","2","2420.6"
"05-13-23 / 02:09 PM","Field","F10","20","1","2076.22"
"05-13-23 / 02:09 PM","Upper","239","9","1","1510.95"
"05-13-23 / 02:09 PM","Lower","110","9","1","3224.33"
"05-13-23 / 02:09 PM","Upper","225","15","2","2764.5"
"05-13-23 / 02:09 PM","Lower","119","8","2","5118.93"
"05-13-23 / 02:09 PM","Upper","243","20","1","2308.5"
"05-13-23 / 02:09 PM","Club Level","C27","13","3","2394.98"
"05-13-23 / 02:09 PM","Club Level","C27","16","2","2302.83"
"05-13-23 / 02:09 PM","Upper","231","22","3","2118.53"
"05-13-23 / 02:09 PM","Club Level","C6","17","3","4654.52"
"05-13-23 / 02:09 PM","Field","F7","29","6","2629.25"
"05-13-23 / 02:09 PM","Field","F7","28","4","2477.83"
"05-13-23 / 02:09 PM","Field","F7","32","6","2509.75"
"05-13-23 / 02:09 PM","Field","F7","34","6","2390.23"
"05-13-23 / 02:09 PM","Field","F14","19","1","2137.5"
"05-13-23 / 02:09 PM","Lower","113","30","2","3598.6"
"05-13-23 / 02:09 PM","Club Level","C38","7","2","2850.57"
"05-13-23 / 02:09 PM","Upper","230","28","1","1624.5"
"05-13-23 / 11:05 AM","Field","F7","9","2","2564.14"
"05-13-23 / 11:05 AM","Field","F11","","2","3292.04"
"05-13-23 / 11:05 AM","Field","F12","9","2","2736"
"05-13-23 / 11:05 AM","Upper","244","13","2","2395.9"
"05-13-23 / 11:05 AM","Field","F6","21","2","2414.55"
"05-13-23 / 11:05 AM","Field","F9","","4","2550.28"
"05-13-23 / 11:05 AM","Field","F4","24","4","2528.66"
"05-13-23 / 11:05 AM","Field","F11","","1","2237.69"
"05-13-23 / 11:05 AM","Field","F10","","2","2420.6"
"05-13-23 / 11:05 AM","Field","F12","","2","2355.76"
"05-13-23 / 11:05 AM","Field","F4","","2","2398.99"
"05-13-23 / 11:05 AM","Field","F9","","2","2435.21"
"05-13-23 / 11:05 AM","Field","F6","19","1","1881"
"05-13-23 / 11:05 AM","Field","F6","","2","2334.15"
"05-13-23 / 11:05 AM","Club Level","C27","11","4","2441.05"
"05-13-23 / 11:05 AM","Upper","239","12","2","1900"
"05-13-23 / 11:05 AM","Upper","239","19","4","2210.68"
"05-13-23 / 11:05 AM","Field","F1","19","1","2479.5"
"05-13-23 / 11:05 AM","Lower","112","22","1","2137.5"
"05-13-23 / 11:05 AM","Lower","134","29","1","1661.46"
"05-13-23 / 11:05 AM","Lower","101","13","1","3685.08"
"05-13-23 / 11:05 AM","Upper","231","8","1","1842.08"
"05-13-23 / 11:05 AM","Upper","243","15","2","4146.75"
"05-13-23 / 11:05 AM","Upper","218","8","2","3334.5"
"05-13-23 / 11:05 AM","Upper","207","30","1","2137.5"
"05-13-23 / 08:40 AM","Upper","240","11","2","1843"
"05-13-23 / 08:40 AM","Upper","241","17","1","1589.54"
"05-13-23 / 08:40 AM","Lower","117","8","1","2119.45"
"05-13-23 / 06:44 AM","Club Level","C27","19","2","1875.02"
"05-13-23 / 06:44 AM","Upper","207","25","1","1709.14"
"05-13-23 / 06:44 AM","Lower","101","2","1","2394"
"05-13-23 / 04:20 AM","Upper","218","21","1","1790.37"
"05-13-23 / 04:20 AM","Lower","109","4","1","2479.5"
"05-13-23 / 12:39 AM","Club Level","C35","19","1","1726.89"
"05-13-23 / 12:39 AM","Upper","239","9","1","1200.47"
"05-13-23 / 12:39 AM","Upper","206","30","2","2700"
"05-13-23 / 12:38 AM","Upper","225","19","1","3762"
"05-13-23 / 12:38 AM","Upper","231","24","1","1289.18"
"05-13-23 / 12:38 AM","Field","F5","14","4","3480.58"
"05-13-23 / 12:38 AM","Field","F14","21","4","3787.2"
"05-13-23 / 12:38 AM","Field","F7","30","4","3292.04"
"05-13-23 / 12:38 AM","Field","F9","30","4","3456.65"
"05-13-23 / 12:38 AM","Lower","136","29","1","2009.79"
"05-13-23 / 12:38 AM","Field","F12","23","1","2223"
"05-13-23 / 12:38 AM","Upper","226","29","1","1710"
"05-12-23 / 09:00 PM","Lower","101","1","1","2733.17"
"05-12-23 / 09:00 PM","Upper","225","30","1","1737.95"
"05-12-23 / 09:00 PM","Upper","231","22","2","1657.78"
"05-12-23 / 09:00 PM","Field","F12","21","4","3517.53"
"05-12-23 / 09:00 PM","Field","F13","3","2","4148.88"
"05-12-23 / 09:00 PM","Field","F14","21","2","3427.33"
"05-12-23 / 09:00 PM","Field","F5","18","4","3607.72"
"05-12-23 / 09:00 PM","Field","F11","17","4","3788.11"
"05-12-23 / 09:00 PM","Field","F15","24","6","3778.15"
"05-12-23 / 09:00 PM","Lower","110","13","1","3420"
"05-12-23 / 09:00 PM","Upper","240","19","2","2565"
"05-12-23 / 09:00 PM","Upper","207","2","1","1803.86"
"05-12-23 / 09:00 PM","Upper","243","25","3","2728.56"
"05-12-23 / 09:00 PM","Club Suites","CS111","10","1","1710"
"05-12-23 / 09:00 PM","Field","Field","","2","5128.29"
"05-12-23 / 09:00 PM","Field","F5","16","2","6449.58"
"05-12-23 / 04:57 PM","Club Level","C35","5","1","1565.63"
"05-12-23 / 04:57 PM","Club Level","C35","8","1","1473.48"
"05-12-23 / 04:57 PM","Field","F9","35","6","4403.25"
"05-12-23 / 04:57 PM","Upper","221","4","1","1589.59"
"05-12-23 / 04:57 PM","Upper","217","20","1","1308.53"
"05-12-23 / 04:57 PM","Club Level","C27","10","1","1262.7"
"05-12-23 / 04:57 PM","Lower","123","20","1","2027.3"
"05-12-23 / 04:57 PM","Club Level","C27","18","7","2302.83"
"05-12-23 / 04:57 PM","Club Level","Club Level","","2","3799.52"
"05-12-23 / 04:57 PM","Upper","239","11","6","1565.63"
"05-12-23 / 04:57 PM","Upper","239","3","1","1381.33"
"05-12-23 / 04:57 PM","Club Level","C27","8","1","1657.78"
"05-12-23 / 04:57 PM","Upper","231","21","2","1680.82"
"05-12-23 / 04:57 PM","Club Level","C27","12","1","1565.63"
"05-12-23 / 04:57 PM","Upper","239","8","1","1012.73"
"05-12-23 / 04:57 PM","Upper","231","29","4","1289.18"
"05-12-23 / 04:57 PM","Upper","239","18","1","947.03"
"05-12-23 / 04:57 PM","Upper","231","23","1","990.61"
"05-12-23 / 04:57 PM","Club Level","C35","4","4","2095.49"
"05-12-23 / 04:57 PM","Club Level","C35","2","4","2118.53"
"05-12-23 / 04:57 PM","Club Level","C35","14","2","1749.93"
"05-12-23 / 04:57 PM","Club Level","C35","18","3","1842.08"
"05-12-23 / 04:57 PM","Club Level","C35","9","1","1381.33"
"05-12-23 / 04:57 PM","Lower","124","25","1","1700.6"
"05-12-23 / 04:57 PM","Field","F13","2","1","3685.08"
"05-12-23 / 04:57 PM","Upper","213","4","2","2864.25"
