"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-21-23 / 06:31 PM","Field","A12","23","3","2989.44"
"05-21-23 / 06:31 PM","Lower","142","4","2","3309.7"
"05-21-23 / 06:31 PM","Mezzanine","224","1","2","1664.63"
"05-21-23 / 06:31 PM","Mezzanine","217","8","3","1656.99"
"05-21-23 / 03:04 PM","Field","A4","4","2","3249.19"
"05-21-23 / 03:04 PM","Lower","137","4","2","3723.07"
"05-21-23 / 03:04 PM","Upper","322","5","2","1468.19"
"05-21-23 / 03:04 PM","Lower","142","5","3","2409.43"
"05-21-23 / 03:04 PM","Lower","143","7","2","2534.18"
"05-21-23 / 03:04 PM","Lower","142","5","3","2595.63"
"05-21-23 / 03:04 PM","Lower","136","2","2","3206.36"
"05-21-23 / 03:04 PM","Lower","143","6","2","2388.95"
"05-21-23 / 03:04 PM","Mezzanine","217","9","3","1482.57"
"05-21-23 / 03:04 PM","Mezzanine","217","9","3","1569.78"
"05-21-23 / 03:04 PM","Mezzanine","224","6","2","1561.29"
"05-21-23 / 03:04 PM","Lower","112","18","2","3052.35"
"05-21-23 / 12:18 PM","Field","A8","7","1","2565"
"05-21-23 / 12:18 PM","Lower","136","3","2","2399.19"
"05-21-23 / 12:18 PM","Lower","127","3","1","1795.75"
"05-21-23 / 12:18 PM","Lower","143","4","2","2254.88"
"05-21-23 / 12:18 PM","Lower","117","29","2","1623.66"
"05-21-23 / 12:18 PM","Lower","124","22","2","1659.04"
"05-21-23 / 12:18 PM","Mezzanine","224","20","2","1377.88"
"05-21-23 / 12:18 PM","Mezzanine","224","7","2","1437.46"
"05-21-23 / 12:18 PM","Upper","315","22","1","1789.38"
"05-21-23 / 12:18 PM","Mezzanine","224","21","2","1330.35"
"05-21-23 / 09:31 AM","Field","A4","34","2","2705.79"
"05-21-23 / 09:31 AM","Lower","117","33","2","1603.18"
"05-21-23 / 09:30 AM","Mezzanine","224","26","2","1342.5"
"05-21-23 / 09:30 AM","Lower","109","28","2","2612.5"
"05-21-23 / 09:30 AM","Field","A9","37","2","1801.15"
"05-21-23 / 09:30 AM","Field","A9","38","1","1802.96"
"05-21-23 / 09:30 AM","Upper","322","5","2","1344.36"
"05-21-23 / 09:30 AM","Field","A11","22","4","1893.15"
"05-21-23 / 09:30 AM","Upper","330","25","2","1852.5"
"05-21-23 / 09:30 AM","Upper","339","23","2","2137.5"
"05-21-23 / 09:30 AM","Field","A14","32","2","2210.68"
"05-21-23 / 09:30 AM","Lower","140","38","3","2517.48"
"05-21-23 / 09:30 AM","Upper","331","9","1","1496.25"
"05-21-23 / 09:30 AM","Field","A10","20","2","1793.79"
"05-21-23 / 09:30 AM","Field","A15","25","2","1848.96"
"05-21-23 / 09:30 AM","Field","A2","4","4","3420"
"05-21-23 / 09:30 AM","Lower","142","6","4","2004.09"
"05-21-23 / 09:30 AM","Lower","142","7","4","1993.26"
"05-21-23 / 09:30 AM","Field","A5","13","1","2137.5"
