"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-26-23 / 06:22 PM","Lower","143","3","1","2730.62"
"05-26-23 / 02:20 PM","Lower","106","5","2","1716.76"
"05-26-23 / 02:20 PM","Middle","206A","1","2","1664.63"
"05-26-23 / 02:20 PM","Upper","346","5","2","1294.09"
"05-26-23 / 11:05 AM","Lower","146","13","3","1437.46"
"05-26-23 / 11:05 AM","Middle","245C","14","2","1533.28"
"05-26-23 / 11:05 AM","Lower","146","11","2","1216.7"
"05-26-23 / 11:05 AM","Suite Level 5 East","L5 S34","GA","3","2850"
"05-26-23 / 11:05 AM","Upper","306","10","2","1178.65"
"05-26-23 / 11:05 AM","Upper","306","5","2","1271.75"
"05-26-23 / 08:37 AM","Suite Level 6 West","L6 S66","SRO","2","2754.05"
"05-26-23 / 08:37 AM","Upper","324","10","3","3035.25"
"05-26-23 / 08:37 AM","Lower","106","41","3","1352.9"
"05-26-23 / 08:37 AM","Lower","146","23","4","1131.92"
"05-26-23 / 08:37 AM","Upper","346","14","2","1130.77"
"05-26-23 / 08:37 AM","Lower","146","25","2","1118.4"
"05-26-23 / 08:37 AM","Lower","106","37","2","1113.88"
"05-26-23 / 08:37 AM","Lower","137","10","4","2999.48"
"05-26-23 / 08:37 AM","Lower","118","5","3","2795.98"
"05-26-23 / 08:37 AM","Upper","338","22","1","1541.7"
"05-26-23 / 08:37 AM","Lower","135","18","1","2650.5"
"05-26-23 / 08:37 AM","Middle","246A","8","4","1092.23"
"05-26-23 / 08:37 AM","Field","14","9","2","7694.14"
"05-26-23 / 06:24 AM","Lower","146","32","2","1177.89"
"05-26-23 / 06:23 AM","Field","8","24","4","10944"
"05-26-23 / 06:23 AM","Field","9","26","1","2565"
"05-26-23 / 06:23 AM","Middle","234","8","1","1966.5"
"05-26-23 / 06:23 AM","Middle","235","13","1","2394"
"05-25-23 / 02:30 PM","Middle","225B","7","1","1795.5"
"05-25-23 / 02:30 PM","Upper","315","5","2","2565"
"05-25-23 / 02:30 PM","Field","10","11","2","3847.5"
"05-25-23 / 02:30 PM","Lower","123","46","2","3778.15"
"05-25-23 / 02:30 PM","Field","1","21","1","2736"
"05-25-23 / 02:30 PM","Middle","234","6","1","1881"
"05-25-23 / 02:30 PM","Upper","312","14","1","1550.12"
"05-25-23 / 02:30 PM","Lower","113","26","2","5118.93"
"05-25-23 / 02:30 PM","Middle","219","9","2","4275"
"05-25-23 / 02:30 PM","Field","14","23","2","4086.9"
"05-25-23 / 02:30 PM","Upper","334","7","1","1710"
"05-25-23 / 02:30 PM","Upper","345","11","1","1453.5"
"05-25-23 / 02:30 PM","Middle","209","9","3","2992.5"
"05-25-23 / 02:30 PM","Suite Level 5 East","L5 S34","BARS","2","3036.45"
"05-25-23 / 02:30 PM","Upper","307","22","2","1995"
"05-25-23 / 02:30 PM","Lower","109","11","2","2394"
"05-25-23 / 02:30 PM","Middle","236","2","2","4152.28"
"05-25-23 / 02:30 PM","Upper","338","14","2","2949.75"
"05-25-23 / 02:30 PM","Field","8","21","3","3591"
"05-25-23 / 02:30 PM","Upper","309","4","1","1496.25"
"05-25-23 / 02:30 PM","Upper","317","8","2","4275"
"05-25-23 / 02:30 PM","Field","3","14","2","7930.12"
"05-25-23 / 02:30 PM","Lower","110","9","2","4490"
"05-25-23 / 02:30 PM","Field","7","25","4","7144.95"
"05-25-23 / 02:30 PM","Lower","111A","23","2","4492.09"
"05-25-23 / 02:30 PM","Lower","108","24","2","3338.78"
"05-25-23 / 02:30 PM","Upper","314","11","2","2996.77"
"05-25-23 / 02:30 PM","Upper","343","20","1","1529.6"
"05-25-23 / 02:30 PM","Upper","311","12","2","4843.58"
"05-25-23 / 02:30 PM","Upper","308","1","2","3962.92"
"05-25-23 / 02:30 PM","Upper","311","1","1","1565.63"
"05-25-23 / 02:30 PM","Field","14","19","3","7267.49"
"05-25-23 / 02:30 PM","Field","2","14","1","3249"
"05-25-23 / 02:30 PM","Field","11","1","1","5985"
"05-25-23 / 02:30 PM","Field","8","4","1","4617"
"05-25-23 / 02:30 PM","Upper","343","26","6","2411.29"
"05-25-23 / 11:07 AM","Lower","109","27","1","1881"
"05-25-23 / 11:07 AM","Lower","116","35W","2","3499.86"
"05-25-23 / 11:07 AM","Middle","228B","6","1","2565"
"05-25-23 / 11:07 AM","Middle","235","10","1","2230.03"
"05-25-23 / 11:07 AM","Upper","312","25","1","1453.5"
"05-25-23 / 11:07 AM","Lower","143","30","2","2336"
"05-25-23 / 11:07 AM","Upper","328","8","2","2736"
"05-25-23 / 11:07 AM","Field","4","11","1","2992.5"
"05-25-23 / 11:07 AM","Upper","315","1","1","1795.08"
"05-25-23 / 11:07 AM","Upper","310","9","1","1325.25"
"05-25-23 / 11:07 AM","Lower","129","30","1","2137.5"
"05-25-23 / 11:07 AM","Middle","228A","2","2","3847.5"
"05-25-23 / 11:07 AM","Upper","316","2","1","1710"
"05-25-23 / 08:45 AM","Middle","215","2","2","4315.61"
"05-25-23 / 08:45 AM","Lower","110","17","1","1908.43"
"05-25-23 / 08:45 AM","Upper","319","19","1","2565"
"05-25-23 / 08:45 AM","Lower","117","11","1","2052"
"05-25-23 / 08:45 AM","Field","14","1","2","8550"
"05-25-23 / 08:45 AM","Middle","233","2","1","1710"
"05-25-23 / 08:45 AM","Upper","325","25","2","3334.5"
"05-25-23 / 08:45 AM","Upper","343","13","2","2212.74"
"05-25-23 / 06:54 AM","Upper","331","21","3","2394"
"05-25-23 / 04:16 AM","Upper","326","19","1","1453.49"
"05-25-23 / 04:16 AM","Lower","129","19","1","2154.6"
"05-25-23 / 04:16 AM","Lower","115C","18","2","4488.75"
