"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-09-23 / 09:21 PM","Lower","100","32","1","1749.93"
"06-09-23 / 09:21 PM","Lower","133","31","4","2210.68"
"06-09-23 / 09:21 PM","Lower","141","23","2","1696.28"
"06-09-23 / 09:21 PM","Upper","339","8","2","1603.18"
"06-09-23 / 09:21 PM","Lower","100","34","3","2391.29"
"06-09-23 / 09:21 PM","Lower","141","21","2","1615.44"
"06-09-23 / 09:21 PM","Field","E","11","2","4749.52"
"06-09-23 / 09:21 PM","Lower","110","4","3","2937.54"
"06-09-23 / 09:21 PM","Field","N","7","4","7053.75"
"06-09-23 / 09:21 PM","Field","H","5","2","4270.72"
"06-09-23 / 09:21 PM","Lower","106","6","6","7374.38"
"06-09-23 / 09:21 PM","Lower","107","1","2","3346.47"
"06-09-23 / 09:21 PM","Lower","105","9","2","3435.87"
"06-09-23 / 09:21 PM","Lower","131","1","4","2569.14"
"06-09-23 / 09:21 PM","Lower","127","20","1","2805.93"
"06-09-23 / 01:21 PM","Lower","106","12","2","3420.38"
"06-09-23 / 01:21 PM","Lower","100","29","2","1453.5"
"06-09-23 / 01:21 PM","Lower","100","21","2","1739.79"
"06-09-23 / 01:21 PM","200-Level Club Seat","233C","ADA","1","1308.15"
"06-09-23 / 01:21 PM","Lower","100","32","1","1381.33"
"06-09-23 / 01:21 PM","Lower","110","7","2","2992.5"
"06-09-23 / 01:21 PM","Lower","107","2","2","3420"
"06-09-23 / 01:21 PM","Lower","121","17","2","1838.25"
"06-09-23 / 01:21 PM","Lower","108","4","2","2169.21"
"06-09-23 / 01:21 PM","Lower","106","34","2","2135.66"
"06-09-23 / 01:21 PM","500-Level Suite","520","","4","2042.5"
"06-09-23 / 01:21 PM","Field","H","14","1","1981.22"
"06-09-23 / 01:21 PM","Lower","128","38","1","1581.75"
"06-09-23 / 01:21 PM","Lower","119","22","2","1965.64"
"06-09-23 / 01:21 PM","Middle","238","6","2","1209.44"
"06-09-23 / 01:21 PM","Lower","133","38","2","1222.65"
"06-09-23 / 01:21 PM","Upper","339","19","2","1196.14"
"06-09-23 / 01:21 PM","Upper","339","18","1","897.75"
"06-09-23 / 01:21 PM","Lower","100","10","1","983.25"
"06-09-23 / 01:21 PM","Lower","125","11","2","3800.48"
"06-09-23 / 01:21 PM","Field","C","14","2","2795.98"
"06-09-23 / 01:21 PM","Field","B","24","2","2763.58"
"06-09-23 / 01:21 PM","Field","E","17","2","2394"
"06-09-23 / 01:21 PM","Field","J","9","1","1752.75"
"06-09-23 / 01:21 PM","Lower","107","2","2","2736"
"06-09-23 / 01:21 PM","Lower","113","3","2","2308.5"
"06-09-23 / 01:21 PM","Field","N","15","1","2056.79"
"06-09-23 / 01:21 PM","Lower","100","38","2","1443.09"
"06-09-23 / 01:21 PM","Upper","325","18","1","1282.5"
"06-09-23 / 01:21 PM","Lower","133","24","1","1172.51"
"06-09-23 / 01:21 PM","Middle","238","8","3","1188.45"
"06-09-23 / 01:21 PM","Lower","133","29","2","1197"
"06-09-23 / 01:21 PM","Middle","238","1","1","1162.8"
"06-09-23 / 01:21 PM","Lower","133","31","4","1278.12"
"06-09-23 / 01:21 PM","Lower","133","34","1","1091.33"
"06-09-23 / 01:21 PM","Field","H","17","2","2436.75"
"06-09-23 / 01:21 PM","Field","N","11","1","1709.14"
"06-09-23 / 01:21 PM","200-Level Club Seat","228C","ADA","2","3420"
"06-09-23 / 01:21 PM","Field","G","28","2","5557.61"
"06-09-23 / 01:21 PM","Lower","101","6","2","1581.75"
"06-09-23 / 01:21 PM","200-Level Club Seat","203C","12","3","1611.68"
"06-09-23 / 01:21 PM","Lower","128","6","1","2135.79"
"06-09-23 / 01:21 PM","Lower","121","5","1","1710"
"06-09-23 / 01:21 PM","Upper","338","9","6","1316.81"
"06-09-23 / 01:21 PM","Lower","101","15","2","1556.63"
"06-09-23 / 01:21 PM","Lower","104","38","2","2479.5"
"06-09-23 / 01:21 PM","Lower","102","35","4","2394"
"06-09-23 / 01:21 PM","Lower","132","7","2","1757.5"
"06-09-23 / 10:29 AM","Lower","113","3","2","2188.8"
"06-09-23 / 10:29 AM","Lower","133","29","2","1197"
