"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-16-23 / 05:05 PM","Lower","142","EE","2","862.32"
"06-16-23 / 05:05 PM","Lower","142","P","1","879.23"
"06-16-23 / 01:03 PM","Field","F7","30","1","1710"
"06-16-23 / 01:03 PM","Field","F15","28","3","1710"
"06-16-23 / 01:03 PM","Lower","140","G","2","940.5"
"06-16-23 / 01:03 PM","Lower","133","D","2","2089.16"
"06-16-23 / 01:03 PM","Lower","133","C","4","2164.63"
"06-16-23 / 01:03 PM","Lower","122","D","1","1848.96"
"06-16-23 / 01:03 PM","Lower","112","E","2","2074.44"
"06-16-23 / 01:03 PM","Upper","525","Q","2","1840.24"
"06-16-23 / 01:03 PM","Club","231","Q","1","1325.25"
"06-16-23 / 01:03 PM","Field","F7","28","4","1803.86"
"06-16-23 / 01:03 PM","Club","237","B","2","1758.76"
"06-16-23 / 01:03 PM","Field","F9","15","1","1750.61"
"06-16-23 / 01:03 PM","Lower","106","C","4","1251.26"
"06-16-23 / 01:03 PM","Lower","104","KK","2","1032.41"
"06-16-23 / 01:03 PM","Upper","541","BB","2","919.83"
"06-16-23 / 01:02 PM","Lower","142","AA","2","940.5"
"06-16-23 / 01:02 PM","Lower","142","O","4","947.03"
"06-16-23 / 01:02 PM","Lower","142","X","2","907.8"
"06-16-23 / 01:02 PM","Upper","504","V","4","911.17"
"06-16-23 / 01:02 PM","Upper","541","N","1","887.49"
"06-16-23 / 01:02 PM","Upper","504","F","1","897.42"
"06-16-23 / 01:02 PM","Field","F13","2","2","2992.5"
"06-16-23 / 01:02 PM","Club","221","D","2","2462.4"
"06-16-23 / 01:02 PM","Field","F13","18","4","2435.21"
"06-16-23 / 01:02 PM","Field","F3","2","2","3607.72"
"06-16-23 / 01:02 PM","Field","F13","16","2","2289.69"
"06-16-23 / 01:02 PM","Lower","126","A","2","2333.29"
"06-16-23 / 01:02 PM","Lower","126","B","2","1945.12"
"06-16-23 / 01:02 PM","Upper","533","FF","1","1154.25"
"06-16-23 / 01:02 PM","Lower","121","D","1","1966.5"
"06-16-23 / 01:02 PM","Lower","136","EE","2","1894.05"
"06-16-23 / 01:02 PM","Lower","112","D","4","1984.25"
"06-16-23 / 01:02 PM","Lower","137","CC","2","1749.75"
"06-16-23 / 01:02 PM","Field","F15","24","4","2029.34"
"06-16-23 / 01:02 PM","Lower","112","X","2","1795.5"
"06-16-23 / 01:02 PM","Field","F7","","2","1668.57"
"06-16-23 / 01:02 PM","Lower","130","D","2","1945.12"
"06-16-23 / 01:02 PM","Lower","139","C","4","1217.61"
"06-16-23 / 01:02 PM","Upper","504","A","2","1496.25"
"06-16-23 / 01:02 PM","Upper","506","Y","2","1188.45"
"06-16-23 / 01:02 PM","Lower","139","D","4","1251.26"
"06-16-23 / 01:02 PM","Lower","105","M","2","1037.4"
"06-16-23 / 01:02 PM","Upper","541","A","3","967.58"
"06-16-23 / 01:02 PM","Club","206","C","1","1068.75"
"06-16-23 / 01:02 PM","Lower","105","P","2","994.18"
"06-16-23 / 01:02 PM","Lower","106","D","3","1262.7"
"06-16-23 / 01:02 PM","Lower","142","P","3","986.33"
"06-16-23 / 01:02 PM","Upper","504","M","2","919.12"
"06-16-23 / 01:02 PM","Upper","506","J","1","1173.25"
"06-16-23 / 01:02 PM","Upper","541","AA","4","919.07"
"06-16-23 / 01:02 PM","Lower","142","Q","4","928.87"
"06-16-23 / 01:02 PM","Lower","142","U","4","915.46"
"06-16-23 / 01:02 PM","Upper","541","HH","1","964.44"
"06-16-23 / 01:02 PM","Upper","541","Z","2","932.86"
"06-16-23 / 01:02 PM","Upper","504","P","4","947.03"
"06-16-23 / 01:02 PM","Lower","142","V","2","974.08"
"06-16-23 / 01:02 PM","Upper","504","X","2","938.01"
"06-16-23 / 01:02 PM","Upper","504","EE","1","812.25"
"06-16-23 / 01:02 PM","Lower","142","FF","1","812.25"
"06-16-23 / 01:02 PM","Upper","541","R","1","911.17"
"06-16-23 / 01:02 PM","Club","217","Q","2","2436.75"
"06-16-23 / 01:02 PM","Lower","112","L","1","2138.7"
"06-16-23 / 01:02 PM","Field","F13","21","1","2137.5"
"06-16-23 / 01:02 PM","Upper","539","V","1","1368"
"06-16-23 / 01:02 PM","Lower","114","W","1","1852.78"
"06-16-23 / 01:02 PM","Lower","127","H","3","2066.98"
"06-16-23 / 10:02 AM","Field","F15","26","3","1710"
"06-16-23 / 10:02 AM","Field","F9","","1","1939.15"
"06-16-23 / 10:02 AM","Upper","504","M","2","855"
"06-16-23 / 10:02 AM","Upper","531","U","1","940.5"
"06-16-23 / 10:02 AM","Upper","504","C","2","928.47"
"06-16-23 / 10:02 AM","Upper","541","DD","4","898.42"
"06-16-23 / 10:02 AM","Field","F13","1","2","3420"
"06-16-23 / 10:02 AM","Lower","124","D","4","1889.08"
"06-16-23 / 10:02 AM","Lower","133","C","2","1803.86"
"06-16-23 / 10:02 AM","Field","F9","","2","1838.25"
"06-16-23 / 10:02 AM","Field","F7","30","3","1713.67"
"06-16-23 / 10:02 AM","Lower","112","J","1","2073.54"
"06-16-23 / 10:02 AM","Lower","108","C","4","1894.05"
"06-16-23 / 10:02 AM","Field","F15","24","4","1749.75"
"06-16-23 / 10:02 AM","Club","207","E","1","1367.14"
"06-16-23 / 10:02 AM","Lower","116","E","4","1901.9"
"06-16-23 / 10:02 AM","Upper","520","LL","1","1265.4"
"06-16-23 / 10:02 AM","Lower","139","A","2","1615.95"
"06-16-23 / 10:02 AM","Upper","504","T","4","901.93"
"06-16-23 / 10:02 AM","Upper","540","D","1","1210.3"
"06-16-23 / 10:01 AM","Lower","142","E","3","995.9"
"06-16-23 / 10:01 AM","Lower","140","H","3","986.33"
"06-16-23 / 10:01 AM","Lower","102","J","2","967.18"
"06-16-23 / 10:01 AM","Lower","102","H","3","957.6"
"06-16-23 / 10:01 AM","Lower","142","L","2","1057.97"
"06-16-23 / 10:01 AM","Upper","504","Y","2","1080.62"
"06-16-23 / 10:01 AM","Upper","504","FF","2","874.87"
"06-16-23 / 10:01 AM","Upper","541","LL","4","879.39"
"06-16-23 / 10:01 AM","Lower","106","S","3","1021.94"
"06-16-23 / 10:01 AM","Upper","510","P","1","1710"
"06-16-23 / 10:01 AM","Lower","139","L","2","1705.72"
"06-16-23 / 10:01 AM","Club","230","B","1","2992.5"
"06-16-23 / 10:01 AM","Lower","135","H","1","2394"
"06-16-23 / 07:25 AM","Lower","133","C","2","1803.86"
"06-16-23 / 07:25 AM","Field","F7","","2","1740.72"
