"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-23-23 / 08:54 PM","Balcony","304","D","2","692.08"
"06-23-23 / 03:19 PM","Field","A8","11","1","2093.9"
"06-23-23 / 03:19 PM","Lower","136","21","1","834.96"
"06-23-23 / 03:19 PM","Club","C10","2","2","1307.8"
"06-23-23 / 03:19 PM","Lower","136","37","2","785.84"
"06-23-23 / 03:19 PM","Balcony","322","C","3","1325.25"
"06-23-23 / 11:06 AM","Club","F2","11","3","1306.9"
"06-23-23 / 11:06 AM","Lower","136","20","4","1073.3"
"06-23-23 / 11:06 AM","Lower","103","26","2","630.45"
"06-23-23 / 11:06 AM","Middle","242","17","2","641.25"
"06-23-23 / 11:06 AM","Upper","349","14","4","599.78"
"06-23-23 / 11:06 AM","Upper","304","13","2","577.24"
"06-23-23 / 11:06 AM","Middle","218","4","2","1539"
"06-23-23 / 11:06 AM","Club","V3","24","1","1262.7"
"06-23-23 / 11:06 AM","Lower","120","4","4","1100.9"
"06-23-23 / 11:06 AM","Club","F2","6","4","1300.88"
"06-23-23 / 11:06 AM","Field","A9","29","1","1539"
"06-23-23 / 11:06 AM","Club","F2","4","3","1805.66"
"06-23-23 / 11:06 AM","Club","V4","3","3","1298.78"
"06-23-23 / 11:06 AM","Club","V4","4","4","1582.7"
"06-23-23 / 11:06 AM","Club","F2","3","1","1803.86"
"06-23-23 / 11:06 AM","Lower","112","21","4","1278.22"
"06-23-23 / 11:06 AM","Lower","122","6","3","1282.5"
"06-23-23 / 11:06 AM","Lower","116","7","2","1091.33"
"06-23-23 / 11:06 AM","Lower","116","6","2","1172.51"
"06-23-23 / 11:06 AM","Lower","116","8","2","1037.22"
"06-23-23 / 11:06 AM","Lower","134","4","2","971.96"
"06-23-23 / 11:06 AM","Lower","136","32","4","1537.06"
"06-23-23 / 11:06 AM","Lower","134","1","2","1260.9"
"06-23-23 / 11:06 AM","Lower","136","20","1","920.58"
"06-23-23 / 11:06 AM","Lower","136","21","4","950.95"
"06-23-23 / 11:06 AM","Lower","136","38","4","811.74"
"06-23-23 / 11:06 AM","Lower","136","37","1","666.9"
"06-23-23 / 11:06 AM","Middle","241","11","2","676.45"
"06-23-23 / 11:06 AM","Lower","103","27","1","806.31"
"06-23-23 / 11:06 AM","Middle","242","13","1","541.16"
"06-23-23 / 11:06 AM","Balcony","304","E","1","676.45"
"06-23-23 / 11:06 AM","Upper","349","19","4","532.14"
"06-23-23 / 11:06 AM","Upper","304","12","1","550.17"
"06-23-23 / 11:06 AM","Club","F1","3","2","2926"
"06-23-23 / 11:06 AM","Field","A2","9","3","2252.6"
"06-23-23 / 11:06 AM","Middle","241","17","2","852.02"
"06-23-23 / 11:06 AM","Club","V5","26","3","1212.86"
