"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-30-23 / 08:21 PM","Field","F","14","2","2650.5"
"06-30-23 / 08:21 PM","Lower","119","33","4","1164.44"
"06-30-23 / 08:21 PM","Lower","131","29","2","1184.87"
"06-30-23 / 08:21 PM","Lower","119","29","2","1041.86"
"06-30-23 / 08:21 PM","Lower","119","30","4","1062.3"
"06-30-23 / 08:21 PM","Field","Q","5","1","4145.83"
"06-30-23 / 08:21 PM","Field","A","28","3","8550"
"06-30-23 / 08:21 PM","Club","219","2","2","1197.95"
"06-30-23 / 08:21 PM","Lower","119","32","2","1082.72"
"06-30-23 / 08:21 PM","Lower","131","34","2","1021.44"
"06-30-23 / 08:21 PM","Field","B","2","1","10260"
"06-30-23 / 08:21 PM","Lower","132","3","2","1843"
"06-30-23 / 08:21 PM","Lower","108","31","2","4702.5"
"06-30-23 / 08:21 PM","Lower","154","23","2","5556.64"
"06-30-23 / 08:21 PM","Field","H","22","2","3415.72"
"06-30-23 / 08:21 PM","Field","P","22","4","2914.67"
"06-30-23 / 08:21 PM","Lower","141","3","2","3066.56"
"06-30-23 / 08:21 PM","Lower","112","12","4","2345.02"
"06-30-23 / 08:21 PM","Lower","141","5","2","3419.14"
"06-30-23 / 08:21 PM","Lower","160","15","1","1894.05"
"06-30-23 / 08:21 PM","Lower","102","3","1","2187.18"
"06-30-23 / 08:21 PM","Lower","131","36","2","1103.16"
"06-30-23 / 08:21 PM","Lower","151","43","1","2020.33"
"06-30-23 / 08:21 PM","Lower","108","4","2","5862.54"
"06-30-23 / 08:21 PM","Lower","158","11","3","3420"
"06-30-23 / 08:21 PM","Lower","131","24","2","992.12"
"06-30-23 / 08:21 PM","Field","N","22","2","6146.6"
"06-30-23 / 08:21 PM","Field","E","2","2","7481.25"
"06-30-23 / 08:21 PM","Field","B","26","2","2282.85"
"06-30-23 / 08:21 PM","Field","B","16","2","3249"
"06-30-23 / 08:21 PM","Lower","144","3","1","2565"
"06-30-23 / 08:21 PM","Field","H","24","1","8549.14"
"06-30-23 / 08:21 PM","Lower","108","17","2","4275"
"06-30-23 / 08:21 PM","Lower","134","29","1","1537.29"
"06-30-23 / 08:21 PM","Field","C","9","1","3420"
"06-30-23 / 08:21 PM","Field","B","7","2","3916.66"
"06-30-23 / 08:21 PM","Field","B","25","3","8550"
"06-30-23 / 08:21 PM","Lower","158","42","1","1991.3"
"06-30-23 / 08:21 PM","Field","P","4","2","10687.5"
"06-30-23 / 08:21 PM","Lower","118","10","1","2185"
"06-30-23 / 08:21 PM","Field","P","28","3","5301"
"06-30-23 / 08:21 PM","Field","C","19","2","4104"
