"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-07-23 / 05:22 PM","Club","217","2","2","1382.25"
"07-07-23 / 12:54 PM","Club","201","2","1","2180.25"
"07-07-23 / 12:54 PM","Club","202","5","2","2902.72"
"07-07-23 / 12:54 PM","Field","FLRQ","19","2","3283.2"
"07-07-23 / 12:54 PM","Lower","104","3","2","2386.01"
"07-07-23 / 12:54 PM","Lower","104","4","3","2488.05"
"07-07-23 / 12:54 PM","Club","245","6","1","1795.49"
"07-07-23 / 12:54 PM","Lower","116","4","2","2296.1"
"07-07-23 / 12:54 PM","Club","221","5","2","2087.2"
"07-07-23 / 12:53 PM","Club","220","4","1","2137.5"
"07-07-23 / 12:53 PM","Lower","119","37","1","2223"
"07-07-23 / 12:53 PM","Lower","104","20","1","2137.5"
"07-07-23 / 12:53 PM","Lower","106","33","4","1481.29"
"07-07-23 / 12:53 PM","Club","217","8","3","1450.44"
"07-07-23 / 12:53 PM","Lower","114","19","3","1555.49"
"07-07-23 / 12:53 PM","Upper","327","22","1","1495.4"
"07-07-23 / 12:53 PM","Lower","114","15","2","1495.4"
"07-07-23 / 12:53 PM","Lower","106","35","4","1322.35"
"07-07-23 / 12:53 PM","Lower","114","28","2","1448.6"
"07-07-23 / 12:53 PM","Upper","317","33","1","1026"
"07-07-23 / 12:53 PM","Upper","317","4","2","1244.28"
"07-07-23 / 12:53 PM","Upper","317","17","1","1290.1"
"07-07-23 / 12:53 PM","Upper","317","23","2","1151.88"
"07-07-23 / 12:53 PM","Upper","317","32","2","1188.74"
"07-07-23 / 12:53 PM","Upper","317","24","2","1139.9"
"07-07-23 / 12:53 PM","Lower","121","34","1","2052"
"07-07-23 / 12:53 PM","Upper","330","22","3","1892.76"
"07-07-23 / 12:53 PM","Lower","114","32","3","1359.21"
"07-07-23 / 12:53 PM","Club","217","9","3","1299.32"
"07-07-23 / 12:53 PM","Lower","131","34","1","1710"
"07-07-23 / 12:53 PM","Lower","101","18","1","2009.25"
"07-07-23 / 12:53 PM","Upper","319","23","4","1539.83"
"07-07-23 / 12:53 PM","Field","FLRD","5","2","6070.5"
"07-07-23 / 12:53 PM","Field","FLRL","12","2","6840"
"07-07-23 / 12:53 PM","Lower","135","1","1","2351.25"
"07-07-23 / 12:53 PM","Upper","326","23","2","2223"
"07-07-23 / 12:53 PM","Upper","304","21","2","2052"
"07-07-23 / 12:53 PM","Upper","333","13","2","2778.75"
"07-07-23 / 12:53 PM","Lower","103","33","2","3082.28"
"07-07-23 / 12:53 PM","Lower","132","24","2","2479.5"
"07-07-23 / 12:53 PM","Lower","133","13","2","2551.32"
"07-07-23 / 12:53 PM","Lower","121","13","1","2376.9"
"07-07-23 / 12:53 PM","Upper","328","8","1","1667.25"
"07-07-23 / 12:53 PM","Field","FLRA","13","1","2308.5"
"07-07-23 / 12:53 PM","Lower","122","17","1","1923.75"
"07-07-23 / 12:53 PM","Field","FLRG","15","2","2616.3"
"07-07-23 / 12:53 PM","Lower","105","37","2","2097.98"
"07-07-23 / 12:53 PM","Field","FLRL","4","1","3420"
"07-07-23 / 12:53 PM","Lower","102","31","1","1710"
"07-07-23 / 09:14 AM","Upper","317","33","2","1026"
"07-07-23 / 09:14 AM","Club","217","7","2","1252.15"
"07-07-23 / 09:13 AM","Club","240","2","2","2592.64"
"07-07-23 / 09:13 AM","Lower","130","38","1","1966.5"
"07-07-23 / 09:13 AM","Field","FLRG","16","2","2441.88"
"07-07-23 / 09:13 AM","Upper","305","7","1","1235.48"
"07-07-23 / 05:30 AM","Upper","338","2","2","1950.82"
"07-07-23 / 05:30 AM","Lower","106","31","3","1468.04"
"07-07-23 / 05:30 AM","Lower","114","28","3","1381.68"
"07-07-23 / 05:30 AM","Lower","114","33","1","1295.32"
"07-07-23 / 05:30 AM","Lower","136","14","1","2543.62"
"07-07-23 / 05:30 AM","Field","FLRN","11","1","2992.5"
"07-07-23 / 05:30 AM","Lower","102","11","2","2949.75"
"07-07-23 / 05:30 AM","Upper","304","15","2","1710"
"07-07-23 / 05:30 AM","Field","FLRG","4","2","4617"
"07-07-23 / 12:57 AM","Field","FLRQ","10","2","3206.25"
"07-07-23 / 12:57 AM","Club","202","2","2","2541.5"
"07-07-23 / 12:57 AM","Field","FLRH","3","2","5130"
"07-07-23 / 12:57 AM","Field","FLRF","20","2","2441.98"
"07-07-23 / 12:57 AM","Upper","328","29","1","1284.57"
"07-07-23 / 12:57 AM","Upper","323","32","1","1196.11"
"07-07-23 / 12:57 AM","Lower","135","9","4","2778.75"
"07-07-23 / 12:57 AM","Upper","305","10","1","1282.5"
"07-07-23 / 12:57 AM","Field","FLRH","16","1","3377.25"
"07-07-23 / 12:57 AM","Lower","101","31","2","2907"
"07-07-23 / 12:57 AM","Upper","304","22","1","1400.68"
"07-07-23 / 12:57 AM","Upper","341","30","1","1349"
"07-07-23 / 12:57 AM","Field","FLRQ","8","2","3420"
"07-07-23 / 12:57 AM","Lower","124","19","1","2565"
"07-07-23 / 12:57 AM","Lower","127","19","4","3146.4"
"07-07-23 / 12:57 AM","Lower","123","36","1","2137.5"
"07-07-23 / 12:57 AM","Lower","133","A1","1","1753.04"
"07-07-23 / 12:57 AM","Upper","329","4","1","1795.5"
"07-07-23 / 12:57 AM","Field","FLRK","8","2","2894.18"
"07-07-23 / 12:57 AM","Upper","302","2","3","2027.3"
"07-07-23 / 12:57 AM","Upper","344","11","1","1353.66"
"07-07-23 / 12:57 AM","Field","FLRE","15","2","2479.5"
