"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-15-23 / 12:11 PM","Lower","103","26","3","3847.5"
"07-15-23 / 12:11 PM","Middle","303","5","1","2223"
"07-15-23 / 12:11 PM","Lower","101","30","2","2522.25"
"07-15-23 / 12:11 PM","Middle","336","W1","1","2136.64"
"07-15-23 / 12:11 PM","Field","B","5","2","5073.95"
"07-15-23 / 12:11 PM","Lower","105","39","1","3206.25"
"07-15-23 / 12:11 PM","Lower","104","32","2","3806.64"
"07-15-23 / 12:11 PM","Field","H","14","2","3847.5"
"07-15-23 / 12:11 PM","Upper","509","17","2","2818.87"
"07-15-23 / 12:11 PM","Field","M","22","1","2565"
"07-15-23 / 12:11 PM","Upper","523","5","2","2351.25"
"07-15-23 / 12:11 PM","Lower","128","30","2","1710.17"
"07-15-23 / 12:11 PM","Lower","128","28","2","2137.5"
"07-15-23 / 12:11 PM","Lower","106","27","1","2052"
"07-15-23 / 12:11 PM","Upper","500","11","3","1361.67"
"07-15-23 / 12:11 PM","Upper","542","9","4","1204.12"
"07-15-23 / 12:10 PM","Upper","500","18","2","1125.34"
"07-15-23 / 12:10 PM","Middle","300","16","4","1424.43"
"07-15-23 / 12:10 PM","Field","Q","5","2","4655"
"07-15-23 / 12:10 PM","Upper","500","21","2","1232.91"
"07-15-23 / 12:10 PM","Field","H","16","1","2655.98"
"07-15-23 / 12:10 PM","Lower","100","25","2","2211.6"
"07-15-23 / 12:10 PM","Field","P","23","2","5092.57"
"07-15-23 / 12:10 PM","Upper","523","25","2","3412.52"
"07-15-23 / 12:10 PM","Field","G","34","1","2308.5"
"07-15-23 / 12:10 PM","Upper","511","26","2","3324.46"
"07-15-23 / 12:10 PM","Lower","104","36","2","3809.02"
"07-15-23 / 12:10 PM","Lower","121","32","1","3078"
"07-15-23 / 12:10 PM","Upper Suites","S451","15","1","2090"
"07-15-23 / 12:10 PM","Lower","120","40","2","3830.83"
"07-15-23 / 12:10 PM","Upper","508","14","2","2565"
"07-15-23 / 08:57 AM","Lower","105","27","1","3420"
"07-15-23 / 08:57 AM","Upper","500","17","2","1161.98"
"07-15-23 / 08:57 AM","Upper","542","17","4","1565.63"
"07-15-23 / 08:57 AM","Upper","500","7","2","1547.2"
"07-15-23 / 04:17 AM","Field","K","15","2","3420"
"07-15-23 / 04:17 AM","Field","C","15","1","3591"
"07-15-23 / 04:17 AM","Field","C","22","3","4275"
"07-15-23 / 04:16 AM","Middle","322","9","1","2283.53"
"07-15-23 / 04:16 AM","Field","C","22","2","3206.25"
"07-15-23 / 04:16 AM","Upper","525","18","1","2137.5"
"07-15-23 / 04:16 AM","Upper","539","20","1","1235"
"07-15-23 / 04:16 AM","Upper","502","11","1","1026"
"07-15-23 / 04:16 AM","Field","K","11","1","2290.92"
"07-15-23 / 04:16 AM","Middle","300","19","3","1167.08"
"07-15-23 / 04:16 AM","Lower","128","24","1","1426.42"
"07-15-23 / 04:16 AM","Upper","500","10","3","1123.85"
"07-15-23 / 04:16 AM","Upper","502","6","1","1111.5"
"07-15-23 / 04:16 AM","Field","Q","26","2","3066.88"
"07-15-23 / 04:16 AM","Middle","300","12","3","1165.79"
"07-15-23 / 04:16 AM","Upper","542","22","4","1105.8"
"07-15-23 / 04:16 AM","Lower","101","24","1","1710"
"07-15-23 / 04:16 AM","Upper","518","10","1","1890.97"
"07-15-23 / 04:16 AM","Field","C","25","3","3377.25"
