"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-22-23 / 06:22 PM","Upper 300-Level","301","Y","1","1013.65"
"07-22-23 / 01:10 PM","Field","9","9","2","2866.79"
"07-22-23 / 01:10 PM","Lower 100-Level","124","D","2","1958.21"
"07-22-23 / 01:10 PM","Upper 300-Level","301","I","1","921.5"
"07-22-23 / 01:10 PM","Upper 300-Level","300","AA","1","855"
"07-22-23 / 04:26 AM","Club Suite","CS52","1","2","1624.5"
"07-22-23 / 04:26 AM","Field","2","29","2","3752.47"
"07-22-23 / 04:26 AM","Field","10","5","2","3229.97"
"07-22-23 / 04:26 AM","Upper 300-Level","310","KK","2","2266.39"
"07-22-23 / 04:26 AM","Field","3","6","1","2930.08"
"07-22-23 / 04:26 AM","Lower 100-Level","128","BB","2","3162.64"
"07-22-23 / 04:26 AM","Lower 100-Level","126","Z1","1","2992.5"
"07-22-23 / 04:26 AM","Upper 300-Level","316","Z","2","2436.75"
"07-22-23 / 04:26 AM","Upper 300-Level","304","GG","2","1581.75"
"07-22-23 / 04:26 AM","Field","1","25","3","6412.5"
"07-22-23 / 04:26 AM","Lower 100-Level","135","X","1","2137.5"
"07-22-23 / 04:26 AM","Middle 200-Level","CLB238","E","1","3420"
"07-22-23 / 04:26 AM","Upper 300-Level","341","A","2","1624.5"
"07-22-23 / 04:26 AM","Upper 300-Level","312","T","2","2813.68"
"07-22-23 / 04:26 AM","Upper 300-Level","309","TT","1","1709.14"
"07-22-23 / 04:26 AM","Lower 100-Level","112","Q","2","3590.92"
"07-22-23 / 04:25 AM","Lower 100-Level","133","Z","1","2565"
"07-22-23 / 04:25 AM","Field","2","18","2","4275.24"
"07-22-23 / 04:25 AM","Middle 200-Level","CLB236","I","1","2526.52"
"07-22-23 / 04:25 AM","Field","7","7","2","5130"
"07-22-23 / 04:25 AM","Lower 100-Level","125","S","2","3698.73"
"07-22-23 / 04:25 AM","Lower 100-Level","102","Y","1","1528.77"
"07-22-23 / 04:25 AM","Upper 300-Level","315","BB","2","3082.28"
"07-22-23 / 04:25 AM","Middle 200-Level","CLB207","C","2","3131.66"
"07-22-23 / 04:25 AM","Upper 300-Level","320","U","2","3522.6"
"07-22-23 / 04:25 AM","Upper 300-Level","336","V","1","2137.5"
"07-22-23 / 04:25 AM","Field","9","27","3","2567.76"
"07-21-23 / 10:45 PM","Upper 300-Level","338","AA","3","2479.5"
"07-21-23 / 10:45 PM","Field","14","11","1","4154.44"
"07-21-23 / 10:45 PM","Field","8","19","4","7267.5"
"07-21-23 / 10:45 PM","Field","3","5","2","5771.25"
