"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-29-23 / 10:40 PM","Field","A","24","2","2707.12"
"07-29-23 / 05:23 PM","400-Level","420","24","2","1208.07"
"07-29-23 / 05:23 PM","200-Level","224","10","2","1068.74"
"07-29-23 / 01:00 PM","200-Level Club","C241","12W","2","2137.5"
"07-29-23 / 09:46 AM","400-Level","419","10","1","1045.65"
"07-29-23 / 09:45 AM","300-Level","308","6","2","2392.21"
"07-29-23 / 09:45 AM","Field","P","28","2","2379.04"
"07-29-23 / 09:45 AM","400-Level","406","12","2","1671.52"
"07-29-23 / 09:45 AM","100-Level","132","10","2","1474.88"
"07-29-23 / 09:45 AM","100-Level","111","11","1","1710"
"07-29-23 / 09:45 AM","100-Level Club","C141","29","2","3420"
"07-29-23 / 09:45 AM","100-Level","131","9","4","1573.2"
"07-29-23 / 09:45 AM","100-Level","131","13","4","1376.55"
"07-29-23 / 09:45 AM","100-Level","123","20","4","1229.06"
"07-29-23 / 09:45 AM","100-Level","131","31","4","1179.9"
"07-29-23 / 09:45 AM","100-Level","123","37","2","1105.8"
"07-29-23 / 09:45 AM","200-Level","225","11","2","1179.9"
"07-29-23 / 09:45 AM","400-Level","407","4","1","1539"
"07-29-23 / 09:45 AM","400-Level","403","9","2","1761.3"
"07-29-23 / 07:16 AM","Field","C","8","1","2436.75"
"07-29-23 / 07:16 AM","400-Level","400-Level","","1","1282.5"
"07-29-23 / 07:16 AM","100-Level","118","18","1","2119.45"
"07-29-23 / 07:16 AM","200-Level Club","C238","2","2","2285.32"
"07-29-23 / 07:16 AM","300-Level","319","5","1","1473.48"
"07-29-23 / 07:16 AM","400-Level","420","10","4","1289.18"
"07-29-23 / 07:16 AM","100-Level","123","23","2","1099.75"
"07-29-23 / 07:16 AM","300-Level","321","2","4","1289.18"
"07-29-23 / 07:16 AM","100-Level","132","6","1","1197.95"
"07-29-23 / 07:16 AM","100-Level Club","C117","13","4","2711.51"
"07-29-23 / 07:16 AM","400-Level","409","20","1","1749.93"
"07-29-23 / 07:16 AM","400-Level","417","15","1","1283.95"
"07-29-23 / 07:16 AM","400-Level","418","8","1","1362.9"
"07-29-23 / 07:16 AM","300-Level","301","6","1","1703.85"
"07-29-23 / 07:16 AM","100-Level","132","33","2","1244.02"
"07-29-23 / 07:16 AM","300-Level","321","1","1","1334.33"
"07-29-23 / 07:16 AM","400-Level","416","13","1","1474.4"
"07-29-23 / 07:16 AM","400-Level","407","26","1","1709.14"
"07-29-23 / 07:16 AM","400-Level","418","10","3","1519.55"
"07-29-23 / 07:16 AM","400-Level","419","18","3","1481.77"
"07-29-23 / 07:16 AM","200-Level Club","C238","3","1","2565"
"07-29-23 / 03:29 AM","100-Level","145","7","2","2580.2"
"07-29-23 / 03:29 AM","100-Level","134","3","3","2650.5"
"07-28-23 / 10:52 PM","100-Level","121","2","2","1336.18"
"07-28-23 / 06:03 PM","100-Level","122","10","2","1320.12"
"07-28-23 / 01:10 PM","100-Level","133","2","2","1290.1"
"07-28-23 / 01:10 PM","100-Level","133","11","1","855"
"07-28-23 / 01:10 PM","400-Level","418","26","3","961.88"
"07-28-23 / 01:09 PM","100-Level","131","36","1","755.63"
"07-28-23 / 01:09 PM","100-Level Club","C139","5","2","2392.98"
"07-28-23 / 01:09 PM","100-Level Club","C116","16","4","2764.5"
"07-28-23 / 01:09 PM","100-Level","110","37","2","2134.94"
"07-28-23 / 01:09 PM","100-Level","146","6","4","2032.34"
