"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-09-23 / 08:54 PM","Upper Level","549","8","1","1082.76"
"08-09-23 / 08:54 PM","Patio Suites II","5W-11","SRO","1","1977.23"
"08-09-23 / 08:54 PM","Standing Room Only","Standing Room Only","","1","1290.1"
"08-09-23 / 08:54 PM","Patio Suites II","5W-11","SRO","3","2196.91"
"08-09-23 / 08:54 PM","Upper Level","542","9","5","1228.8"
"08-09-23 / 05:08 PM","Upper Level","549","3","1","957.6"
"08-09-23 / 05:08 PM","Club Lower Level","C128","7","1","2565"
"08-09-23 / 05:08 PM","Plaza Level","202","6","3","1316.7"
"08-09-23 / 05:08 PM","Field","Q","","2","2308.5"
"08-09-23 / 05:08 PM","Field","H","","1","2257.68"
"08-09-23 / 01:34 PM","Executive Suites","2NW-7","SRO","2","1407.9"
"08-09-23 / 01:34 PM","Club Plaza Level","C217","12","2","1966.5"
"08-09-23 / 01:34 PM","Loge","407","1","3","1612.62"
"08-09-23 / 01:34 PM","Upper Level","548","19","3","1112.83"
"08-09-23 / 10:34 AM","Lower Perch","4NW-5","BR1","2","1262.46"
"08-09-23 / 10:34 AM","Club Lower Level","C136","8","5","1282.5"
"08-09-23 / 10:34 AM","Plaza Level","231","5","1","2479.5"
"08-09-23 / 10:34 AM","Upper Level","505","22","3","967.83"
"08-09-23 / 10:34 AM","Plaza Level","238","13","2","2172.02"
"08-09-23 / 10:34 AM","Plaza Level","236","9","1","1453.5"
"08-09-23 / 10:34 AM","Upper Level","539","10","1","1385.33"
"08-09-23 / 10:34 AM","Middle Level","331","6","1","1282.5"
"08-09-23 / 10:34 AM","Plaza Level","202","15","2","1103.96"
"08-09-23 / 10:34 AM","Club Lower Level","C137","7","1","902.5"
"08-09-23 / 10:34 AM","Club Lower Level","C115","1","2","2672.35"
"08-09-23 / 10:34 AM","Upper Perch","5NW-4","BR1","4","1123.47"
"08-09-23 / 10:34 AM","VIP Lower Level","VIP130","2","1","2778.98"
"08-09-23 / 10:34 AM","Plaza Level","203","2","6","1258.77"
"08-09-23 / 10:34 AM","Club Plaza Level","C248","15","2","2007.54"
"08-09-23 / 10:34 AM","Executive Suites","2NW-7","1","1","1700.6"
"08-09-23 / 10:34 AM","Upper Level","520","13","2","1623.64"
"08-09-23 / 10:34 AM","Field","L","8","1","2736"
"08-09-23 / 07:35 AM","Upper Level","523","21","3","1923.75"
"08-09-23 / 07:35 AM","Field","P","","4","2017.69"
"08-09-23 / 07:35 AM","Field","J","11","2","2864.25"
"08-09-23 / 07:35 AM","Field","J","13","1","1966.5"
"08-09-23 / 07:35 AM","Club Plaza Level","C242","2","2","2052"
"08-09-23 / 07:35 AM","Upper Level","549","8","2","1082.76"
"08-09-23 / 07:34 AM","Upper Level","534","16","1","1089.27"
"08-09-23 / 07:34 AM","Field","N","","4","2395.9"
"08-09-23 / 07:34 AM","Field","K","4","2","2211.6"
"08-09-23 / 07:34 AM","Upper Level","550","2","2","940.5"
"08-09-23 / 07:34 AM","Upper Level","518","13","1","1025.14"
"08-09-23 / 07:34 AM","Plaza Level","211","11","2","1667.25"
"08-09-23 / 07:34 AM","Lower Level","122","3","4","2988.42"
"08-09-23 / 07:34 AM","Executive Suites","2NE-3","SRO","1","1045.34"
"08-09-23 / 07:34 AM","Upper Level","505","22","3","967.83"
"08-09-23 / 07:34 AM","Upper Level","505","15","2","1013.65"
"08-09-23 / 07:34 AM","Upper Level","541","17","6","1569.07"
"08-09-23 / 07:34 AM","Middle Level","332","4","2","1842.52"
"08-09-23 / 07:34 AM","Upper Perch","5NE-4","BR1","4","1322.35"
"08-09-23 / 07:34 AM","Upper Level","546","16","2","1705.72"
"08-09-23 / 04:30 AM","Patio Suites II","5E-20","18","2","1795.5"
"08-09-23 / 04:30 AM","Plaza Level","203","11","2","923.4"
"08-09-23 / 04:30 AM","Club Lower Level","C134","11","3","2137.5"
"08-09-23 / 12:30 AM","Club Lower Level","C108","13","2","1881"
"08-09-23 / 12:30 AM","Plaza Level","202","3","2","1236.24"
"08-09-23 / 12:30 AM","Club Lower Level","C110","12","2","2137.5"
"08-09-23 / 12:30 AM","Patio Suites II","5W-3","2","2","2137.5"
"08-09-23 / 12:30 AM","Middle Level","335","7","2","1624.5"
"08-08-23 / 08:12 PM","Field","N","22","2","2073.38"
"08-08-23 / 08:12 PM","Plaza Level","212","14","2","1105.8"
"08-08-23 / 08:12 PM","VIP Plaza Level","VIP247","9","2","2223"
"08-08-23 / 08:12 PM","Upper Perch","5NW-8","1","3","1409.9"
"08-08-23 / 08:12 PM","Upper Level","521","15","3","1282.5"
"08-08-23 / 04:12 PM","Field","B","26","2","1916.72"
"08-08-23 / 04:12 PM","Field","B","","2","1853.98"
"08-08-23 / 04:12 PM","Lower Perch","4NE-1","1","2","1391.46"
"08-08-23 / 04:12 PM","VIP Plaza Level","VIP245","16","2","2137.5"
"08-08-23 / 12:39 PM","Club Lower Level","C137","13","1","855"
