"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-25-23 / 11:15 PM","Lower Tier","11 Lower","1","2","1320.26"
"08-25-23 / 11:15 PM","Upper Tier","2 Upper","7","2","1523.38"
"08-25-23 / 07:02 PM","Platino C","Floor 35","1","2","1496.25"
"08-25-23 / 07:02 PM","Platino C","Floor 31","4","2","1624.94"
"08-25-23 / 07:02 PM","Platino C","Platino C","1","2","1619.86"
"08-25-23 / 07:02 PM","Lower Tier","11 Lower","2","2","1275.12"
"08-25-23 / 07:02 PM","Platino B","Floor 17","7","2","1974.75"
"08-25-23 / 07:02 PM","Platino C","Platino C","6","1","1167.92"
"08-25-23 / 07:02 PM","Upper Tier","11 Upper","4","2","902.69"
"08-25-23 / 07:02 PM","Upper Tier","Upper Tier","","2","1410.53"
"08-25-23 / 07:02 PM","Upper Tier","1 Upper","17","2","1269.48"
"08-25-23 / 07:02 PM","Upper Tier","2 Upper","18","2","1371.04"
"08-25-23 / 07:02 PM","Upper Tier","14 Upper","","2","1015.58"
"08-25-23 / 02:51 PM","Upper Tier","1 Upper","27","1","842.18"
"08-25-23 / 08:14 AM","Upper Tier","11 Upper","4","2","1117.14"
"08-25-23 / 05:50 AM","Platino C","Platino C","10","1","1373.99"
"08-25-23 / 05:50 AM","Platino B","Platino B","10","1","1811.59"
"08-25-23 / 05:50 AM","Lower Tier","7 Lower","11","4","2544.43"
"08-25-23 / 02:23 AM","Lower Tier","10 Lower","13","2","1424.88"
"08-24-23 / 10:27 PM","Lower Tier","11 Lower","3","3","1111.5"
"08-24-23 / 10:27 PM","Platino B","Platino B","1","2","2239.1"
"08-24-23 / 10:27 PM","Platino C","Floor 34","4","2","1933.77"
"08-24-23 / 10:27 PM","Upper Tier","2 Upper","","1","661.55"
"08-24-23 / 06:01 PM","Platino C","Platino C","","1","1300.49"
"08-24-23 / 06:01 PM","Upper Tier","17 Upper","","2","1017.77"
"08-24-23 / 06:01 PM","Upper Tier","1 Upper","16","1","1011.55"
"08-24-23 / 06:01 PM","Upper Tier","11 Upper","4","2","1119.55"
"08-24-23 / 06:01 PM","Upper Tier","26","","1","848.14"
"08-24-23 / 06:01 PM","Lower Tier","Lower Tier","","2","1624.5"
"08-24-23 / 06:01 PM","Upper Tier","Upper Tier","","2","1282.5"
"08-24-23 / 06:01 PM","Platino C","Floor 34","","1","1881"
"08-24-23 / 01:34 PM","Upper Tier","25","24","2","849.79"
"08-24-23 / 01:34 PM","Platino C","Platino C","","2","1154.25"
"08-24-23 / 04:41 AM","Platino A","Platino A","16","1","2530.34"
"08-24-23 / 04:41 AM","Platino B","Floor 13","9","1","1518.23"
"08-24-23 / 04:41 AM","Platino B","Floor 20","3","2","2359.24"
"08-24-23 / 04:41 AM","Platino B","Platino B","6","1","1163.98"
"08-24-23 / 04:41 AM","Platino C","Platino C","6","1","1012.16"
"08-24-23 / 04:41 AM","Platino C","Platino C","13","1","1771.27"
"08-24-23 / 04:41 AM","Platino B","Platino B","4","2","2024.31"
"08-24-23 / 04:41 AM","Upper Tier","9 Upper","12","1","1492.93"
"08-24-23 / 01:04 AM","Lower Tier","4 Lower","9","1","1610.23"
"08-24-23 / 01:04 AM","Platino A","Floor 3","13","2","1708.26"
"08-24-23 / 01:04 AM","Platino B","Floor 21","8","1","1062.76"
"08-23-23 / 09:03 PM","Platino A","Floor 9","","2","1603.76"
"08-23-23 / 09:03 PM","Platino C","Floor 38","","2","1045"
"08-23-23 / 09:03 PM","Upper Tier","13 Upper","22","2","860.33"
"08-23-23 / 05:06 PM","Platino A","Floor 4","5","1","1771.27"
"08-23-23 / 05:06 PM","Platino C","Floor 33","","2","1237.08"
"08-23-23 / 05:06 PM","Lower Tier","7 Lower","13","1","1088.07"
"08-23-23 / 05:06 PM","Platino C","Floor 33","11","1","1163.98"
"08-23-23 / 01:17 PM","Platino C","Floor 31","","2","1462"
"08-23-23 / 01:17 PM","Upper Tier","30","22","4","1265.19"
"08-23-23 / 05:59 AM","Platino A","Floor 2","15","4","3419.77"
