"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-18-23 / 05:49 PM","Pista","Pista","","3","41.67"
"11-18-23 / 05:49 PM","Premium","Pista","","1","155.75"
"11-18-23 / 01:51 PM","Arquibancada Inferior","Arquibancada Inferior","","2","146.58"
"11-18-23 / 01:51 PM","Arquibancada Superior","Setor superior oeste","????","1","108"
"11-18-23 / 01:51 PM","Pista","Pista","","1","71.55"
"11-18-23 / 01:51 PM","Pista","Pista","","3","44.03"
"11-18-23 / 10:23 AM","Arquibancada Inferior","Setor inferior oeste","","2","126"
"11-18-23 / 10:23 AM","Arquibancada Inferior","Setor inferior oeste","GA","2","153.36"
"11-18-23 / 07:20 AM","Pista","Pista","N/A","1","76.3"
"11-17-23 / 11:59 PM","Premium","Pista","","2","166.01"
"11-17-23 / 11:59 PM","Arquibancada Superior","Setor superior leste","","3","67.5"
"11-17-23 / 11:59 PM","Pista","Pista","","2","48.83"
"11-17-23 / 11:59 PM","Arquibancada Superior","Setor superior leste","GA","2","72"
"11-17-23 / 11:59 PM","Pista","Pista","","1","47.74"
"11-17-23 / 11:59 PM","Pista","Pista","","2","46.26"
"11-17-23 / 11:59 PM","Pista","Pista","","3","58.5"
"11-17-23 / 11:59 PM","Pista","Pista","","4","52.42"
"11-17-23 / 02:31 PM","Arquibancada Superior","Setor superior oeste","","3","103.5"
"11-17-23 / 02:31 PM","Pista","Pista","","2","45"
"11-17-23 / 10:16 AM","Pista","Pista","","1","42.38"
"11-17-23 / 10:16 AM","Premium","Pista","","1","153"
"11-17-23 / 02:53 AM","Premium","Pista","","2","166.4"
"11-17-23 / 02:53 AM","Arquibancada Superior","Setor superior leste","","1","75.89"
"11-16-23 / 05:33 PM","Pista","Pista","","2","55.53"
"11-16-23 / 01:14 PM","Arquibancada Superior","Setor superior leste","","1","81"
"11-16-23 / 09:48 AM","Pista","Pista","","1","38.7"
"11-15-23 / 09:54 PM","Arquibancada Superior","Setor superior oeste","","1","64.74"
"11-15-23 / 07:54 PM","Arquibancada Superior","Setor superior leste","","1","92.48"
"11-15-23 / 07:54 PM","Pista","Pista","","1","45"
"11-15-23 / 07:54 PM","Arquibancada Superior","Setor superior leste","","2","65.76"
"11-15-23 / 06:05 PM","Arquibancada Superior","Setor superior oeste","GA","1","81"
"11-15-23 / 04:06 PM","Arquibancada Superior","Setor superior oeste","","1","61.56"
"11-15-23 / 02:18 PM","Arquibancada Superior","Setor superior leste","","1","92.48"
"11-15-23 / 12:25 PM","Pista","Pista","","2","27"
"11-15-23 / 12:25 PM","Arquibancada Superior","Arquibancada Superior","","1","110.98"
"11-15-23 / 10:35 AM","Arquibancada Superior","Setor superior oeste","N/A","1","92.3"
"11-15-23 / 08:54 AM","Arquibancada Inferior","Arquibancada Inferior","","1","231.21"
"11-15-23 / 07:11 AM","Pista","Pista","","1","27"
"11-15-23 / 05:36 AM","Pista","Pista","","3","49.5"
"11-15-23 / 03:49 AM","Pista","Pista","","2","89.1"
"11-14-23 / 10:29 PM","Pista","Pista","","1","39.09"
"11-14-23 / 10:28 PM","Pista","Pista","","2","40.5"
"11-14-23 / 08:38 PM","Pista","Pista","","1","42.3"
"11-14-23 / 05:16 PM","Pista","Pista","","1","42.3"
"11-14-23 / 05:16 PM","Arquibancada Inferior","Setor inferior leste","","3","163.01"
"11-14-23 / 03:37 PM","Arquibancada Superior","Setor superior oeste","","5","74.28"
"11-14-23 / 01:57 PM","Pista","Pista","","1","40.5"
"11-14-23 / 12:22 PM","Premium","Pista","","2","164.86"
"11-14-23 / 12:22 PM","Arquibancada Inferior","Setor inferior oeste","","1","131.63"
"11-14-23 / 10:43 AM","Pista","Pista","","1","38.7"
"11-14-23 / 10:43 AM","Pista","Pista","","1","40.06"
"11-14-23 / 10:43 AM","Arquibancada Superior","Setor superior leste","","1","82.52"
"11-14-23 / 10:43 AM","Arquibancada Superior","Setor superior oeste","GA","1","72.07"
"11-14-23 / 09:09 AM","Pista","Pista","","1","43.2"
"11-14-23 / 07:31 AM","Pista","Pista","","1","38.7"
"11-14-23 / 07:31 AM","Arquibancada Superior","Setor superior leste","GA","2","63"
"11-14-23 / 05:55 AM","Arquibancada Superior","Setor superior oeste","CAD","0","45.85"
"11-14-23 / 05:55 AM","Pista","Pista","","2","40.06"
"11-14-23 / 05:55 AM","Premium","Pista","","1","265.91"
