"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-26-23 / 03:21 AM","Lower Tier","Cadeira Inferior","","1","1101.41"
"11-26-23 / 03:21 AM","Lower Tier","Cadeira Inferior Norte A","","1","717.96"
"11-26-23 / 03:21 AM","Lower Tier","Cadeira Inferior Norte A","Visão","1","917.84"
"11-24-23 / 11:49 AM","Upper Seating","Cadeira Superior Norte A","","2","788.95"
"11-24-23 / 01:41 AM","Lower Tier","Cadeira Inferior","All","1","623.62"
"11-23-23 / 05:24 PM","Floor","Pista Premium.","","3","1222.79"
"11-22-23 / 11:56 PM","Upper Seating","Cadeira Superior Norte A","Visão","1","550.94"
"11-22-23 / 02:58 PM","Lower Tier","Cadeira Inferior","x","2","918.24"
"11-22-23 / 10:47 AM","Floor","Pista Premium.","","3","1224.31"
"11-22-23 / 07:51 AM","Lower Tier","Cadeira Inferior Norte B","","1","367.29"
"11-22-23 / 01:47 AM","Lower Tier","Cadeira Inferior","Karma","2","788.12"
"11-21-23 / 09:30 PM","Lower Tier","Cadeira Inferior","","1","1112.65"
"11-21-23 / 05:09 PM","Lower Tier","Cadeira Inferior Norte A","","2","480.6"
"11-21-23 / 05:09 PM","Upper Seating","Cadeira Superior Norte B","","1","283.23"
"11-21-23 / 01:12 PM","Floor","Pista Premium.","","5","990.25"
"11-21-23 / 09:50 AM","Lower Tier","Cadeira Inferior Norte A","1","1","475"
"11-20-23 / 12:26 PM","Floor","Pista Premium.","","1","641.7"
"11-20-23 / 06:27 AM","Boxes","Camarote","MIRAN","2","927.56"
"11-20-23 / 06:27 AM","Lower Tier","Cadeira Inferior Norte A","Parci","1","371.02"
"11-19-23 / 11:33 PM","Lower Tier","Cadeira Inferior Norte B","","2","450"
"11-19-23 / 07:45 PM","","Cadeira Inferior Leste","GA","1","484.08"
"11-19-23 / 01:08 AM","Upper Seating","Cadeira Superior","","2","642.08"
"11-18-23 / 10:23 AM","Lower Tier","Cadeira Inferior","","2","507.08"
"11-17-23 / 11:59 PM","Upper Seating","Cadeira Superior","","1","406.25"
"11-17-23 / 02:31 PM","Upper Seating","Cadeira Superior Norte B","GA","2","312.3"
"11-17-23 / 02:53 AM","Lower Tier","Cadeira Inferior Norte A","","2","247.5"
"11-16-23 / 10:09 PM","Floor","Pista Premium.","","2","555.1"
"11-16-23 / 10:09 PM","Upper Seating","Cadeira Superior Norte B","GA","1","299.7"
"11-16-23 / 05:33 PM","Upper Seating","Cadeira Superior","GA","2","360"
"11-16-23 / 05:33 PM","Lower Tier","Cadeira Inferior Norte B","","1","277.64"
"11-16-23 / 05:33 PM","Upper Seating","Cadeira Superior Norte B","","2","360"
"11-15-23 / 11:53 PM","Lower Tier","Cadeira Inferior Norte A","1","2","396"
"11-15-23 / 10:35 AM","Lower Tier","Cadeira Inferior","sem","1","397.67"
"11-15-23 / 10:35 AM","Upper Seating","Cadeira Superior Norte A","Parci","1","369.93"
"11-15-23 / 12:15 AM","Boxes","Camarote","","2","733.54"
"11-14-23 / 08:38 PM","Floor","Pista Premium.","","2","549.97"
"11-14-23 / 06:55 PM","Boxes","Camarote","","2","426.78"
"11-14-23 / 05:15 PM","Lower Tier","Cadeira Inferior","","1","394.28"
"11-14-23 / 05:15 PM","Upper Seating","Cadeira Superior","","1","330.09"
"11-14-23 / 03:37 PM","Lower Tier","Cadeira Inferior","Livre","1","586.83"
"11-14-23 / 12:22 PM","Lower Tier","Cadeira Inferior Norte A","","4","329.07"
"11-14-23 / 10:43 AM","Lower Tier","Cadeira Inferior Norte B","","2","275.08"
"11-14-23 / 05:56 AM","Floor","Pista Premium.","","1","550.16"
"11-14-23 / 05:55 AM","Upper Seating","Cadeira Superior Norte A","","0","245.74"
