"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-16-24 / 12:16 AM","Top Deck","Q9","","1","466.88"
"02-16-24 / 12:16 AM","Floor","B10","L","2","1844.35"
"02-16-24 / 12:16 AM","Floor","B2","V","2","947.02"
"02-15-24 / 08:06 PM","Level 1","M4","","4","345.69"
"02-15-24 / 08:06 PM","Top Deck","Q39","Q","4","166.33"
"02-15-24 / 12:05 PM","Level 1","M10","1","1","378.17"
"02-15-24 / 12:05 PM","Top Deck","Q40","MM","4","393.61"
"02-15-24 / 08:45 AM","Level 1","M44","R","1","548.26"
"02-15-24 / 08:45 AM","Top Deck","Top Deck","","4","259.13"
"02-15-24 / 05:37 AM","Top Deck","Q27","D","1","175.5"
"02-15-24 / 05:37 AM","Top Deck","Q11","AA","2","660.41"
"02-15-24 / 02:17 AM","Level 1","M28","JJ","2","787.5"
"02-15-24 / 02:17 AM","Top Deck","Q40","X","2","386.1"
"02-14-24 / 10:24 PM","Floor","A5","","2","3102.69"
"02-14-24 / 10:24 PM","Top Deck","Q9","","1","517.03"
"02-14-24 / 06:33 PM","Floor","Floor","","2","957.21"
"02-14-24 / 06:33 PM","Top Deck","Q41","Y","1","232.67"
"02-14-24 / 02:36 PM","Top Deck","Q44","E","2","500"
"02-14-24 / 11:06 AM","Top Deck","Q24","V","4","360"
"02-14-24 / 08:08 AM","Floor","B9","P","1","677.78"
"02-14-24 / 08:08 AM","Top Deck","Q28","V","3","198"
"02-14-24 / 08:08 AM","Level 1","M43","Q","2","594"
"02-14-24 / 08:08 AM","Top Deck","Q43","","2","490.5"
"02-14-24 / 08:08 AM","Level 1","M20","JJ","1","559.33"
"02-14-24 / 08:08 AM","Level 2","N49","E","2","495"
"02-14-24 / 08:08 AM","Top Deck","Q40","GG","2","130.61"
"02-14-24 / 08:08 AM","Level 2A","P28","A","1","155.22"
"02-14-24 / 08:08 AM","Top Deck","Q40","D","1","232.08"
"02-14-24 / 08:08 AM","Floor","D6","W","2","675"
"02-14-24 / 08:08 AM","Level 2","N50","D","2","658.38"
