"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-23-24 / 12:16 PM","Lower Tier","101 1","15","1","467.41"
"02-23-24 / 08:51 AM","Lower Tier","135 1","6","1","433"
"02-23-24 / 08:51 AM","Middle Tier","402","15","2","473.4"
"02-23-24 / 08:51 AM","Lower Tier","101 1","13","4","413.51"
"02-23-24 / 08:51 AM","Arena Floor","B9","8","1","1005.67"
"02-23-24 / 08:51 AM","Lower Tier","101 1","11","1","584.41"
"02-23-24 / 05:10 AM","Middle Tier","439 1","12","4","408.36"
"02-23-24 / 05:10 AM","Lower Tier","137 1","21","2","408.36"
"02-23-24 / 05:10 AM","Upper Tier","623 2","","1","491.82"
"02-23-24 / 12:46 AM","Upper Tier","625 2","43","1","315"
"02-23-24 / 12:46 AM","Middle Tier","320","2","1","347.4"
"02-22-24 / 08:16 PM","Middle Tier","437 1","","3","472.15"
"02-22-24 / 08:16 PM","Lower Tier","137 2","48","4","349"
"02-22-24 / 08:16 PM","Lower Tier","136 1","7","1","270"
"02-22-24 / 08:16 PM","Lower Tier","102 1","6","4","412.54"
"02-22-24 / 03:36 PM","Upper Tier","612 1","1","4","412.48"
"02-22-24 / 03:36 PM","Lower Tier","103 1","8","2","432"
"02-22-24 / 03:36 PM","Lower Tier","101 1","3","4","371.23"
"02-22-24 / 08:14 AM","Upper Tier","Upper Tier","43","1","630"
"02-22-24 / 08:14 AM","Lower Tier","103 1","27","1","671.17"
"02-22-24 / 04:58 AM","Arena Floor","A7","K","1","2098.39"
"02-22-24 / 04:58 AM","Arena Floor","A7","K","1","2098.39"
"02-22-24 / 04:58 AM","Upper Tier","606 2","45","2","1171.78"
"02-22-24 / 12:55 AM","Upper Tier","621 1","7","2","810"
"02-22-24 / 12:55 AM","Middle Tier","321","10","2","630"
"02-22-24 / 12:55 AM","Lower Tier","102 2","42","1","617.87"
"02-21-24 / 08:36 PM","Arena Floor","A7","K","2","2423.49"
"02-21-24 / 08:35 PM","Upper Tier","620 1","7","2","650.21"
"02-21-24 / 08:35 PM","Upper Tier","630 1","","1","708.89"
"02-21-24 / 12:26 PM","Arena Floor","D3","","4","817.75"
"02-21-24 / 08:55 AM","Arena Floor","Arena Floor","","4","1753"
"02-21-24 / 05:27 AM","Lower Tier","Lower Tier","","4","929.34"
"02-20-24 / 08:59 PM","Upper Tier","Upper Tier","","4","1045.58"
"02-19-24 / 06:59 AM","Lower Tier","136 2","46","1","553.15"
"02-19-24 / 06:59 AM","Lower Tier","138 1","23","1","388.57"
"02-19-24 / 06:59 AM","Lower Tier","102 1","26","2","720.02"
"02-18-24 / 11:32 PM","Lower Tier","137 1","24","1","899.93"
"02-18-24 / 04:57 AM","Lower Tier","138 2","36","1","388.14"
"02-18-24 / 01:04 AM","Lower Tier","137 1","24","2","1042.02"
"02-17-24 / 09:02 PM","Arena Floor","C1","ZA","1","1150.45"
"02-16-24 / 10:08 PM","Arena Floor","D2","X","2","1133.9"
"02-16-24 / 10:08 PM","Arena Floor","C3","F","2","1205.3"
"02-16-24 / 05:44 PM","Middle Tier","317","","2","645.17"
"02-16-24 / 05:44 PM","Upper Tier","613 1","","2","422.78"
"02-16-24 / 01:33 PM","Lower Tier","136 2","45","3","633.65"
"02-15-24 / 12:05 PM","Lower Tier","137 2","40","3","270"
"02-15-24 / 05:37 AM","Lower Tier","137 1","22","2","376.29"
"02-15-24 / 05:37 AM","Arena Floor","D2","V","2","881.1"
"02-15-24 / 02:17 AM","Lower Tier","137 2","51","1","301.03"
"02-15-24 / 02:17 AM","Lower Tier","102 2","42","1","423.81"
"02-14-24 / 10:24 PM","Upper Tier","602 1","8","2","367.72"
"02-14-24 / 11:06 AM","Lower Tier","117 1","9","2","854.75"
"02-13-24 / 06:14 PM","Lower Tier","136 2","33","1","287.65"
"02-13-24 / 06:14 PM","Lower Tier","137 1","22","4","328.87"
"02-13-24 / 02:25 PM","Lower Tier","137 2","51","2","255.16"
"02-13-24 / 01:35 AM","Middle Tier","428 1","D","2","631.55"
"02-12-24 / 09:49 PM","Middle Tier","402","1","1","521.13"
"02-10-24 / 01:00 PM","Middle Tier","402","15","2","396.32"
"02-10-24 / 01:00 PM","Upper Tier","632 1","13","2","338.55"
"02-09-24 / 02:55 AM","Lower Tier","118 1","23","2","805.46"
"02-08-24 / 06:13 PM","Arena Floor","C5","J","1","717.58"
"02-08-24 / 02:08 AM","Upper Tier","621 1","11","2","630.99"
"02-07-24 / 04:47 PM","Middle Tier","438 1","F","4","610.04"
"02-07-24 / 12:36 AM","Upper Tier","628 1","17","2","745.51"
"02-06-24 / 03:37 PM","Upper Tier","Upper Tier","","4","1042.9"
"02-04-24 / 06:53 AM","Lower Tier","116 2","44","1","862.57"
"01-23-24 / 04:36 AM","Lower Tier","102 1","27","1","226.54"
"01-15-24 / 09:16 PM","Arena Floor","Arena Floor","","4","1369.47"
"01-14-24 / 03:55 AM","Arena Floor","A8","","2","2379.26"
"11-25-23 / 06:55 AM","Lower Tier","Lower Tier","","3","162.07"
"11-22-23 / 11:45 PM","Lower Tier","136 2","","4","179.92"
"11-22-23 / 05:15 PM","Middle Tier","439 1","5","2","336.29"
"11-15-23 / 10:35 AM","Middle Tier","Middle Tier","","2","433.28"
"11-14-23 / 10:43 AM","Arena Floor","D5","V","4","806.84"
"11-14-23 / 10:43 AM","Arena Floor","A1","E","1","1498.65"
