"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-07-24 / 05:21 AM","Floor","PF6","25","1","530.61"
"03-07-24 / 05:21 AM","Floor","PF6","21","2","560.12"
"03-07-24 / 05:21 AM","Level 100","120","BB????","2","266.29"
"03-07-24 / 05:21 AM","Level 100","120","CC????","2","278.88"
"03-07-24 / 05:21 AM","Floor","PC4","3","2","704.72"
"03-07-24 / 05:21 AM","Level 600","617","G","2","395.44"
"03-07-24 / 05:21 AM","Floor","PF1A","17","2","427.9"
"03-07-24 / 05:21 AM","Level 100","135","X","1","585.82"
"03-07-24 / 05:21 AM","Level 100","131","L","2","289.36"
"03-07-24 / 05:21 AM","Level 600","644","A","1","520.87"
"03-07-24 / 05:21 AM","Level 400","431","G","2","277.5"
"03-07-24 / 05:21 AM","Level 600","641","L","2","524.48"
"03-07-24 / 05:21 AM","Level 100","131","V","4","249.27"
"03-07-24 / 05:21 AM","Floor","PG7","6","2","382.95"
"03-07-24 / 05:21 AM","Floor","PF1A","5","2","820.26"
"03-07-24 / 05:21 AM","Level 100","120","D","2","255.38"
"03-07-24 / 05:21 AM","Floor","PF1A","13","2","432.9"
"03-07-24 / 05:21 AM","Floor","PH3","22","1","682.31"
"03-07-24 / 05:21 AM","Level 100","135","DD","2","555.75"
"03-07-24 / 05:21 AM","Level 100","111","EE","2","616.05"
"03-07-24 / 05:21 AM","Floor","PA1","5","3","645.19"
"03-07-24 / 05:21 AM","Level 100","131","M","1","281.55"
"03-07-24 / 05:21 AM","Floor","PG1","7","2","399.6"
"03-07-24 / 05:21 AM","Level 100","131","","2","260.52"
"03-07-24 / 05:21 AM","Floor","PE4","2","1","401.17"
"03-07-24 / 05:21 AM","Floor","PF7A","18","2","441.22"
"03-07-24 / 05:21 AM","Level 100","120","","2","302.7"
"03-07-24 / 05:21 AM","Floor","PG4","19","2","632.7"
"03-07-24 / 05:21 AM","Level 100","120","Q","5","264.74"
"03-07-24 / 05:21 AM","Floor","PF1A","15","1","434.2"
"03-07-24 / 05:21 AM","Level 100","119B","X","1","295.54"
"03-07-24 / 05:21 AM","Floor","PF1A","8","1","689.2"
"03-07-24 / 05:21 AM","Floor","PF7A","","2","525.75"
"03-07-24 / 05:21 AM","Floor","PF7A","19","4","427.9"
"03-07-24 / 05:21 AM","Level 100","131","AA","2","289.66"
"03-07-24 / 05:21 AM","Level 100","120","Y","2","249.41"
"03-07-24 / 05:21 AM","Level 600","633","D","4","348.82"
"03-07-24 / 05:21 AM","Level 600","645","B","1","601.67"
"03-07-24 / 05:21 AM","Level 600","632","M","1","280.55"
"03-07-24 / 05:21 AM","Level 100","116","DD","2","545.29"
"03-07-24 / 05:21 AM","Level 100","134","DD","4","487.01"
"03-07-24 / 05:21 AM","Floor","PG4","20","2","612.18"
"03-07-24 / 12:24 AM","Level 100","139","AA","2","672.07"
"03-07-24 / 12:24 AM","Level 100","119B","V","1","312.44"
"03-07-24 / 12:24 AM","Floor","PH2","17","2","415.64"
"03-07-24 / 12:24 AM","Level 100","120","Y","2","257.98"
"03-07-24 / 12:24 AM","Level 100","119B","X","2","314.68"
"03-07-24 / 12:24 AM","Level 100","120","D","2","265.99"
"03-07-24 / 12:24 AM","Level 600","615","K","1","434.2"
"03-07-24 / 12:24 AM","Floor","PG1","12","2","361.89"
"03-07-24 / 12:24 AM","Level 100","131","","2","281.55"
"03-07-24 / 12:24 AM","Level 100","115","DD","2","674.07"
"03-07-24 / 12:24 AM","Floor","PF1A","7","1","432.92"
"03-07-24 / 12:24 AM","Floor","PA1","10","1","372.46"
"03-07-24 / 12:24 AM","Floor","PH3","2","1","476.82"
"03-07-24 / 12:24 AM","Floor","PD4","10","1","620.28"
"03-07-24 / 12:24 AM","Floor","PB3","29","1","563.09"
"03-07-24 / 12:24 AM","Level 600","639","L","2","465.28"
"03-07-24 / 12:24 AM","Floor","PF1","16","1","582.83"
