"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-11-24 / 01:18 PM","Boxes","213","","3","570.95"
"05-11-24 / 01:18 PM","Floor","General Admission","","2","224.33"
"05-11-24 / 01:18 PM","Lower Tier","113","29","2","374.62"
"05-11-24 / 01:18 PM","Floor","General Admission","","5","248.92"
"05-11-24 / 01:18 PM","Floor","Front Standing Left","","2","358.93"
"05-11-24 / 01:18 PM","Floor","Front Standing Left","","2","239.76"
"05-11-24 / 01:18 PM","Lower Tier","117","24","2","333"
"05-11-24 / 01:18 PM","Boxes","212","","5","516.5"
"05-11-24 / 01:18 PM","Upper Tier","409","54","3","270.69"
"05-11-24 / 01:18 PM","Upper Tier","413","55","3","275.47"
"05-11-24 / 01:17 PM","Floor","General Admission","","1","291.38"
"05-11-24 / 01:17 PM","Floor","Front Standing Right","","3","358.93"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","273.38"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","179.47"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","228.04"
"05-11-24 / 01:17 PM","Lower Tier","113","27","1","233.31"
"05-11-24 / 01:17 PM","Floor","General Admission","","3","178.99"
"05-11-24 / 01:17 PM","Upper Tier","421","52","2","177.68"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","157.93"
"05-11-24 / 01:17 PM","Lower Tier","116","12","2","502.51"
"05-11-24 / 01:17 PM","Lower Tier","107","16","2","439.38"
"05-11-24 / 01:17 PM","Lower Tier","114","19","3","448.67"
"05-11-24 / 01:17 PM","Lower Tier","113","20","4","377.26"
"05-11-24 / 01:17 PM","Lower Tier","110","20","2","405.53"
"05-11-24 / 01:17 PM","Lower Tier","112","22","4","407"
"05-11-24 / 01:17 PM","Floor","Front Standing Left","","2","358.93"
"05-11-24 / 01:17 PM","Upper Tier","405","62","6","328.38"
"05-11-24 / 01:17 PM","Floor","Front Standing Right","","2","306.74"
"05-11-24 / 01:17 PM","Lower Tier","113","22","4","313.49"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","224.33"
"05-11-24 / 01:17 PM","Floor","General Admission","","1","234.51"
"05-11-24 / 01:17 PM","Upper Tier","414","41","2","239.61"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","213.05"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","222.54"
"05-11-24 / 01:17 PM","Floor","General Admission","","3","179.47"
"05-11-24 / 01:17 PM","Lower Tier","117","22","1","192.71"
"05-11-24 / 01:17 PM","Lower Tier","107","22","1","277.5"
"05-11-24 / 01:17 PM","Lower Tier","112","23","3","348.72"
"05-11-24 / 01:17 PM","Lower Tier","108","10","4","295.54"
"05-11-24 / 01:17 PM","Lower Tier","111","14","2","291.38"
"05-11-24 / 01:17 PM","Lower Tier","111","15","2","291.63"
"05-11-24 / 01:17 PM","Floor","General Admission","","2","228.37"
"05-11-24 / 01:17 PM","Upper Tier","412","44","2","320.78"
