"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 39","C","2","218.08"
"05-25-24 / 09:58 AM","Floor","Floor","","2","538.25"
"05-25-24 / 09:58 AM","Floor","Front","","2","397.94"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 16","D","2","253.75"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 41","S","4","172.33"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 40","A","4","180.65"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 28","A","2","129.04"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 40","O","4","147.35"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 18","H","1","472.42"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 30","G","2","391.44"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 10","X","1","332.94"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 02","a","1","219.96"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 17","b","1","211.17"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 13","L","2","269.96"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 29","D","1","151.53"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 03","E","4","439.55"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 20","E","1","253.34"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 37","D","1","134.08"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","C","3","179.07"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","B","4","152.07"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 30","N","4","134.08"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 32","K","2","437.55"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 29","Q","2","182.13"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","G","2","141.52"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 37","C","3","140.77"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","A","3","136.3"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","E","2","137.24"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 38","Q","4","126.98"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 29","u","1","175.97"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 12","m","2","307.95"
"05-25-24 / 09:58 AM","Upper Tier","Upper Tier","","4","123.93"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 16","G","1","282.48"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 28","G","4","129.04"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 15","I","2","341.09"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 29","R","4","205.63"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 18","K","2","393.71"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 18","B","2","384.93"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 39","E","2","176.49"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 39","B","2","228.94"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 39","C","2","212.29"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 39","D","4","203.96"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 29","A","2","166.5"
"05-25-24 / 09:58 AM","Middle Tier","Piso Um 39","F","3","206.46"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 39","L","4","218.08"
"05-25-24 / 09:58 AM","Upper Tier","Piso Tres 25","AL","2","300.56"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 12","X","2","348.81"
"05-25-24 / 09:58 AM","Lower Tier","Piso Zero 15","P","1","391.28"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 02","a","3","290.35"
"05-25-24 / 01:02 AM","Upper Tier","Piso Tres 10","X","2","332.94"
"05-25-24 / 01:02 AM","Floor","Front","","3","372.66"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 02","E","3","323.85"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 07","F","2","462.44"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 29","Q","1","191.81"
"05-25-24 / 01:02 AM","Middle Tier","Piso Um 39","E","1","176.49"
"05-25-24 / 01:02 AM","Middle Tier","Piso Um 39","C","2","212.29"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 16","f","2","246.36"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 02","C","4","396.39"
"05-25-24 / 01:02 AM","Upper Tier","Piso Tres 26","S","2","215.78"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 15","J","2","306.01"
"05-25-24 / 01:02 AM","Middle Tier","Piso Um 29","E","2","145.17"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 18","J","2","481.39"
"05-25-24 / 01:02 AM","Upper Tier","Piso Tres 41","V","2","201.54"
"05-25-24 / 01:02 AM","Upper Tier","Piso Tres 24","AI","2","293.5"
"05-25-24 / 01:02 AM","Lower Tier","Piso Zero 20","T","2","299.95"
"05-25-24 / 01:02 AM","Upper Tier","Piso Tres 13","AD","1","287.91"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 20","E","3","322.94"
"05-24-24 / 08:09 PM","Middle Tier","Piso Um 37","D","3","152.07"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 29","L","2","134.08"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 29","U","2","303.07"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 29","Q","1","191.81"
"05-24-24 / 08:09 PM","Middle Tier","Piso Um 29","A","1","124.68"
"05-24-24 / 08:09 PM","Middle Tier","Piso Um 29","C","2","141.52"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 16","G","1","428.16"
"05-24-24 / 08:09 PM","Middle Tier","Piso Um 29","C","3","152.07"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 02","A","1","307.95"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 20","","2","269.06"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 30","S","2","122.63"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 29","N","2","106.56"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 30","M","2","116.08"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 04","S","2","449.93"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 38","S","2","102.95"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 07","A","1","298.82"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 16","A","1","290.02"
"05-24-24 / 08:09 PM","Lower Tier","Piso Zero 29","L","1","192.69"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 28","D","1","149.98"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 39","N","2","96.52"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 39","V","4","136.37"
"05-24-24 / 08:09 PM","Upper Tier","Piso Tres 29","E","2","104.98"
"05-24-24 / 08:08 PM","Lower Tier","Piso Zero 07","b","1","340.51"
"05-24-24 / 08:08 PM","Lower Tier","Piso Zero 15","a","2","351.94"
"05-24-24 / 08:08 PM","Upper Tier","Piso Tres 29","Q","2","129.98"
"05-24-24 / 08:08 PM","Middle Tier","Piso Um 38","F","4","120.62"
"05-24-24 / 08:08 PM","Upper Tier","Piso Tres 39","F","4","96.98"
"05-24-24 / 08:08 PM","Lower Tier","Piso Zero 12","m","2","483.92"
"05-24-24 / 08:08 PM","Lower Tier","Piso Zero 04","P","1","424.29"
"05-24-24 / 03:17 PM","Lower Tier","Piso Zero 29","u","3","193.57"
"05-24-24 / 03:17 PM","Upper Tier","Piso Tres 39","M","1","128.45"
"05-24-24 / 03:16 PM","Middle Tier","Piso Um 39","E","1","258.08"
"05-24-24 / 03:16 PM","Upper Tier","Piso Tres 42","Z","2","188.96"
"05-24-24 / 03:16 PM","Lower Tier","Piso Zero 16","A","2","351.54"
"05-24-24 / 03:16 PM","Middle Tier","Piso Um 39","F","2","157.43"
"05-24-24 / 03:16 PM","Middle Tier","Piso Um 39","G","2","170.98"
"05-24-24 / 03:16 PM","Upper Tier","Piso Tres 27","R","2","141.52"
"05-24-24 / 03:16 PM","Upper Tier","Piso Tres 39","B","2","128.9"
"05-24-24 / 03:16 PM","Middle Tier","Piso Um 26","a","2","237.56"
"05-24-24 / 03:16 PM","Upper Tier","Piso Tres 29","D","2","128.45"
"05-24-24 / 03:16 PM","Lower Tier","Piso Zero 15","K","4","349.87"
"05-24-24 / 03:16 PM","Upper Tier","Piso Tres 27","M","4","187.31"
"05-24-24 / 03:16 PM","Lower Tier","Piso Zero 16","O","1","374.62"
"05-24-24 / 10:58 AM","Lower Tier","Piso Zero 07","b","3","351.94"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 39","D","1","137.17"
"05-24-24 / 10:58 AM","Floor","Front","","3","337.45"
"05-24-24 / 10:58 AM","Lower Tier","Piso Zero 15","a","2","351.94"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 41","","1","179.07"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 41","X","2","144.64"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 39","S","1","203.96"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 27","X","2","137.4"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 41","R","4","143.26"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 41","O","2","137.17"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 40","B","2","150.28"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 01","L","2","345.49"
"05-24-24 / 10:58 AM","Upper Tier","Piso Tres 11","Z","2","351.56"
"05-24-24 / 06:56 AM","Lower Tier","Piso Zero 30","F","2","287.32"
"05-24-24 / 06:56 AM","Middle Tier","Piso Um 39","E","1","173.16"
"05-24-24 / 06:56 AM","Upper Tier","Piso Tres 29","D","2","137.39"
"05-24-24 / 06:56 AM","Floor","Front","","1","273.06"
"05-24-24 / 06:56 AM","Middle Tier","Piso Um 29","A","2","208.12"
"05-24-24 / 02:16 AM","Upper Tier","Piso Tres 39","L","1","103.43"
"05-24-24 / 02:16 AM","Upper Tier","Piso Tres 20","","3","179.36"
"05-24-24 / 02:16 AM","Upper Tier","Piso Tres 41","O","3","137.39"
"05-24-24 / 02:15 AM","Upper Tier","Piso Tres 27","E","4","154.01"
"05-23-24 / 09:21 PM","Upper Tier","Piso Tres 42","Z","1","187.31"
"05-23-24 / 09:21 PM","Floor","Front","","1","315.47"
"05-23-24 / 09:21 PM","Lower Tier","Piso Zero 20","M","2","174.58"
"05-23-24 / 09:21 PM","Upper Tier","Piso Tres 39","B","2","106.85"
"05-23-24 / 09:21 PM","Middle Tier","Piso Um 39","F","1","145.69"
"05-23-24 / 09:21 PM","Middle Tier","Piso Um 26","B","3","154.41"
"05-23-24 / 09:21 PM","Lower Tier","Piso Zero 17","","1","308.8"
"05-23-24 / 09:21 PM","Middle Tier","Piso Um 26","A","2","119.13"
"05-23-24 / 09:21 PM","Upper Tier","Piso Tres 29","F","2","70.76"
"05-23-24 / 09:21 PM","Lower Tier","Piso Zero 12","W","2","248.62"
"05-23-24 / 09:21 PM","Lower Tier","Piso Zero 30","D","4","132.6"
"05-23-24 / 09:21 PM","Upper Tier","Piso Tres 42","V","4","187.31"
