"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-29-24 / 08:23 AM","Floor","Front Right","","1","270.92"
"05-29-24 / 08:23 AM","Category 1 Gol","109","21","2","320.59"
"05-29-24 / 08:23 AM","Category 1 Premium","129","19","1","328"
"05-29-24 / 08:23 AM","Category 3","632","5","2","176.69"
"05-29-24 / 08:23 AM","Category 1 Gol","213","4","1","329.62"
"05-29-24 / 08:23 AM","Category 1 Gol","215","","1","347.68"
"05-29-24 / 08:23 AM","Category 1 Premium","132","21","1","353.81"
"05-29-24 / 08:23 AM","Category 1 Superior","440","12","1","243.84"
"05-29-24 / 08:23 AM","Category 1","509","4","2","228.94"
"05-29-24 / 08:23 AM","Category 1 Premium","131","21","3","351.2"
"05-29-24 / 08:23 AM","Category 1 Premium","132","22","2","499.5"
"05-29-24 / 08:23 AM","Category 1 Superior","442","14","1","193.26"
"05-29-24 / 08:23 AM","Category 1 Gol","113","9","1","343.17"
"05-29-24 / 08:23 AM","Category 1 Gol","111","8","4","370.26"
"05-29-24 / 08:23 AM","Category 1 Gol","123","13","4","325.11"
"05-29-24 / 08:23 AM","Category 1 Premium","305","1","2","267.23"
"05-29-24 / 08:23 AM","Category 1 Superior","107","8","2","311.41"
"05-29-24 / 08:23 AM","Category 2 Gol","415","7","2","262.24"
"05-29-24 / 08:23 AM","Category 3","532","5","2","124.88"
"05-29-24 / 08:23 AM","Category 1 Superior","405","5","2","218.1"
"05-29-24 / 08:23 AM","Category 1","511","","1","207.02"
"05-29-24 / 08:23 AM","Category 2 Gol Lateral","602","5","1","180.61"
"05-29-24 / 08:23 AM","Category 2 Gol Lateral","601","2","1","158.18"
"05-29-24 / 08:23 AM","Category 1 Superior","209","5","2","333"
"05-29-24 / 08:23 AM","Category 1 Gol","125","14","2","406.38"
"05-29-24 / 08:23 AM","Category 1 Premium","103","1","1","407.36"
"05-29-24 / 08:23 AM","Category 1","509","3","2","166.5"
"05-29-24 / 08:23 AM","Category 1","543","8","1","325.96"
"05-29-24 / 08:23 AM","Category 1 Gol","115","9","1","432.18"
"05-29-24 / 08:23 AM","Category 3","519","4","1","208.12"
"05-29-24 / 08:23 AM","Category 1 Gol","113","22","2","334.13"
"05-29-24 / 08:23 AM","Category 1 Premium","102","13","2","509.19"
"05-29-24 / 08:23 AM","Category 1 Premium","103","19","2","395.44"
"05-29-24 / 08:23 AM","Category 1 Premium","130","18","1","257.37"
"05-29-24 / 08:23 AM","Category 1 Superior","442","7","2","233.1"
"05-29-24 / 08:23 AM","Category 1 Premium","335","3","2","752.56"
"05-29-24 / 08:23 AM","Category 3","517","11","1","437.99"
"05-29-24 / 08:23 AM","Category 1 Superior","406","5","4","203.19"
"05-29-24 / 08:23 AM","Category 1 Premium","131","23","4","341.32"
"05-29-24 / 08:22 AM","Category 1 Premium","131","17","2","333"
"05-29-24 / 08:22 AM","Category 2 Gol Lateral","641","3","1","185.32"
"05-29-24 / 08:22 AM","Category 1 Premium","103","5","1","291.38"
"05-29-24 / 08:22 AM","Category 1 Gol","109","22","3","296"
"05-29-24 / 08:22 AM","Category 1 Superior","406","6","3","393.12"
"05-29-24 / 08:22 AM","Category 1","501","9","2","208.12"
"05-29-24 / 08:22 AM","Category 1 Premium","201","4","4","312.19"
"05-29-24 / 08:22 AM","Category 1 Premium","104","15","4","353.81"
"05-29-24 / 08:22 AM","Category 1","509","8","3","185"
"05-29-24 / 08:22 AM","Category 2 Gol Lateral","607","3","2","249.75"
"05-29-24 / 08:22 AM","Category 1 Gol","115","20","1","291.38"
"05-29-24 / 08:22 AM","Category 1 Superior","127","18","1","264.6"
"05-29-24 / 08:22 AM","Category 1 Superior","127","8","2","555"
"05-29-24 / 08:22 AM","Category 1 Superior","402","4","1","357.22"
"05-29-24 / 08:22 AM","Category 1 Superior","404","2","3","224.78"
"05-29-24 / 08:22 AM","Category 1","511","6","2","182.32"
"05-29-24 / 08:22 AM","Category 1 Superior","442","3","2","249.75"
"05-29-24 / 08:22 AM","Category 1 Premium","230","3","1","241.42"
"05-29-24 / 08:22 AM","Floor","Front Right","","2","357.98"
"05-29-24 / 04:14 AM","Category 1 Superior","405","11","1","198.88"
"05-29-24 / 04:14 AM","Category 1 Premium","103","18","4","336.15"
"05-29-24 / 04:14 AM","Category 1 Gol","215","2","2","294.27"
"05-29-24 / 04:14 AM","Category 1","509","11","3","176.87"
"05-28-24 / 11:11 PM","Category 1 Superior","405","5","2","218.68"
"05-28-24 / 11:11 PM","Floor","Front Left","","1","353.73"
"05-28-24 / 11:11 PM","Floor","Front Left","","2","280.69"
"05-28-24 / 11:11 PM","Suites","4021","","2","352.85"
"05-28-24 / 11:11 PM","Category 1 Superior","402","8","2","219.56"
"05-28-24 / 11:11 PM","Category 2 Gol","313","5","1","219.56"
"05-28-24 / 11:11 PM","Category 1","507","5","4","193.89"
"05-28-24 / 11:11 PM","Category 1","511","4","1","161.96"
"05-28-24 / 11:11 PM","Category 2 Gol Lateral","709","","4","183.17"
"05-28-24 / 11:11 PM","Category 1 Premium","131","22","1","277.22"
"05-28-24 / 11:11 PM","Category 1 Superior","209","6","4","234.76"
"05-28-24 / 11:11 PM","Category 1 Superior","410","7","2","122.24"
"05-28-24 / 11:11 PM","Category 2 Gol Lateral","609","7","2","189.14"
"05-28-24 / 11:11 PM","Category 1 Gol","113","23","2","282.85"
"05-28-24 / 11:10 PM","Category 2 Gol Lateral","636","7","4","152.79"
"05-28-24 / 11:10 PM","Category 2 Gol Lateral","608","10","1","119.37"
"05-28-24 / 11:10 PM","Category 1","538","8","4","183.35"
