"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-09-24 / 02:34 PM","East Lower Tier","East5","J","2","2538.35"
"06-09-24 / 02:34 PM","Floor","General Admission","","2","3717.84"
"06-09-24 / 02:34 PM","East Lower Tier","East3","","4","586.52"
"06-09-24 / 10:34 AM","Floor","General Admission","","4","765.27"
"06-09-24 / 10:34 AM","South Upper Tier","South16","MM","1","412.09"
"06-09-24 / 10:34 AM","Floor","General Admission","","4","1243.27"
"06-09-24 / 06:29 AM","Floor","General Admission","","2","582.75"
"06-09-24 / 06:29 AM","Floor","General Admission","","3","647.54"
"06-09-24 / 06:29 AM","Floor","General Admission","","1","574.42"
"06-09-24 / 06:29 AM","West Upper Tier","West36","CC","1","543.93"
"06-09-24 / 06:29 AM","East Lower Tier","East5","S","2","757.62"
"06-09-24 / 06:29 AM","West Upper Tier","West8","MM","2","832.5"
"06-09-24 / 06:29 AM","West Upper Tier","West42","GG","4","476.59"
"06-09-24 / 06:29 AM","West Upper Tier","West42","UU","4","466.23"
"06-09-24 / 06:29 AM","South Upper Tier","South16","PP","1","422.79"
"06-09-24 / 06:29 AM","West Upper Tier","West38","V","1","450.8"
"06-09-24 / 06:29 AM","West Upper Tier","West34","RR","1","375.67"
"06-09-24 / 06:29 AM","South Upper Tier","South8","KK","1","375.67"
"06-09-24 / 06:29 AM","West Upper Tier","West38","P","1","525.93"
"06-09-24 / 06:29 AM","West Upper Tier","West38","SS","2","900.66"
"06-09-24 / 06:29 AM","South Upper Tier","South10","V","4","1665"
"06-09-24 / 06:29 AM","East Lower Tier","East1","","2","568.98"
"06-09-24 / 06:29 AM","South Upper Tier","South10","Y","2","1191.47"
"06-09-24 / 06:29 AM","South Upper Tier","South2","K","2","1248.75"
"06-09-24 / 06:29 AM","West Upper Tier","West36","UU","2","690.21"
"06-08-24 / 09:20 PM","South Upper Tier","South14","OO","2","828.34"
"06-08-24 / 09:20 PM","West Upper Tier","West42","O","2","518.03"
"06-08-24 / 09:20 PM","East Lower Tier","East3","Q","2","874.12"
"06-08-24 / 09:20 PM","South Lower Tier","South5","NN","2","777.04"
"06-08-24 / 09:20 PM","West Upper Tier","West36","OO","1","407.95"
"06-08-24 / 09:20 PM","West Lower Tier","West23","NN","2","900.66"
