"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-13-24 / 04:11 AM","Kop Stand","103","7","1","402.93"
"06-13-24 / 04:11 AM","Anfield Road Stand","AU1","19","2","316.28"
"06-13-24 / 04:11 AM","Main Stand","L3","24","1","509.16"
"06-12-24 / 09:33 PM","Anfield Road Stand","AM1","6","2","517.1"
"06-12-24 / 09:33 PM","Kop Stand","305","76","2","815.85"
"06-12-24 / 09:33 PM","Anfield Road Stand","AU8","25","2","471.36"
"06-12-24 / 09:33 PM","Centenary Stand","KJ","22","1","570.34"
"06-12-24 / 09:33 PM","Centenary Stand","KL","28","1","582.75"
"06-12-24 / 09:33 PM","Main Stand","L5","20","1","514.51"
"06-12-24 / 09:33 PM","Main Stand","L5","24","1","494.2"
"06-12-24 / 09:33 PM","Centenary Stand","KN","25","4","894.41"
"06-12-24 / 09:33 PM","Main Stand","U8","68","1","518.49"
"06-12-24 / 09:33 PM","Kop Stand","107","24","1","466.64"
"06-12-24 / 09:33 PM","Main Stand","U5","66","1","725.89"
"06-12-24 / 09:33 PM","Centenary Stand","CE7","4","1","508.12"
"06-12-24 / 09:33 PM","Main Stand","U7","81","2","767.37"
"06-12-24 / 09:33 PM","Main Stand","U4","91","1","503.77"
"06-12-24 / 03:53 PM","Main Stand","L16","38","1","1140.69"
"06-12-24 / 03:52 PM","Main Stand","U9","92","1","524.48"
"06-12-24 / 03:52 PM","Main Stand","L2","25","1","454.97"
"06-12-24 / 03:52 PM","Main Stand","L5","17","1","798.48"
"06-12-24 / 03:52 PM","Kop Stand","202","57","2","734.97"
"06-12-24 / 03:52 PM","Centenary Stand","KN","22","1","829.59"
"06-12-24 / 03:52 PM","Main Stand","M6","48","2","829.59"
"06-12-24 / 03:52 PM","Main Stand","L8","19","1","513.31"
"06-12-24 / 03:52 PM","Kop Stand","304","72","1","596.27"
"06-12-24 / 11:05 AM","Centenary Stand","KH","29","2","728.44"
"06-12-24 / 11:05 AM","Kop Stand","306","74","2","848.44"
"06-12-24 / 11:05 AM","Main Stand","U8","88","1","441.38"
"06-12-24 / 11:05 AM","Main Stand","U6","73","2","622.19"
"06-12-24 / 11:05 AM","Main Stand","M4","51","4","777.74"
"06-12-24 / 11:05 AM","Main Stand","M5","52","4","776.71"
"06-12-24 / 11:05 AM","Centenary Stand","CE5","9","2","684.41"
"06-12-24 / 11:05 AM","Kop Stand","104","28","4","755.29"
"06-12-24 / 11:05 AM","Centenary Stand","CE8","10","1","648.12"
"06-12-24 / 11:05 AM","Main Stand","L10","21","1","570.34"
"06-12-24 / 11:05 AM","Centenary Stand","CE4","17","1","637.75"
"06-12-24 / 11:05 AM","Main Stand","U9","92","1","492.57"
"06-12-24 / 11:05 AM","Centenary Stand","KH","16","2","1248.75"
"06-12-24 / 11:05 AM","Main Stand","U2","90","2","599.75"
"06-12-24 / 11:05 AM","Main Stand","U4","76","2","605.31"
"06-12-24 / 11:05 AM","Kop Stand","105","30","2","1711.25"
"06-12-24 / 06:23 AM","Kop Stand","104","12","3","755.95"
"06-12-24 / 06:23 AM","Main Stand","L16","38","2","1140.27"
"06-12-24 / 06:23 AM","Main Stand","L16","38","2","1192.1"
"06-12-24 / 06:23 AM","Centenary Stand","KH","29","4","790.04"
"06-12-24 / 06:23 AM","Main Stand","M6","48","2","829.29"
"06-12-24 / 06:23 AM","Main Stand","U8","89","1","452.05"
"06-12-24 / 06:23 AM","Centenary Stand","KJ","29","2","740.7"
"06-12-24 / 06:23 AM","Main Stand","U4","83","1","497.83"
"06-12-24 / 06:23 AM","Centenary Stand","KJ","31.","2","915.75"
"06-12-24 / 06:23 AM","Main Stand","L2","29","1","438.09"
"06-12-24 / 06:23 AM","Centenary Stand","KP","26","4","732.6"
"06-12-24 / 06:23 AM","Main Stand","U7","93","1","461.34"
"06-12-24 / 06:23 AM","Main Stand","U4","68","2","595.24"
"06-12-24 / 06:23 AM","Kop Stand","208","50","1","466.48"
"06-12-24 / 06:23 AM","Main Stand","M3","55","2","1243.94"
"06-12-24 / 06:22 AM","Main Stand","U7","91","1","457.88"
"06-12-24 / 06:22 AM","Centenary Stand","KG","22","1","440.56"
