"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-18-24 / 05:14 PM","Upper Tier","U10","16","2","390.42"
"06-18-24 / 05:14 PM","Upper Tier Side","U5","21","3","707.62"
"06-18-24 / 05:14 PM","Upper Tier","U36","26","1","329.02"
"06-18-24 / 05:14 PM","Upper Tier Side","U6","12","2","666"
"06-18-24 / 05:14 PM","Upper Tier","U20","18","1","457.88"
"06-18-24 / 05:14 PM","Upper Tier","U20","30","1","432.9"
"06-18-24 / 05:14 PM","Upper Tier","U36","7","1","305.45"
"06-18-24 / 05:14 PM","Upper Tier","U13","31","2","528.39"
"06-18-24 / 05:14 PM","Lower Tier","L32","6","1","457.88"
"06-18-24 / 05:14 PM","Upper Tier","U7","12","2","589.93"
"06-18-24 / 05:14 PM","Upper Tier","U8","6","3","678.08"
"06-18-24 / 05:14 PM","Upper Tier","U7","27","1","436.23"
"06-18-24 / 05:14 PM","Upper Tier","U32","16","1","528.64"
"06-18-24 / 05:14 PM","Lower Tier","L32","12","2","758.78"
"06-18-24 / 05:14 PM","Upper Tier","U7","16","1","491.18"
"06-18-24 / 05:14 PM","Upper Tier Side","U6","8","1","428.74"
"06-18-24 / 05:14 PM","Lower Tier","L28","13","2","624.38"
"06-18-24 / 05:14 PM","Upper Tier Side","U5","9","1","432.9"
"06-18-24 / 05:14 PM","Upper Tier Side","U5","25","2","607.72"
"06-18-24 / 05:14 PM","Upper Tier","U24","13","1","432.9"
"06-18-24 / 12:32 PM","Upper Tier","U3","26","2","345.8"
"06-18-24 / 12:32 PM","Upper Tier","U13","31","2","634.07"
"06-18-24 / 12:32 PM","Upper Tier","U8","3","1","466.2"
"06-18-24 / 12:32 PM","Middle Tier","M11","1","2","748.42"
"06-18-24 / 12:32 PM","Lower Tier","L19","26","1","516.65"
"06-18-24 / 12:32 PM","Lower Tier","L28","20","4","513.12"
"06-18-24 / 12:32 PM","Middle Tier","M36","9","2","351.39"
"06-18-24 / 12:32 PM","Lower Tier","L12","22","4","457.36"
"06-18-24 / 12:32 PM","Lower Tier","L10","22","4","518.71"
"06-18-24 / 12:32 PM","Upper Tier","U11","3","1","772.95"
"06-18-24 / 07:34 AM","Middle Tier","M23","14","2","501.56"
"06-18-24 / 07:34 AM","Lower Tier","L11","22","2","478.14"
"06-18-24 / 07:34 AM","Upper Tier","U10","18","4","468.12"
"06-18-24 / 07:34 AM","Lower Tier","L15","4","1","365.49"
"06-18-24 / 07:34 AM","Lower Tier","L21","26","2","374.62"
"06-18-24 / 07:34 AM","Upper Tier","U3","28","4","334.36"
"06-18-24 / 07:34 AM","Upper Tier","U37","20","2","306.51"
"06-18-24 / 07:34 AM","Upper Tier","U36","31","3","283.5"
"06-18-24 / 07:34 AM","Lower Tier","L9","12","2","980.81"
"06-18-24 / 07:34 AM","Middle Tier","M17","11","2","586.61"
"06-18-24 / 07:34 AM","Middle Tier","M3","103","4","791.93"
"06-18-24 / 07:34 AM","Middle Tier","M11","11","2","640.11"
"06-18-24 / 07:34 AM","Middle Tier","M23","11","4","585.14"
"06-18-24 / 07:34 AM","Upper Tier","U36","27","4","456.97"
"06-18-24 / 07:34 AM","Lower Tier","L14","14","1","586.61"
"06-18-24 / 07:34 AM","Upper Tier","U3","1","2","464.6"
"06-18-24 / 07:34 AM","Lower Tier","L9","20","3","529.42"
"06-18-24 / 07:34 AM","Middle Tier","M11","10","2","567"
"06-18-24 / 07:34 AM","Lower Tier","L13","17","4","516.22"
"06-18-24 / 07:34 AM","Lower Tier","L29","20","1","502.27"
"06-18-24 / 07:34 AM","Middle Tier","M11","4","1","516.22"
"06-18-24 / 07:34 AM","Lower Tier","L25","21","4","365.49"
"06-18-24 / 07:34 AM","Upper Tier","U21","5","4","490.41"
"06-18-24 / 07:34 AM","Lower Tier","L12","8","4","424.58"
"06-18-24 / 07:34 AM","Lower Tier","L15","21","2","463.57"
"06-18-24 / 07:34 AM","Middle Tier","M23","6","1","416.25"
"06-18-24 / 07:33 AM","Lower Tier","L27","8","2","557.45"
"06-18-24 / 07:33 AM","Lower Tier","L16","21","2","435.17"
"06-18-24 / 07:33 AM","Lower Tier","L12","11","2","470.42"
"06-18-24 / 07:33 AM","Lower Tier","L23","21","4","391.28"
"06-18-24 / 07:33 AM","Upper Tier","U21","7","1","412.97"
"06-18-24 / 07:33 AM","Lower Tier","L22","20","2","374.62"
"06-18-24 / 07:33 AM","Upper Tier","U2","16","4","380.26"
"06-18-24 / 07:33 AM","Upper Tier","U4","28","2","387.16"
"06-18-24 / 07:33 AM","Upper Tier","U36","21","1","297.04"
"06-18-24 / 07:33 AM","Upper Tier","U36","16","1","320.06"
"06-18-24 / 07:33 AM","Upper Tier","U3","21","2","361.35"
"06-18-24 / 07:33 AM","Upper Tier","U2","14","4","294.24"
"06-18-24 / 07:33 AM","Lower Tier","L31","22","1","578.15"
"06-18-24 / 07:33 AM","Lower Tier","L29","21","4","540.56"
"06-18-24 / 07:33 AM","Upper Tier","U25","21","1","1032.44"
"06-18-24 / 07:33 AM","Upper Tier","U2","22","1","261.2"
"06-18-24 / 07:33 AM","Upper Tier","U35","25","1","397.63"
"06-18-24 / 07:33 AM","Lower Tier","L33","15","2","557.5"
"06-18-24 / 07:33 AM","Middle Tier","M21","13","1","613.6"
"06-18-24 / 07:33 AM","Lower Tier","L11","20","1","398.99"
"06-18-24 / 07:33 AM","Upper Tier","U36","26","1","314.03"
"06-18-24 / 07:33 AM","Lower Tier","L30","9","1","703.7"
"06-18-24 / 07:33 AM","Upper Tier","U3","32","1","331.48"
"06-18-24 / 07:33 AM","Middle Tier","M18","7","2","748.52"
"06-18-24 / 07:33 AM","Upper Tier","U22","5","2","631.87"
"06-18-24 / 07:33 AM","Upper Tier","U27","2","2","674.32"
"06-18-24 / 07:33 AM","Lower Tier","L31","18","1","696.26"
"06-18-24 / 07:33 AM","Upper Tier","Upper Tier","","1","389.91"
"06-18-24 / 07:33 AM","Upper Tier","U30","10","2","686.33"
