"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-04-24 / 10:21 AM","Field","Front Standing Right","","1","1141.06"
"07-04-24 / 05:53 AM","Lower Tier","108","11","2","480.39"
"07-04-24 / 05:53 AM","Upper Tier","424","20","2","480.39"
"07-04-24 / 05:53 AM","Lower Tier","122","22","1","308.02"
"07-04-24 / 05:53 AM","Upper Tier","429","26","1","203.09"
"07-04-24 / 05:53 AM","Field","General Admission Entrance J","","1","1506.64"
"07-04-24 / 05:53 AM","Lower Tier","122","19","2","458.56"
"07-04-24 / 05:53 AM","Lower Tier","114","4","4","646.85"
"07-04-24 / 05:53 AM","Lower Tier","119","14","2","778.66"
"07-04-24 / 05:53 AM","Upper Tier","423","25","1","715.45"
"07-04-24 / 05:53 AM","Field","General Admission Entrance G","","1","357.72"
"07-04-24 / 05:53 AM","Field","Front Standing Right","","2","609.29"
"07-04-24 / 05:53 AM","Lower Tier","102","11","2","387.11"
"07-04-24 / 05:53 AM","Lower Tier","102","9","2","388.78"
"07-04-24 / 05:53 AM","Lower Tier","103","5","2","575.66"
"07-04-24 / 05:53 AM","Lower Tier","105","4","2","511.47"
"07-04-24 / 05:53 AM","Lower Tier","121","4","1","273.7"
"07-04-24 / 05:53 AM","Field","General Admission Entrance G","","4","515.32"
"07-04-24 / 05:53 AM","Lower Tier","101","1","2","484.75"
"07-04-24 / 05:53 AM","Lower Tier","102","6","4","470.79"
"07-04-24 / 05:53 AM","Lower Tier","127","2","2","480.94"
"07-04-24 / 05:53 AM","Field","Front Standing Left","","1","453.71"
"07-04-24 / 05:53 AM","Lower Tier","127","6","2","469.51"
"07-04-24 / 05:53 AM","Lower Tier","103","9","2","447.15"
"07-04-24 / 05:52 AM","Lower Tier","102","13","2","377.75"
"07-04-24 / 05:52 AM","Upper Tier","425","13","4","374.62"
"07-04-24 / 05:52 AM","Upper Tier","407","22","2","413.08"
"07-04-24 / 05:52 AM","Lower Tier","102","9","2","393.95"
"07-04-24 / 05:52 AM","Lower Tier","101","3","2","382.56"
"07-04-24 / 05:52 AM","Field","Front Standing Right","","3","393.48"
"07-04-24 / 05:52 AM","Field","General Admission Entrance G","","1","390.37"
"07-04-24 / 05:52 AM","Lower Tier","121","4","1","385.61"
"07-04-24 / 05:52 AM","Field","General Admission Entrance G","","2","366.61"
"07-04-24 / 05:52 AM","Lower Tier","102","8","3","384.31"
"07-04-24 / 05:52 AM","Lower Tier","117","8","2","361.44"
"07-04-24 / 05:52 AM","Lower Tier","107","16","1","330.91"
"07-04-24 / 05:52 AM","Lower Tier","121","1","1","348.51"
"07-04-24 / 05:52 AM","Lower Tier","102","9","1","339.1"
"07-04-24 / 05:52 AM","Lower Tier","103","","1","312.11"
"07-04-24 / 05:52 AM","Lower Tier","124","8","1","235.39"
"07-04-24 / 05:52 AM","Lower Tier","121","4","1","315.38"
"07-04-24 / 05:52 AM","Lower Tier","104","19","1","319.73"
"07-04-24 / 05:52 AM","Upper Tier","402","12","1","278.63"
"07-04-24 / 05:52 AM","Field","General Admission Entrance J","","4","299.7"
"07-04-24 / 05:52 AM","Lower Tier","102","13","1","283.87"
"07-04-24 / 05:52 AM","Lower Tier","111","6","1","275.04"
"07-04-24 / 05:52 AM","Upper Tier","409","25","1","229.69"
"07-04-24 / 05:52 AM","Upper Tier","417","26","1","261.44"
"07-04-24 / 05:52 AM","Lower Tier","120","7","3","1017.32"
"07-04-24 / 05:52 AM","Upper Tier","417","22","1","150.06"
"07-04-24 / 05:52 AM","Field","Front Standing Left","","2","736.13"
"07-04-24 / 05:52 AM","Lower Tier","119","12","2","1088.08"
"07-04-24 / 05:52 AM","Lower Tier","105","15","2","855.97"
"07-04-24 / 05:52 AM","Lower Tier","119","23","4","499.5"
"07-04-24 / 05:52 AM","Upper Tier","416","","2","234.39"
"07-04-24 / 05:52 AM","Upper Tier","409","15","1","310.07"
"07-04-24 / 05:52 AM","Field","General Admission Entrance J","","1","319.05"
