"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-06-24 / 01:06 AM","Floor","Stehplätze Eingang C","","2","404.3"
"07-06-24 / 01:06 AM","Floor","Stehplätze Eingang C","","3","407.44"
"07-06-24 / 01:06 AM","Tribune B","16","23","4","482.85"
"07-06-24 / 01:06 AM","Tribune C","21","12","1","996.57"
"07-06-24 / 01:06 AM","Tribune B","12","","2","523.07"
"07-06-24 / 01:06 AM","Tribune C","20","15","1","661.36"
"07-06-24 / 01:06 AM","Tribune B","13","25","1","446.99"
"07-05-24 / 03:56 PM","Tribune A","9","27","2","532.8"
"07-05-24 / 03:56 PM","Floor","Stehplätze Eingang B","","1","555.94"
"07-05-24 / 03:56 PM","Front Floor","Left C","","3","529.54"
"07-05-24 / 03:56 PM","Tribune B","16","21","2","1193.7"
"07-05-24 / 03:56 PM","Tribune B","14","18","2","833.91"
"07-05-24 / 03:56 PM","Tribune B","14","","2","541.45"
"07-05-24 / 11:42 AM","Floor","Stehplätze Eingang C","","2","416.95"
"07-05-24 / 11:42 AM","Floor","Stehplätze Eingang B","","2","366.78"
"07-05-24 / 11:42 AM","Front Floor","Right D","","3","704.78"
"07-05-24 / 11:42 AM","Tribune B","12","25","4","532.8"
"07-05-24 / 11:42 AM","Front Floor","Front Floor","","2","909.05"
"07-05-24 / 11:42 AM","Tribune A","7","8","1","457.16"
"07-05-24 / 11:42 AM","Tribune A","8","18","2","780.5"
"07-05-24 / 11:42 AM","Tribune C","23","9","2","971.04"
"07-05-24 / 11:42 AM","Tribune B","14","25","2","731.99"
"07-05-24 / 11:42 AM","Tribune A","Tribune A","","1","926.57"
"07-05-24 / 03:58 AM","Tribune C","19","19","1","369.56"
"07-05-24 / 03:58 AM","Tribune C","Tribune C","","1","600.53"
"07-04-24 / 11:22 PM","Front Floor","Left C","","3","516.15"
"07-04-24 / 11:22 PM","Tribune B","15","20","2","674.26"
"07-04-24 / 11:22 PM","Tribune A","7","29","1","527.42"
"07-04-24 / 11:22 PM","Tribune B","11","10","1","324.5"
"07-04-24 / 11:22 PM","Tribune A","6","12","2","778.26"
"07-04-24 / 11:22 PM","Tribune B","11","18","2","1372.48"
"07-04-24 / 06:51 PM","Floor","Stehplätze Eingang B","","2","363.06"
"07-04-24 / 06:51 PM","Floor","Stehplätze Eingang C","","2","613.22"
"07-04-24 / 06:51 PM","Tribune C","21","3","2","1872.76"
"07-04-24 / 06:51 PM","Tribune A","7","26","1","441.22"
"07-04-24 / 06:51 PM","Tribune B","10","9","4","902.65"
"07-04-24 / 06:51 PM","Tribune C","23","15","2","1236.26"
"07-04-24 / 06:51 PM","Tribune A","7","28","3","1591.35"
"07-04-24 / 06:51 PM","Tribune C","21","11","2","1309.89"
"07-04-24 / 06:51 PM","Tribune A","7","30","2","984.85"
"07-04-24 / 06:51 PM","Tribune B","15","13","1","509.84"
