"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-14-24 / 03:35 PM","Floor","Floor","","2","303.04"
"07-14-24 / 03:35 PM","Shortside Lower Tier","144","10","1","431.84"
"07-14-24 / 03:35 PM","Longside Middle Tier","263","10","1","316.91"
"07-14-24 / 03:35 PM","Longside Middle Tier","263","7","2","287.91"
"07-14-24 / 03:35 PM","Shortside Middle Tier","202","","2","165.14"
"07-14-24 / 03:35 PM","Shortside Middle Tier","204","8","1","128.6"
"07-14-24 / 03:35 PM","Shortside Middle Tier","203","3","1","129.65"
"07-14-24 / 03:35 PM","Longside Lower Tier","R Seat","9","4","532.75"
"07-14-24 / 03:35 PM","Longside Middle Tier","263","6","2","293.01"
"07-14-24 / 03:35 PM","Longside Middle Tier","227","10","2","355.17"
"07-14-24 / 03:35 PM","Longside Lower Tier","D","10","2","381.35"
"07-14-24 / 03:35 PM","Longside Middle Tier","227","7","2","400.02"
"07-14-24 / 03:35 PM","Longside Middle Tier","228","14","2","302.74"
"07-14-24 / 03:35 PM","Shortside Middle Tier","220","1","2","147.06"
"07-14-24 / 03:35 PM","Shortside Middle Tier","201","7","4","151.23"
"07-14-24 / 03:35 PM","Shortside Middle Tier","204","2","4","142.05"
"07-14-24 / 03:35 PM","Shortside Middle Tier","220","7","1","130.38"
"07-14-24 / 03:35 PM","Shortside Middle Tier","203","8","1","146.54"
"07-14-24 / 03:35 PM","Shortside Middle Tier","203","5","1","193.23"
"07-14-24 / 03:35 PM","Longside Lower Tier","R Seat","6","2","424.34"
"07-14-24 / 03:35 PM","Shortside Lower Tier","144","4","2","772.76"
"07-14-24 / 03:35 PM","Sky Lounge","Sky Lounge","","4","722.83"
"07-14-24 / 03:35 PM","Longside Lower Tier","157","10","1","366.3"
"07-14-24 / 03:35 PM","Longside Lower Tier","D","11","1","306.35"
"07-14-24 / 03:35 PM","Longside Middle Tier","263","","1","297.23"
"07-14-24 / 03:35 PM","Shortside Middle Tier","202","1","1","317.28"
"07-14-24 / 03:35 PM","Shortside Middle Tier","204","4","2","156.55"
"07-14-24 / 03:35 PM","Shortside Middle Tier","218","12","2","174.5"
"07-14-24 / 03:35 PM","Shortside Middle Tier","203","","2","139.57"
"07-14-24 / 03:35 PM","Longside Middle Tier","256","13","2","272.55"
"07-14-24 / 03:35 PM","Shortside Middle Tier","204","1","2","143.67"
"07-14-24 / 03:35 PM","Shortside Middle Tier","218","7","1","118.07"
"07-14-24 / 03:35 PM","Shortside Middle Tier","217","7","2","155.7"
"07-14-24 / 03:35 PM","Shortside Middle Tier","217","9","2","145.66"
"07-14-24 / 03:35 PM","Longside Lower Tier","Longside Lower Tier","","2","909.13"
"07-14-24 / 03:35 PM","Longside Lower Tier","O","1","2","574.52"
"07-14-24 / 03:34 PM","Longside Lower Tier","149","17","2","380.07"
"07-14-24 / 03:34 PM","Shortside Middle Tier","217","8","2","142.05"
"07-14-24 / 03:34 PM","Longside Lower Tier","O","9","1","545.48"
"07-14-24 / 03:34 PM","Shortside Middle Tier","220","","2","236.27"
"07-14-24 / 03:34 PM","Longside Lower Tier","Y02","9","4","296.44"
"07-14-24 / 03:34 PM","Shortside Middle Tier","202","9","4","146.21"
"07-14-24 / 03:34 PM","Longside Middle Tier","266","5","2","371.98"
"07-14-24 / 03:34 PM","Shortside Middle Tier","202","12","4","334.13"
"07-14-24 / 03:34 PM","Longside Lower Tier","N","","4","671.63"
"07-14-24 / 03:34 PM","Longside Middle Tier","266","","1","397.36"
"07-14-24 / 11:23 AM","Floor","Front Pit In Piedi - Lato Arancio","","1","381.35"
"07-14-24 / 11:23 AM","Longside Lower Tier","D","11","2","338.04"
"07-14-24 / 11:23 AM","Longside Middle Tier","265","3","3","353.55"
"07-14-24 / 11:23 AM","Floor","Prato In Piedi","","1","313.77"
"07-14-24 / 11:23 AM","Floor","Prato In Piedi","","2","313.77"
"07-14-24 / 11:23 AM","Longside Middle Tier","238","5","1","311.47"
"07-14-24 / 11:23 AM","Floor","Front Pit In Piedi - Lato Rosso","","3","343.82"
"07-14-24 / 11:23 AM","Tribune","Tribuna Executive","","1","1315.46"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","","3","320.4"
"07-14-24 / 07:13 AM","Floor","Front Pit In Piedi - Lato Rosso","","2","309.38"
"07-14-24 / 07:13 AM","Longside Upper Tier","320","8","2","130.24"
"07-14-24 / 07:13 AM","Longside Middle Tier","267","3","1","260.13"
"07-14-24 / 07:13 AM","Longside Middle Tier","221","7","2","196.84"
"07-14-24 / 07:13 AM","Longside Upper Tier","321","10","1","133.57"
"07-14-24 / 07:13 AM","Shortside Lower Tier","147","5","2","292.82"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","6","1","254.01"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","10","1","254.93"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","8","1","253.09"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","9","1","110.81"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","7","1","88.88"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","16","1","101.88"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","11","1","67.42"
"07-14-24 / 07:13 AM","Longside Lower Tier","159","2","2","818.29"
"07-14-24 / 07:13 AM","Tribune","Tribuna Autorita DX","2","2","774.95"
"07-14-24 / 07:13 AM","Longside Lower Tier","161","9","4","528.25"
"07-14-24 / 07:13 AM","Longside Lower Tier","G","7","2","531.89"
"07-14-24 / 07:13 AM","Longside Lower Tier","T","13","2","345.83"
"07-14-24 / 07:13 AM","Longside Lower Tier","R Seat","3","2","415.42"
"07-14-24 / 07:13 AM","Longside Lower Tier","157","10","2","522.8"
"07-14-24 / 07:13 AM","Shortside Lower Tier","144","6","1","518.89"
"07-14-24 / 07:13 AM","Longside Middle Tier","230","7","1","488.96"
"07-14-24 / 07:13 AM","Longside Lower Tier","R Seat","12","3","416.25"
"07-14-24 / 07:13 AM","Longside Lower Tier","157","9","2","444"
"07-14-24 / 07:13 AM","Longside Lower Tier","O","5","2","346.32"
"07-14-24 / 07:13 AM","Longside Middle Tier","228","14","2","381.87"
"07-14-24 / 07:13 AM","Longside Middle Tier","230","6","1","400.05"
"07-14-24 / 07:13 AM","Longside Lower Tier","163","18","1","368.01"
"07-14-24 / 07:13 AM","Longside Lower Tier","R Seat","9","2","368.72"
"07-14-24 / 07:13 AM","Longside Lower Tier","R Seat","14","2","348.64"
"07-14-24 / 07:13 AM","Longside Lower Tier","T","14","1","274.44"
"07-14-24 / 07:13 AM","Longside Middle Tier","229","10","2","318.23"
"07-14-24 / 07:13 AM","Longside Middle Tier","226","14","1","263.6"
"07-14-24 / 07:13 AM","Floor","Floor","","2","310.86"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","10","4","246.42"
"07-14-24 / 07:13 AM","Longside Middle Tier","267","3","4","255.86"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","9","2","302.6"
"07-14-24 / 07:13 AM","Longside Middle Tier","229","10","4","293.71"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","6","2","297.35"
"07-14-24 / 07:13 AM","Longside Middle Tier","263","7","2","297.89"
"07-14-24 / 07:13 AM","Longside Middle Tier","227","10","2","269.08"
"07-14-24 / 07:13 AM","Longside Middle Tier","227","7","2","260.67"
"07-14-24 / 07:13 AM","Longside Middle Tier","229","8","2","262.51"
"07-14-24 / 07:13 AM","Longside Middle Tier","227","8","2","255.12"
"07-14-24 / 07:13 AM","Longside Upper Tier","321","5","1","174.8"
"07-14-24 / 07:13 AM","Shortside Middle Tier","201","8","1","195.01"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","9","2","107.42"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","13","2","148.59"
"07-14-24 / 07:13 AM","Shortside Middle Tier","203","3","1","143.88"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","19","2","136.85"
"07-14-24 / 07:13 AM","Shortside Middle Tier","203","8","1","139.43"
"07-14-24 / 07:13 AM","Shortside Middle Tier","203","6","1","130.54"
"07-14-24 / 07:13 AM","Shortside Middle Tier","203","7","2","117.95"
"07-14-24 / 07:13 AM","Shortside Middle Tier","220","14","2","121.68"
