"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-18-24 / 04:56 PM","Upper Tier","PR11","","4","396.49"
"07-18-24 / 11:58 AM","Floor","Front Standing Left","","1","443.25"
"07-18-24 / 11:58 AM","Floor","Front Standing Right","","3","443.25"
"07-18-24 / 01:41 AM","Middle Tier","64","8","1","160.07"
"07-18-24 / 01:41 AM","Upper Tier","39","3","1","206.02"
"07-17-24 / 05:34 AM","Middle Tier","66","5","1","102.86"
"07-17-24 / 05:34 AM","Upper Tier","65","4","1","97.49"
"07-17-24 / 05:34 AM","Upper Tier","79","2","2","101.82"
"07-17-24 / 05:34 AM","Upper Tier","41","5","1","157.02"
"07-17-24 / 05:34 AM","Lower Tier","W","17","1","220.11"
"07-17-24 / 05:34 AM","Upper Tier","PR13","12","4","174.73"
"07-17-24 / 05:34 AM","Middle Tier","58","2","2","189.07"
"07-17-24 / 05:34 AM","Lower Tier","N6","11","1","182.6"
"07-17-24 / 05:34 AM","Upper Tier","63","1","2","118.9"
"07-17-24 / 05:34 AM","Upper Tier","63","5","2","102.86"
"07-17-24 / 05:34 AM","Lower Tier","D1","1","2","269.49"
"07-17-24 / 05:34 AM","Middle Tier","58","9","2","183.49"
"07-17-24 / 05:34 AM","Laola Club","A1","11","1","151.5"
"07-17-24 / 05:34 AM","Upper Tier","41","10","2","180.94"
"07-17-24 / 12:20 AM","Lower Tier","V","21","2","136.22"
"07-17-24 / 12:20 AM","Middle Tier","PR14","4","2","250.86"
"07-17-24 / 12:20 AM","Upper Tier","65","4","1","97.49"
"07-17-24 / 12:20 AM","Upper Tier","79","6","2","96.84"
"07-17-24 / 12:20 AM","Lower Tier","X","24","1","102.86"
"07-17-24 / 12:20 AM","Floor","Standing General Admission","","4","235.95"
"07-17-24 / 12:20 AM","Lower Tier","W","7","2","120.47"
"07-17-24 / 12:20 AM","Lower Tier","I","12","2","169.68"
"07-17-24 / 12:20 AM","Lower Tier","D2","2","2","302.69"
"07-17-24 / 12:20 AM","Lower Tier","N1","3","2","201.5"
"07-17-24 / 12:20 AM","Lower Tier","U","1","1","219.78"
"07-17-24 / 12:20 AM","Lower Tier","N1","9","2","205.11"
"07-17-24 / 12:20 AM","Lower Tier","N6","9","4","192.32"
"07-17-24 / 12:20 AM","Middle Tier","80","2","1","103.62"
"07-17-24 / 12:20 AM","Lower Tier","E","1","2","294.4"
"07-17-24 / 12:20 AM","Lower Tier","N6","11","2","173.82"
"07-17-24 / 12:20 AM","Upper Tier","33","8","1","165.59"
"07-17-24 / 12:20 AM","Lower Tier","N1","10","2","173.83"
"07-17-24 / 12:20 AM","Lower Tier","W","10","1","123.3"
"07-17-24 / 12:20 AM","Middle Tier","64","9","3","265.86"
"07-17-24 / 12:20 AM","Middle Tier","80","1","1","100.3"
"07-17-24 / 12:19 AM","Upper Tier","TV12","6","2","192.03"
"07-17-24 / 12:19 AM","Lower Tier","B","1","2","258.3"
"07-17-24 / 12:19 AM","Upper Tier","39","7","1","166.15"
"07-17-24 / 12:19 AM","Middle Tier","PR14","5","1","179.42"
"07-17-24 / 12:19 AM","Middle Tier","PR14","2","2","197"
"07-17-24 / 12:19 AM","Upper Tier","63","13","4","263.27"
"07-17-24 / 12:19 AM","Upper Tier","1","10","2","103.14"
"07-17-24 / 12:19 AM","Lower Tier","N1","35","1","175.31"
"07-17-24 / 12:19 AM","Lower Tier","A","14","2","182.81"
"07-17-24 / 12:19 AM","Floor","Standing General Admission","","6","208.39"
"07-16-24 / 06:51 PM","Lower Tier","N1","10","2","173.83"
"07-16-24 / 06:51 PM","Lower Tier","N6","11","1","165.59"
"07-16-24 / 06:51 PM","Middle Tier","64","7","2","115.93"
"07-16-24 / 06:51 PM","Upper Tier","79","2","2","101.82"
"07-16-24 / 06:51 PM","Lower Tier","X","20","2","129.1"
"07-16-24 / 01:40 PM","Lower Tier","N6","8","3","187.82"
"07-16-24 / 01:40 PM","Middle Tier","58","2","2","189.07"
"07-16-24 / 01:40 PM","Floor","Front Standing Left","","1","269.28"
"07-16-24 / 01:40 PM","Floor","Front Standing Right","","3","257.81"
"07-16-24 / 01:40 PM","Floor","Floor","","2","153.98"
"07-16-24 / 01:40 PM","Lower Tier","W","13","2","148.49"
"07-16-24 / 01:40 PM","Lower Tier","W","20","2","123.03"
"07-16-24 / 01:40 PM","Middle Tier","64","1","2","134.36"
"07-16-24 / 01:40 PM","Middle Tier","66","7","2","97.56"
