"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-19-24 / 04:41 AM","Floor","Standing General Admission","","1","364.09"
"07-19-24 / 04:41 AM","Upper Tier","29","10","1","272.89"
"07-19-24 / 04:41 AM","Floor","Front Standing Left","","2","354.78"
"07-19-24 / 04:41 AM","Lower Tier","D1","4","1","451.01"
"07-19-24 / 04:41 AM","Upper Tier","39","13","1","291.27"
"07-19-24 / 04:41 AM","Lower Tier","Q","4","1","445.5"
"07-19-24 / 04:41 AM","Upper Tier","39","1","1","291.49"
"07-18-24 / 10:38 PM","Floor","Front Standing Right","","3","306.57"
"07-18-24 / 10:38 PM","Floor","Front Standing Right","","3","495.56"
"07-18-24 / 10:38 PM","Floor","Front Standing Right","","3","372.1"
"07-18-24 / 10:38 PM","Lower Tier","Lower Tier","","1","261.55"
"07-18-24 / 10:38 PM","Lower Tier","I","18","2","546.13"
"07-18-24 / 10:38 PM","Lower Tier","D2","1","2","423.23"
"07-18-24 / 10:38 PM","Middle Tier","66","","1","180.63"
"07-18-24 / 10:38 PM","Floor","Standing General Admission","","2","500.63"
"07-18-24 / 10:38 PM","Floor","Front Standing Right","","2","441.45"
"07-18-24 / 10:38 PM","Lower Tier","D1","1","4","444.49"
"07-18-24 / 10:38 PM","Lower Tier","U","7","1","184.84"
"07-18-24 / 10:38 PM","Lower Tier","T","21","3","308.29"
"07-18-24 / 10:38 PM","Upper Tier","45","10","3","317.85"
"07-18-24 / 10:38 PM","Upper Tier","63","12","1","148.34"
"07-18-24 / 10:38 PM","Lower Tier","V","","1","175.61"
"07-18-24 / 10:38 PM","Lower Tier","N4","22","2","711.18"
"07-18-24 / 10:38 PM","Upper Tier","79","12","1","123.75"
"07-18-24 / 10:38 PM","Floor","Standing General Admission","","2","355.59"
"07-18-24 / 10:38 PM","Lower Tier","W","17","1","134.97"
"07-18-24 / 10:38 PM","Floor","Front Standing Left","","2","333.15"
"07-18-24 / 10:38 PM","Lower Tier","W","22","2","261.05"
"07-18-24 / 10:38 PM","Upper Tier","41","12","4","357.18"
"07-18-24 / 10:38 PM","Lower Tier","D2","11","2","591.64"
"07-18-24 / 10:38 PM","Upper Tier","21","7","1","261.35"
"07-18-24 / 10:38 PM","Floor","Standing General Admission","","1","341.33"
"07-18-24 / 10:38 PM","Upper Tier","1","","2","255.45"
"07-18-24 / 10:38 PM","Upper Tier","29","13","1","318.58"
"07-18-24 / 10:38 PM","Upper Tier","61","6","1","207.91"
"07-18-24 / 04:56 PM","Middle Tier","4","1","2","455.11"
"07-18-24 / 04:56 PM","Upper Tier","TV12","","2","436.59"
"07-18-24 / 04:56 PM","Floor","Standing General Admission","","1","307.05"
"07-18-24 / 04:56 PM","Floor","Standing General Admission","","4","329.22"
"07-18-24 / 04:56 PM","Middle Tier","66","8","2","200.05"
"07-18-24 / 04:56 PM","Floor","Standing General Admission","","5","400.96"
"07-18-24 / 04:56 PM","Middle Tier","PR14","2","2","355.59"
"07-18-24 / 04:56 PM","Middle Tier","22","7","1","184.84"
"07-18-24 / 04:56 PM","Upper Tier","39","12","2","270.29"
"07-18-24 / 04:56 PM","Lower Tier","V","20","1","225.9"
"07-18-24 / 04:56 PM","Middle Tier","66","10","1","130.84"
"07-18-24 / 04:56 PM","Lower Tier","T","10","2","372.1"
"07-18-24 / 04:56 PM","Middle Tier","80","3","1","161.12"
"07-18-24 / 04:56 PM","Upper Tier","39","13","2","253.51"
"07-18-24 / 04:56 PM","Lower Tier","D1","1","2","334.13"
"07-18-24 / 04:56 PM","Lower Tier","X","28","1","132.49"
"07-18-24 / 04:56 PM","Middle Tier","66","1","4","242.21"
"07-18-24 / 04:56 PM","Upper Tier","31","7","1","316.45"
"07-18-24 / 04:56 PM","Lower Tier","A","12","1","261.55"
"07-18-24 / 04:56 PM","Upper Tier","59","1","1","159.62"
"07-18-24 / 04:56 PM","Lower Tier","U","10","1","233.46"
"07-18-24 / 04:56 PM","Lower Tier","B","4","1","283.18"
"07-18-24 / 04:56 PM","Lower Tier","M","35","5","333"
"07-18-24 / 04:56 PM","Middle Tier","4","5","1","256.41"
"07-18-24 / 04:56 PM","Upper Tier","25","12","2","272.89"
"07-18-24 / 04:56 PM","Lower Tier","W","10","2","217.21"
"07-18-24 / 04:56 PM","Floor","Standing General Admission","","1","318.58"
"07-18-24 / 04:56 PM","Middle Tier","66","3","3","188.08"
"07-18-24 / 04:56 PM","Upper Tier","59","13","2","255.24"
"07-18-24 / 04:56 PM","Floor","Floor","","1","266.9"
"07-18-24 / 04:56 PM","Lower Tier","V","21","4","304.11"
"07-18-24 / 04:56 PM","Floor","Standing General Admission","","1","534"
"07-18-24 / 04:56 PM","Upper Tier","31","3","1","321.79"
"07-18-24 / 04:56 PM","Floor","Front Standing Left","","2","364.09"
"07-18-24 / 04:56 PM","Upper Tier","25","10","1","259.1"
"07-18-24 / 04:56 PM","Upper Tier","47","4","2","311.5"
"07-18-24 / 11:58 AM","Middle Tier","66","8","2","138.78"
"07-18-24 / 11:58 AM","Upper Tier","39","13","2","324.72"
"07-18-24 / 11:58 AM","Upper Tier","63","12","3","148.34"
"07-18-24 / 11:58 AM","Lower Tier","D1","1","2","356.4"
"07-18-24 / 11:58 AM","Middle Tier","80","3","2","161.12"
"07-18-24 / 11:58 AM","Middle Tier","64","8","2","178.8"
"07-18-24 / 07:00 AM","Boxes","Raum Alma","","1","888.51"
"07-18-24 / 07:00 AM","Lower Tier","A","12","3","260.8"
"07-18-24 / 07:00 AM","Lower Tier","E","10","2","309.38"
"07-18-24 / 01:42 AM","Floor","Standing General Admission","","3","210.74"
"07-18-24 / 01:42 AM","Floor","Front Standing Right","","1","266.59"
"07-18-24 / 01:42 AM","Floor","Standing General Admission","","2","201.23"
"07-18-24 / 01:42 AM","Middle Tier","62","1","2","225.25"
"07-18-24 / 01:42 AM","Upper Tier","65","7","1","120.43"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","3","256.15"
"07-17-24 / 05:35 AM","Middle Tier","66","9","2","119.62"
"07-17-24 / 05:35 AM","Upper Tier","65","7","2","120.73"
"07-17-24 / 05:35 AM","Middle Tier","56","","2","229.21"
"07-17-24 / 05:35 AM","Lower Tier","N6","7","1","191.81"
"07-17-24 / 05:35 AM","Upper Tier","39","13","4","198.23"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","1","190.34"
"07-17-24 / 05:35 AM","Lower Tier","V","22","2","161.13"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","2","271.82"
"07-17-24 / 05:35 AM","Middle Tier","64","2","1","104.05"
"07-17-24 / 05:35 AM","Floor","Front Standing Right","","2","264.77"
"07-17-24 / 05:35 AM","Lower Tier","T","6","1","300.08"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","4","206.02"
"07-17-24 / 05:35 AM","Lower Tier","F","3","2","250.57"
"07-17-24 / 05:35 AM","Lower Tier","K","19","2","197"
"07-17-24 / 05:35 AM","Lower Tier","K","1","3","199.69"
"07-17-24 / 05:35 AM","Lower Tier","H","14","2","201.97"
"07-17-24 / 05:35 AM","Lower Tier","D2","1","2","333"
"07-17-24 / 05:35 AM","Lower Tier","W","14","2","115.89"
"07-17-24 / 05:35 AM","Lower Tier","D1","2","4","310.67"
"07-17-24 / 05:35 AM","Lower Tier","N6","9","2","196.68"
"07-17-24 / 05:35 AM","Middle Tier","54","8","4","248.74"
"07-17-24 / 05:35 AM","Lower Tier","N1","11","3","199.69"
"07-17-24 / 05:35 AM","Lower Tier","I","12","3","200.83"
"07-17-24 / 05:35 AM","Floor","Front Standing Left","","2","265.23"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","1","187.51"
"07-17-24 / 05:35 AM","Lower Tier","G","11","2","247.48"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","1","187.98"
"07-17-24 / 05:35 AM","Upper Tier","61","10","1","112.66"
"07-17-24 / 05:35 AM","Upper Tier","51","6","1","160.83"
"07-17-24 / 05:35 AM","Lower Tier","D2","7","1","283.4"
"07-17-24 / 05:35 AM","Upper Tier","65","12","2","115.88"
"07-17-24 / 05:35 AM","Lower Tier","N6","7","2","200.59"
"07-17-24 / 05:35 AM","Upper Tier","25","13","2","271.82"
"07-17-24 / 05:35 AM","Upper Tier","63","12","2","118.57"
"07-17-24 / 05:35 AM","Middle Tier","PR14","3","4","218.69"
"07-17-24 / 05:35 AM","Upper Tier","PR11","12","2","219.85"
"07-17-24 / 05:35 AM","Lower Tier","W","10","2","154.88"
"07-17-24 / 05:35 AM","Upper Tier","79","1","1","133.88"
"07-17-24 / 05:35 AM","Upper Tier","PR13","12","2","206.5"
"07-17-24 / 05:35 AM","Lower Tier","M","1","1","270.21"
"07-17-24 / 05:35 AM","Lower Tier","N6","1","2","265.23"
"07-17-24 / 05:35 AM","Laola Club","A1","3","2","219.78"
"07-17-24 / 05:35 AM","Middle Tier","PR14","4","2","315.37"
"07-17-24 / 05:35 AM","Laola Club","A1","1","4","265.23"
"07-17-24 / 05:35 AM","Lower Tier","W","18","2","147.77"
"07-17-24 / 05:35 AM","Upper Tier","63","8","1","257.69"
"07-17-24 / 05:35 AM","Upper Tier","1","10","2","154.88"
"07-17-24 / 05:35 AM","Middle Tier","64","3","2","165.39"
"07-17-24 / 05:35 AM","Upper Tier","3","3","4","178.96"
"07-17-24 / 05:35 AM","Upper Tier","61","7","2","176.82"
"07-17-24 / 05:35 AM","Floor","Standing General Admission","","1","201.97"
"07-17-24 / 05:35 AM","Upper Tier","43","13","4","225.01"
"07-17-24 / 05:35 AM","Lower Tier","Y","18","2","175.48"
"07-17-24 / 05:35 AM","Floor","Front Standing Right","","2","269.49"
"07-17-24 / 05:35 AM","Lower Tier","O","26","4","206.02"
"07-17-24 / 05:35 AM","Upper Tier","61","11","2","156.48"
"07-17-24 / 05:35 AM","Lower Tier","L","30","1","272.66"
"07-17-24 / 05:35 AM","Middle Tier","56","10","1","209.18"
"07-17-24 / 05:34 AM","Upper Tier","29","7","1","174.32"
"07-17-24 / 05:34 AM","Lower Tier","Y","","4","162.16"
"07-17-24 / 05:34 AM","Lower Tier","U","15","1","174.32"
"07-16-24 / 06:52 PM","Floor","Standing General Admission","","1","238.49"
"07-16-24 / 06:52 PM","Lower Tier","B","","2","287.59"
"07-16-24 / 06:52 PM","Lower Tier","Lower Tier","","2","287.59"
