"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-28-24 / 12:15 PM","Lower Tier","K1","18","2","814.62"
"07-28-24 / 12:15 PM","Lower Tier","Q2","14","1","786.8"
"07-28-24 / 12:15 PM","Lower Tier","V1","29","2","706.01"
"07-28-24 / 12:15 PM","Floor","General Admission","","3","451.67"
"07-28-24 / 12:15 PM","Floor","General Admission","","1","543.08"
"07-28-24 / 12:15 PM","Lower Tier","O2","12","1","442.51"
"07-28-24 / 12:15 PM","Lower Tier","S2","35","4","384.68"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","353.61"
"07-28-24 / 12:15 PM","Upper Tier","W4","58","4","352.73"
"07-28-24 / 12:15 PM","Lower Tier","Q1","34","1","339.43"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","325.85"
"07-28-24 / 12:15 PM","Lower Tier","K1","16","1","326.2"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","325.51"
"07-28-24 / 12:15 PM","Lower Tier","D2","22","2","313.17"
"07-28-24 / 12:15 PM","Lower Tier","A1","10","1","316.8"
"07-28-24 / 12:15 PM","Lower Tier","W2","10","2","312.06"
"07-28-24 / 12:15 PM","Upper Tier","A3","50","1","308.52"
"07-28-24 / 12:15 PM","Lower Tier","L1","54","1","301.24"
"07-28-24 / 12:15 PM","Lower Tier","K2","31","1","307.99"
"07-28-24 / 12:15 PM","Lower Tier","D1","10","2","269.42"
"07-28-24 / 12:15 PM","Upper Tier","C4","41","1","282.33"
"07-28-24 / 12:15 PM","Lower Tier","K1","47","1","257.34"
"07-28-24 / 12:15 PM","Lower Tier","D2","34","2","260.15"
"07-28-24 / 12:15 PM","Upper Tier","C4","56","1","254.05"
"07-28-24 / 12:15 PM","Lower Tier","D2","33","4","245.3"
"07-28-24 / 12:15 PM","Upper Tier","D4","45","2","239.68"
"07-28-24 / 12:15 PM","Lower Tier","A1","17","2","794.51"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","522.81"
"07-28-24 / 12:15 PM","Lower Tier","A2","29","2","503.58"
"07-28-24 / 12:15 PM","Floor","General Admission","","4","499.5"
"07-28-24 / 12:15 PM","Lower Tier","M1","62","2","542.18"
"07-28-24 / 12:15 PM","Lower Tier","B1","26","4","460.73"
"07-28-24 / 12:15 PM","Lower Tier","J2","43","4","441.63"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","434.15"
"07-28-24 / 12:15 PM","Floor","General Admission","","2","425.29"
"07-28-24 / 12:15 PM","Lower Tier","K2","12","3","416.25"
"07-28-24 / 12:15 PM","Lower Tier","B1","20","4","399.6"
"07-28-24 / 12:15 PM","Lower Tier","B1","12","2","387.19"
"07-28-24 / 12:15 PM","Lower Tier","Q2","7","2","398.13"
"07-28-24 / 12:15 PM","Lower Tier","W2","20","3","380.1"
"07-28-24 / 12:15 PM","Lower Tier","B1","22","4","343.05"
"07-28-24 / 12:15 PM","Lower Tier","B1","26","1","374.62"
"07-28-24 / 12:15 PM","Lower Tier","B1","28","2","357.98"
"07-28-24 / 12:15 PM","Lower Tier","K2","14","4","343.95"
"07-28-24 / 12:15 PM","Upper Tier","Z3","56","2","357.55"
"07-28-24 / 12:15 PM","Upper Tier","Y3","67","2","354.01"
"07-28-24 / 12:15 PM","Upper Tier","C4","","4","354.41"
"07-28-24 / 12:15 PM","Lower Tier","K2","16","2","336.69"
"07-28-24 / 12:15 PM","Lower Tier","K2","20","2","353.53"
"07-28-24 / 12:15 PM","Upper Tier","A3","49","3","353.53"
"07-28-24 / 12:14 PM","Lower Tier","B1","24","3","353.13"
"07-28-24 / 12:14 PM","Floor","General Admission","","4","324.04"
"07-28-24 / 12:14 PM","Lower Tier","K2","18","2","335.93"
"07-28-24 / 12:14 PM","Lower Tier","B2","6","2","323.87"
"07-28-24 / 12:14 PM","Floor","General Admission","","2","414.6"
"07-28-24 / 12:14 PM","Lower Tier","J2","41","2","334.9"
"07-28-24 / 12:14 PM","Lower Tier","Q2","6","4","317.53"
"07-28-24 / 12:14 PM","Lower Tier","D1","28","2","333"
"07-28-24 / 12:14 PM","Upper Tier","Z2","61","1","310.73"
"07-28-24 / 12:14 PM","Lower Tier","D2","19","1","316.8"
"07-28-24 / 12:14 PM","Lower Tier","X1","15","4","315.89"
"07-28-24 / 12:14 PM","Upper Tier","C3","62","2","300.03"
"07-28-24 / 12:14 PM","Lower Tier","D1","13","1","291.38"
"07-28-24 / 12:14 PM","Upper Tier","C3","67","1","300.02"
"07-28-24 / 12:14 PM","Upper Tier","D4","56","4","241.34"
"07-28-24 / 12:14 PM","Upper Tier","C4","60","1","260.97"
"07-28-24 / 12:14 PM","Lower Tier","L1","10","1","416.25"
"07-28-24 / 12:14 PM","Lower Tier","S2","15","4","662.17"
"07-28-24 / 12:14 PM","Lower Tier","D2","30","2","297.64"
"07-28-24 / 12:14 PM","Lower Tier","D2","35","4","289.64"
"07-28-24 / 12:14 PM","Lower Tier","V1","19","1","334.9"
"07-28-24 / 12:14 PM","Upper Tier","C4","57","2","291.38"
"07-28-24 / 12:14 PM","Floor","General Admission","","4","516.66"
"07-28-24 / 12:14 PM","Lower Tier","Q2","27","2","371.29"
"07-28-24 / 12:14 PM","Upper Tier","Z1","21","1","380.12"
"07-28-24 / 12:14 PM","Lower Tier","A2","26","1","335.04"
"07-28-24 / 12:14 PM","Lower Tier","L1","43","1","442.51"
"07-28-24 / 12:14 PM","Lower Tier","J2","36","3","343"
"07-28-24 / 12:14 PM","Upper Tier","Z1","67","1","335.04"
"07-28-24 / 12:14 PM","Upper Tier","X4","50","4","375.71"
"07-28-24 / 12:14 PM","Lower Tier","W2","10","1","352.8"
"07-28-24 / 12:14 PM","Lower Tier","X1","17","4","523.85"
"07-28-24 / 12:14 PM","Lower Tier","R1","17","4","308"
"07-28-24 / 12:14 PM","Upper Tier","Y8","61","1","299.68"
"07-28-24 / 12:14 PM","Lower Tier","B2","12","2","392.51"
"07-28-24 / 12:14 PM","Upper Tier","Z2","70","1","307.64"
"07-28-24 / 12:14 PM","Lower Tier","Q2","7","2","310.37"
"07-28-24 / 12:14 PM","Lower Tier","W2","20","2","316.64"
"07-28-24 / 12:14 PM","Lower Tier","X1","19","4","317.53"
"07-28-24 / 12:14 PM","Floor","General Admission","","1","332.38"
"07-28-24 / 12:14 PM","Lower Tier","D1","6","2","291.72"
"07-28-24 / 12:14 PM","Floor","General Admission","","2","664.52"
"07-28-24 / 12:14 PM","Lower Tier","O1","7","2","442.51"
"07-28-24 / 12:14 PM","Upper Tier","Z4","","4","1810.27"
"07-28-24 / 12:14 PM","Floor","General Admission","","2","337.16"
"07-28-24 / 12:14 PM","Lower Tier","W1","7","4","292.06"
"07-28-24 / 12:14 PM","Lower Tier","K1","12","1","419.08"
"07-28-24 / 12:14 PM","Lower Tier","K1","13","2","471.46"
"07-28-24 / 12:14 PM","Lower Tier","S2","23","1","316.8"
"07-28-24 / 12:14 PM","Floor","General Admission","","1","496.18"
"07-28-24 / 12:14 PM","Lower Tier","Y6","7","2","352.32"
"07-28-24 / 12:14 PM","Lower Tier","D1","10","4","283.21"
"07-28-24 / 12:14 PM","Lower Tier","O2","10","1","442.51"
"07-28-24 / 12:14 PM","Lower Tier","B2","15","2","394.28"
"07-28-24 / 12:14 PM","Lower Tier","R1","14","2","352.52"
"07-28-24 / 12:14 PM","Lower Tier","D1","14","4","354.01"
"07-28-24 / 12:14 PM","Lower Tier","D1","15","2","298.8"
"07-28-24 / 12:14 PM","Upper Tier","C4","40","1","282.33"
"07-28-24 / 12:14 PM","Lower Tier","K2","31","2","323.87"
"07-28-24 / 12:14 PM","Upper Tier","A3","49","1","264.44"
