"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-31-24 / 12:03 PM","Lower Tier","C3","2","3","221.93"
"07-31-24 / 12:03 PM","Upper Tier","G16","21","2","126.58"
"07-31-24 / 12:03 PM","Upper Tier","G23","4","2","182.76"
"07-31-24 / 12:03 PM","Lower Tier","D19","1","4","351.61"
"07-31-24 / 12:03 PM","Lower Tier","C4","1","4","262.95"
"07-31-24 / 12:03 PM","Upper Tier","G2","31","2","147.01"
"07-31-24 / 12:03 PM","Upper Tier","G28","13","2","186.64"
"07-31-24 / 12:03 PM","Lower Tier","D16","27","2","403.38"
"07-31-24 / 12:03 PM","Upper Tier","G16","5","1","124.98"
"07-31-24 / 12:03 PM","Lower Tier","D10","4","2","182.17"
"07-31-24 / 12:03 PM","Lower Tier","V2","4","1","306.74"
"07-31-24 / 12:03 PM","Upper Tier","G19","14","2","195.82"
"07-31-24 / 12:03 PM","Lower Tier","D19","11","1","151.26"
"07-31-24 / 12:03 PM","Upper Tier","G21","28","2","120.62"
"07-31-24 / 12:03 PM","Lower Tier","V1","1","4","244.73"
"07-31-24 / 12:03 PM","Lower Tier","D10","19","1","118.3"
"07-31-24 / 12:03 PM","Lower Tier","D1","25","1","120.27"
"07-31-24 / 12:03 PM","Upper Tier","G6","23","4","126.44"
"07-31-24 / 12:03 PM","Upper Tier","G16","28","2","120.59"
"07-31-24 / 12:03 PM","Upper Tier","G34","29","2","161.8"
"07-31-24 / 12:03 PM","Lower Tier","D16","23","2","396.09"
"07-31-24 / 12:03 PM","Lower Tier","D3","24","1","92.21"
"07-31-24 / 12:03 PM","Upper Tier","G15","26","1","124.11"
"07-31-24 / 12:03 PM","Lower Tier","V1","3","4","243.56"
"07-31-24 / 12:03 PM","Upper Tier","G36","24","2","142.54"
"07-31-24 / 12:03 PM","Upper Tier","G17","28","1","93.5"
"07-31-24 / 12:03 PM","Upper Tier","G19","10","1","119.78"
"07-31-24 / 12:03 PM","Upper Tier","G18","29","2","148.83"
"07-31-24 / 12:03 PM","Upper Tier","G18","7","1","110.82"
"07-31-24 / 12:03 PM","Lower Tier","V5","","1","315.14"
"07-31-24 / 12:03 PM","Upper Tier","G32","A","1","116.95"
"07-31-24 / 12:03 PM","Upper Tier","G32","25","2","156.04"
"07-31-24 / 07:26 AM","Upper Tier","G2","31","2","146.99"
"07-31-24 / 07:26 AM","Lower Tier","D10","4","2","181.91"
"07-31-24 / 07:26 AM","Upper Tier","G24","22","2","145.07"
"07-31-24 / 07:26 AM","Upper Tier","G26","27","1","192.89"
"07-31-24 / 07:26 AM","Upper Tier","G5","30","1","118.67"
"07-31-24 / 07:26 AM","Upper Tier","G33","15","2","154.23"
"07-31-24 / 07:26 AM","Upper Tier","G3","14","2","146.99"
"07-31-24 / 07:26 AM","Upper Tier","G27","27","1","207.17"
"07-31-24 / 07:26 AM","Upper Tier","G32","25","2","169.36"
"07-31-24 / 07:26 AM","Upper Tier","G32","21","2","168.99"
"07-31-24 / 07:26 AM","Lower Tier","D9","1","2","146.1"
"07-31-24 / 07:26 AM","Upper Tier","G32","28","1","186.79"
"07-31-24 / 02:24 AM","Lower Tier","D20","1","2","209.42"
"07-31-24 / 02:24 AM","Upper Tier","G30","13","2","164.02"
"07-30-24 / 09:12 PM","Floor","Front  A Left","","1","257.34"
"07-30-24 / 09:12 PM","Floor","Floor","","2","308.03"
"07-30-24 / 09:12 PM","Floor","Floor","","2","207.75"
"07-30-24 / 04:08 PM","Upper Tier","G6","21","2","101.98"
"07-30-24 / 04:08 PM","Upper Tier","G35","15","2","234.05"
"07-30-24 / 04:08 PM","Upper Tier","G14","9","3","123.84"
"07-30-24 / 04:08 PM","Lower Tier","D10","3","2","185.93"
"07-30-24 / 04:08 PM","Upper Tier","G18","3","1","100.1"
"07-30-24 / 04:08 PM","Lower Tier","D2","8","4","191.69"
"07-30-24 / 04:08 PM","Upper Tier","G5","30","1","103.83"
"07-30-24 / 04:08 PM","Upper Tier","G19","15","1","176.02"
"07-30-24 / 04:08 PM","Lower Tier","D3","17","4","102.2"
"07-30-24 / 04:07 PM","Lower Tier","D10","16","1","115.04"
"07-30-24 / 04:07 PM","Upper Tier","G5","20","1","101.27"
"07-30-24 / 04:07 PM","Upper Tier","G17","23","1","87.98"
"07-30-24 / 04:07 PM","Upper Tier","G1","37","1","107.67"
"07-30-24 / 04:07 PM","Upper Tier","G32","27","2","201.9"
"07-30-24 / 04:07 PM","Upper Tier","G16","21","4","172.51"
"07-30-24 / 04:07 PM","Lower Tier","D10","12","1","133.59"
"07-30-24 / 04:07 PM","Lower Tier","D1","10","2","173.81"
"07-30-24 / 04:07 PM","Lower Tier","D1","11","3","293.05"
"07-30-24 / 04:07 PM","Lower Tier","D1","","4","218.43"
"07-30-24 / 04:07 PM","Lower Tier","D1","8","2","127.59"
"07-30-24 / 04:07 PM","Lower Tier","D1","6","2","172.72"
"07-30-24 / 11:32 AM","Lower Tier","D9","1","2","173.61"
"07-30-24 / 11:32 AM","Upper Tier","G14","9","1","123.84"
"07-30-24 / 11:31 AM","Lower Tier","D10","10","2","308.03"
