"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"10-18-24 / 04:22 PM","Field","A 2","33","2","2150.62"
"10-18-24 / 04:22 PM","Lower","121","35","2","1728.15"
"10-18-24 / 04:21 PM","Lower","122","30","3","2063.68"
"10-18-24 / 04:21 PM","Lower","134","24","2","1978.58"
"10-18-24 / 04:21 PM","Upper","308","6","1","761.77"
"10-18-24 / 04:21 PM","Club","214","2","2","2552.15"
"10-18-24 / 05:30 AM","Upper","356","8","2","788.38"
"10-18-24 / 05:30 AM","Lower","149","2","2","1525.32"
"10-17-24 / 10:31 PM","Suites","213A","1","2","1568.57"
"10-17-24 / 10:31 PM","Field","A 7","30","2","1951.52"
"10-17-24 / 11:39 AM","Upper","308","17","2","747.58"
"10-17-24 / 11:39 AM","Field","A 10","9","2","2719.5"
"10-17-24 / 11:39 AM","Lower","154","11","2","874.12"
"10-17-24 / 11:38 AM","Club","256","10","3","915.75"
"10-16-24 / 12:26 PM","Lower","149","21","2","1942.5"
"10-16-24 / 01:14 AM","Upper","322","27","2","1615.32"
"10-15-24 / 07:17 PM","Field","A 10","2","3","4249.91"
"10-15-24 / 07:17 PM","Upper","318","21","2","1620.88"
"10-14-24 / 07:43 PM","Upper","317","2","2","1627.8"
"10-14-24 / 07:43 PM","Upper","352","10","1","2275.5"
"10-14-24 / 07:43 PM","Upper","314","25","4","1372.87"
"10-14-24 / 07:43 PM","Club","238","3","1","3616.75"
"10-14-24 / 07:43 PM","Club","212","2","6","2211.75"
"10-14-24 / 07:43 PM","Field","A 8","6","2","3921.43"
"10-14-24 / 07:43 PM","Field","A 6","7","2","2064.6"
"10-14-24 / 07:43 PM","Club","214","","7","2765.75"
"10-14-24 / 07:42 PM","Lower","130","20","2","2220"
"10-14-24 / 07:42 PM","Lower","129","10","1","1644.19"
"10-14-24 / 07:42 PM","Lower","115","7","2","2271.89"
"10-14-24 / 07:42 PM","Upper","318","13","2","1803.64"
"10-14-24 / 07:42 PM","Suites","244A","3","2","2068.76"
"10-14-24 / 07:42 PM","Field","A 15","15","2","4622.25"
"10-14-24 / 07:42 PM","Upper","348","12","1","1387.5"
"10-14-24 / 07:42 PM","Club","232","3","2","3762.07"
"10-14-24 / 07:42 PM","Club","242","18","2","2057.94"
"10-14-24 / 07:42 PM","Club","252","4","1","1197.97"
"10-14-24 / 07:42 PM","Club","248","15","1","1301.2"
"10-14-24 / 07:42 PM","Upper","342","20","1","1342.9"
"10-14-24 / 07:42 PM","Field","A 9","11","4","3271.72"
"10-14-24 / 07:42 PM","Lower","116","7","4","3489"
"10-14-24 / 07:42 PM","Lower","139","15","2","2064.6"
"10-14-24 / 07:42 PM","Field","A 2","8","2","2590.74"
"10-14-24 / 07:42 PM","Upper","316","5","2","1570.19"
"10-14-24 / 07:42 PM","Upper","320","28","2","1346.8"
"10-14-24 / 07:42 PM","Lower","153","21","4","1491.58"
"10-14-24 / 01:46 PM","Upper","347","21","2","1531.8"
"10-14-24 / 01:46 PM","Lower","118","22","2","2060.44"
"10-14-24 / 01:46 PM","Upper","318","21","4","1423.93"
"10-14-24 / 01:46 PM","Lower","138","10","2","2008.18"
"10-14-24 / 01:46 PM","Upper","318","1","2","1847.02"
"10-14-24 / 01:46 PM","Lower","138","28","2","2540.56"
"10-14-24 / 01:46 PM","Upper","314","12","2","2113.1"
"10-14-24 / 01:46 PM","Club","230","7","2","1955.54"
"10-14-24 / 01:46 PM","Upper","334","1","1","1968.46"
"10-14-24 / 01:46 PM","Lower","111","18","3","1757.89"
"10-14-24 / 01:46 PM","Club","243","13","1","1331.17"
"10-14-24 / 01:46 PM","Lower","131","19","4","3230.1"
"10-14-24 / 01:46 PM","Club","214","8","1","1597.57"
"10-14-24 / 09:27 AM","Lower","131","18","3","3235.5"
"10-14-24 / 09:27 AM","Lower","148","4","1","3120.74"
"10-14-24 / 09:27 AM","Lower","154","24","2","1328.19"
"10-14-24 / 04:23 AM","Lower","117","13","2","2470.86"
"10-14-24 / 04:23 AM","Lower","126","29","2","2449.16"
"10-14-24 / 04:23 AM","Club","252","6","4","1515.15"
"10-13-24 / 11:20 PM","Upper","349","26","2","1246.8"
"10-13-24 / 11:20 PM","Field","A 4","13","1","2425.07"
"10-13-24 / 11:20 PM","Club","249","3","1","1295.37"
"10-13-24 / 11:20 PM","Field","A 2","13","4","2610.35"
"10-13-24 / 11:20 PM","Upper","324","9","1","1207.12"
"10-13-24 / 11:20 PM","Lower","119","37","2","2162.84"
"10-13-24 / 11:20 PM","The 72 Club","72Club","2","2","6285.38"
"10-13-24 / 11:20 PM","Upper","349","20","2","1196.3"
"10-13-24 / 11:20 PM","Club","235","9","2","3746.21"
"10-13-24 / 11:20 PM","Upper","349","26","2","2189.71"
"10-13-24 / 11:20 PM","Field","A 13","14","4","3696.67"
"10-13-24 / 11:20 PM","Lower","139","16","3","2389.28"
"10-13-24 / 11:20 PM","Field","A 14","28","2","2645.09"
"10-13-24 / 11:20 PM","Field","A 14","5","1","2635.7"
"10-13-24 / 11:20 PM","Lower","150","27","2","1580.92"
"10-13-24 / 11:20 PM","Lower","115","33","1","1455.34"
"10-13-24 / 11:20 PM","Upper","318","16","4","1631.31"
"10-13-24 / 06:13 PM","Upper","348","12","1","1414.42"
"10-13-24 / 06:13 PM","Field","A 1","5","3","3080.02"
"10-13-24 / 06:13 PM","Lower","142","25","4","2115.6"
"10-13-24 / 06:13 PM","Upper","322","5","1","1525.32"
"10-13-24 / 06:13 PM","Field","A 2","17","2","2071.26"
"10-13-24 / 06:13 PM","Lower","138","30","1","1755.95"
"10-13-24 / 06:13 PM","Lower","143","13","1","1760.74"
"10-13-24 / 06:13 PM","Club","241","16","4","3440.61"
"10-13-24 / 06:13 PM","Upper","324","11","1","1186.31"
"10-13-24 / 06:13 PM","Club","253","9","2","2371.43"
"10-13-24 / 06:13 PM","Upper","314","12","2","1251.32"
"10-13-24 / 06:13 PM","Club","232","8","1","1773.76"
"10-13-24 / 06:13 PM","Lower","118","10","2","3076.67"
"10-13-24 / 06:12 PM","Upper","314","25","4","1458.34"
"10-13-24 / 06:12 PM","Lower","110","11","3","1435.6"
"10-13-24 / 06:12 PM","Lower","148","4","2","2035"
"10-13-24 / 01:49 PM","Lower","150","19","2","1387.78"
"10-13-24 / 01:49 PM","Club","212","2","6","2379.55"
"10-13-24 / 01:49 PM","Upper","315","21","2","1257.08"
"10-13-24 / 01:49 PM","Field","A 6","4","2","2772.5"
"10-13-24 / 01:49 PM","Upper","347","24","1","1119.71"
"10-13-24 / 01:49 PM","Upper","350","25","1","1115.55"
"10-13-24 / 01:49 PM","Upper","315","14","1","1256.15"
"10-13-24 / 01:49 PM","Upper","349","26","2","1321.56"
"10-13-24 / 01:49 PM","Mezzanine Suite","M43C","1","3","2775.11"
"10-13-24 / 01:49 PM","Upper","316","4","1","1148.85"
"10-13-24 / 01:49 PM","Club","250","9","2","1543.36"
"10-13-24 / 01:49 PM","Lower","117","32","1","2078.24"
"10-13-24 / 01:49 PM","Club","241","16","4","2018.36"
"10-13-24 / 10:11 AM","Upper","324","9","2","1434.4"
"10-13-24 / 10:11 AM","Lower","144","23","4","3552.35"
"10-13-24 / 10:11 AM","Club","253","2","2","1292.25"
"10-13-24 / 10:11 AM","Club","214","7","1","1590.08"
"10-13-24 / 10:11 AM","Field","A 8","6","2","4152.09"
"10-13-24 / 10:11 AM","Upper","315","3","2","1319.51"
"10-13-24 / 10:11 AM","Upper","336","27","2","1340.32"
"10-13-24 / 06:31 AM","Upper","316","3","2","1768.48"
"10-13-24 / 01:21 AM","Upper","318","20","2","1558.44"
"10-13-24 / 01:21 AM","Lower","116","33","3","2466.7"
"10-13-24 / 01:21 AM","Upper","348","7","4","1913.92"
"10-13-24 / 01:21 AM","Upper","342","2","2","3229.54"
"10-13-24 / 01:21 AM","Upper","330","16","1","1406.09"
"10-13-24 / 01:21 AM","Upper","342","2","2","1950.62"
"10-13-24 / 01:21 AM","Upper","323","2","1","1207.12"
"10-13-24 / 01:21 AM","Lower","153","18","2","1849.82"
"10-13-24 / 01:21 AM","Lower","126","11","2","2204.46"
"10-12-24 / 07:38 PM","Lower","129","14","1","1464.37"
"10-12-24 / 07:38 PM","Field","A 11","8","1","3108.07"
"10-12-24 / 07:38 PM","Lower","114","17","4","1643.36"
"10-12-24 / 07:38 PM","Lower","154","13","2","2281.79"
"10-12-24 / 07:38 PM","Field","A 7","13","4","3234.59"
"10-12-24 / 07:38 PM","Club","232","2","2","2423.41"
"10-12-24 / 07:38 PM","Field","A 13","14","2","3074.88"
"10-12-24 / 07:38 PM","Club","252","5","1","986.98"
"10-12-24 / 07:38 PM","Upper","320","2","2","1964.98"
"10-12-24 / 07:38 PM","Upper","346","2","2","2913.74"
"10-12-24 / 02:53 PM","Suites","213A","1","5","1568.57"
"10-12-24 / 02:53 PM","Club","244","19","2","1909.76"
"10-12-24 / 02:53 PM","Lower","138","6","2","2430.9"
"10-12-24 / 02:53 PM","Upper","318","21","2","1558.44"
"10-12-24 / 02:53 PM","Upper","352","14","1","1009.82"
"10-12-24 / 02:53 PM","Field","A 13","11","2","3003.66"
"10-12-24 / 02:53 PM","Lower","138","10","2","2005.43"
"10-12-24 / 02:53 PM","Upper","332","14","1","1480.46"
"10-12-24 / 02:53 PM","Lower","120","12","1","2131.2"
"10-12-24 / 02:53 PM","Upper","335","23","2","1431.11"
"10-12-24 / 02:53 PM","Upper","343","6","2","1580.92"
"10-12-24 / 02:53 PM","Lower","142","26","4","2672.32"
