"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-01-24 / 07:10 PM","Street 200-Level","249","3","3","1702.98"
"11-01-24 / 02:01 PM","Field","FL J","44","3","2691.75"
"11-01-24 / 02:01 PM","Street 100-Level","139","12","3","2743.92"
"11-01-24 / 02:01 PM","Street 100-Level","140","2","2","2705.62"
"11-01-24 / 02:01 PM","Terrace 600-Level","610","9","1","2395.1"
"11-01-24 / 02:01 PM","Field","FL K","2","2","2465.7"
"11-01-24 / 02:01 PM","Street 100-Level","140","5","5","2417.1"
"11-01-24 / 02:01 PM","Street 100-Level","114","5","2","2317.76"
"11-01-24 / 02:01 PM","Street 100-Level","141","5","2","2554.11"
"11-01-24 / 02:01 PM","Street 200-Level","204","8","2","2057.94"
"11-01-24 / 02:01 PM","Terrace 600-Level","632","","2","2018.81"
"11-01-24 / 02:01 PM","Terrace 600-Level","604","13","2","1549.87"
"11-01-24 / 02:01 PM","Street 100-Level","137","","2","3538.12"
"11-01-24 / 09:25 AM","Field","FL F","3","2","2324.8"
"11-01-24 / 09:25 AM","Field","FL F","19","2","2210.89"
"11-01-24 / 09:25 AM","Street 100-Level","127","12","2","2218.38"
"11-01-24 / 09:25 AM","Loge 400-Level","406","7","1","3246.75"
"11-01-24 / 09:25 AM","Field","FL J","1","2","4995"
"11-01-24 / 09:25 AM","Street 100-Level","118","1","2","3391.6"
"11-01-24 / 09:25 AM","Street 100-Level","148","16","2","2664"
"11-01-24 / 09:25 AM","Street 100-Level","141","2","2","2679.82"
"11-01-24 / 09:25 AM","Field","FL H","36","3","2548.19"
"11-01-24 / 09:25 AM","Field","FL J","27","2","2512.3"
"11-01-24 / 09:25 AM","Street 100-Level","137","3","4","2445.01"
"11-01-24 / 09:25 AM","Street 100-Level","128","9","4","2467.44"
"11-01-24 / 09:25 AM","Street 100-Level","141","4","4","2377.71"
"11-01-24 / 09:24 AM","Field","FL H","24","2","2331"
"11-01-24 / 09:24 AM","Street 100-Level","128","19","4","2324.8"
"11-01-24 / 09:24 AM","Field","FL G","45","1","2299.65"
"11-01-24 / 09:24 AM","Terrace 600-Level","631","","2","2243.12"
"11-01-24 / 09:24 AM","Terrace 600-Level","604","7","3","2081.25"
"11-01-24 / 09:24 AM","Field","FL G","46","2","2039.62"
"11-01-24 / 09:24 AM","Terrace 600-Level","624","6","1","1998"
"11-01-24 / 09:24 AM","Street 200-Level","204","11","1","1863.97"
"11-01-24 / 09:24 AM","Terrace 600-Level","605","","2","1794.5"
"11-01-24 / 09:24 AM","Street 200-Level","249","8","2","1685.93"
"11-01-24 / 09:24 AM","Terrace 600-Level","604","9","2","1483.93"
"11-01-24 / 09:24 AM","Terrace 600-Level","604","","4","1476.42"
"11-01-24 / 09:24 AM","Loge 400-Level","404","2","1","1398.6"
"11-01-24 / 09:24 AM","Field","FL J","35","2","2240.9"
"11-01-24 / 09:24 AM","Street 200-Level","216","9","1","2497.5"
"11-01-24 / 09:24 AM","Field","FL G","17","1","2497.5"
"11-01-24 / 09:24 AM","Field","FL H","17","1","2913.75"
"11-01-24 / 09:24 AM","Terrace 500-Level","544","4N","2","3330"
"11-01-24 / 03:58 AM","Field","FL Q","1","2","9250"
"11-01-24 / 03:58 AM","Field","FL H","6","2","6997.65"
"11-01-24 / 03:58 AM","Street 100-Level","128","16","2","6993"
"11-01-24 / 03:57 AM","Field","FL B","16","2","5817.09"
"11-01-24 / 03:57 AM","Street 100-Level","112","22","2","5672.77"
"11-01-24 / 03:57 AM","Field","FL C","16","4","5033.96"
"11-01-24 / 03:57 AM","Field","FL J","35","2","4768.38"
"11-01-24 / 03:57 AM","Field","FL G","35","2","4625"
"11-01-24 / 03:57 AM","Street 200-Level","217","8","2","4419.99"
"11-01-24 / 03:57 AM","Loge 400-Level","414","7","3","3197.6"
"11-01-24 / 03:57 AM","Street 100-Level","151","29","4","2975.82"
"11-01-24 / 03:57 AM","Loge 400-Level","404","12","2","2957.25"
"11-01-24 / 03:57 AM","Street 200-Level","205","13","2","2866.3"
"11-01-24 / 03:57 AM","Terrace 600-Level","619","13","1","2075.3"
"11-01-24 / 03:57 AM","Terrace 600-Level","611","8","1","1982.8"
"11-01-24 / 03:57 AM","Field","FL G","20","4","8741.25"
"11-01-24 / 03:57 AM","Field","FL G","42","3","6912.08"
"11-01-24 / 03:57 AM","Field","FL H","6","2","6474.08"
"11-01-24 / 03:57 AM","Terrace 600-Level","643","10","1","2620.65"
"11-01-24 / 03:57 AM","Street 100-Level","103","8","1","2405.92"
"11-01-24 / 03:57 AM","Street 100-Level","137","","4","7159.5"
"11-01-24 / 03:57 AM","Field","FL C","8","2","5826.67"
"11-01-24 / 03:57 AM","Field","FL N","5","1","5243.92"
"11-01-24 / 03:57 AM","Field","FL J","7","2","5382.6"
"11-01-24 / 03:57 AM","Field","FL C","17","2","4937.56"
"11-01-24 / 03:57 AM","Street 100-Level","151","33","4","3653.75"
"11-01-24 / 03:57 AM","Field","FL H","31","1","3645.52"
"11-01-24 / 03:57 AM","Street 100-Level","121","8","1","3454.41"
"11-01-24 / 03:56 AM","Street 100-Level","151","30","4","3286.99"
"11-01-24 / 03:56 AM","Field","FL A","14","4","5846.92"
"11-01-24 / 03:56 AM","Terrace 600-Level","629","18","1","2858.8"
"11-01-24 / 03:56 AM","Field","FL M","5","1","4828.5"
"11-01-24 / 03:56 AM","Street 100-Level","Street 100-Level","","4","5619.38"
"11-01-24 / 03:56 AM","Loge 400-Level","408","7","4","4306.8"
"10-31-24 / 04:31 PM","Field","FL G","16","2","4564.6"
"10-31-24 / 04:31 PM","Street 100-Level","111","1","2","5661"
"10-31-24 / 04:31 PM","Street 200-Level","213","11","1","3003.5"
"10-31-24 / 04:31 PM","Terrace 600-Level","609","21","2","2647.37"
"10-31-24 / 04:31 PM","Field","FL J","35","4","4278.08"
"10-31-24 / 04:31 PM","Terrace 600-Level","606","","2","2266.25"
"10-31-24 / 04:31 PM","Street 100-Level","136","20","2","4203.69"
"10-31-24 / 04:31 PM","Field","FL D","13","1","3696.3"
"10-31-24 / 04:31 PM","Street 200-Level","223","13","1","2842.82"
"10-31-24 / 04:31 PM","Street 100-Level","116","2","1","4488.84"
"10-31-24 / 04:31 PM","Terrace 600-Level","611","10","1","2593.42"
"10-31-24 / 04:31 PM","Street 100-Level","137","10","4","5490.36"
"10-31-24 / 04:31 PM","Street 100-Level","148","16","2","3125.2"
"10-31-24 / 04:31 PM","Loge 300-Level","345","2","1","2321.84"
"10-31-24 / 04:31 PM","Street 100-Level","108","14","1","2986.18"
"10-31-24 / 12:08 PM","Street 100-Level","145","18","2","3238.42"
"10-31-24 / 12:08 PM","Street 100-Level","103","11","2","2216.78"
"10-31-24 / 12:07 PM","Street 200-Level","221","13","1","2156.18"
"10-31-24 / 12:07 PM","Terrace 600-Level","645","16","2","2184.48"
"10-31-24 / 12:07 PM","Terrace 600-Level","605","4","1","1819.01"
"10-31-24 / 12:07 PM","Street 200-Level","222","6","2","3768.45"
"10-31-24 / 12:07 PM","Terrace 600-Level","638","12","2","2954.54"
"10-31-24 / 12:07 PM","Loge 300-Level","325","3N","1","2793.87"
"10-31-24 / 12:07 PM","Terrace 600-Level","618","6","2","2495.84"
