"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-06-24 / 12:07 PM","Field","FLR-A6","14","1","1838.91"
"12-06-24 / 12:07 PM","Field","FLR-A7","12","2","2063.68"
"12-06-24 / 12:07 PM","Upper","424","LL","1","508.75"
"12-06-24 / 12:07 PM","Lower","225","S","1","533.88"
"12-06-24 / 12:06 PM","Lower","226","N","1","591.55"
"12-06-24 / 01:55 AM","Upper","425","GG","1","532.39"
"12-05-24 / 04:12 PM","Upper","435","UU","1","1064.78"
"12-05-24 / 04:12 PM","Upper","435","UU","1","1064.78"
"12-05-24 / 04:12 PM","Lower","224","UU","1","709.85"
"12-05-24 / 04:12 PM","Lower","224","UU","1","709.85"
"12-05-24 / 09:28 AM","Lower","230","S","1","585.98"
"12-05-24 / 09:28 AM","Lower","230","S","1","585.98"
"12-05-24 / 09:28 AM","Lower","230","S","1","585.98"
"12-05-24 / 09:28 AM","Lower","231","VV","1","769.46"
"12-05-24 / 09:28 AM","Lower","231","VV","1","769.46"
"12-05-24 / 09:28 AM","Lower","231","VV","1","769.46"
"12-04-24 / 10:03 AM","Upper","431","EE","1","740.51"
"12-03-24 / 07:24 PM","Field","FLR-A11","13","2","4481.73"
"12-02-24 / 09:12 PM","Field","FLR-A1","18","2","3295.38"
"11-30-24 / 05:06 AM","Lower","229","R","1","661.21"
"11-30-24 / 05:06 AM","Lower","229","R","1","661.21"
"11-30-24 / 05:06 AM","Upper","426","ZZ","1","662.4"
"11-30-24 / 05:06 AM","Upper","426","ZZ","1","662.4"
"11-29-24 / 02:54 PM","Lower","225","JJ","1","673.24"
"11-29-24 / 02:54 PM","Lower","225","JJ","1","673.24"
"11-29-24 / 09:14 AM","Upper","432","SS","1","652.91"
"11-29-24 / 09:14 AM","Upper","432","SS","1","652.91"
"11-29-24 / 09:14 AM","Upper","432","SS","1","652.91"
"11-28-24 / 10:38 PM","Lower","224","OO","1","890.33"
"11-28-24 / 10:38 PM","Lower","224","OO","1","890.33"
"11-28-24 / 10:38 PM","Lower","224","OO","1","890.33"
"11-27-24 / 08:48 AM","Upper","431","NN","1","824.62"
"11-26-24 / 07:32 PM","Lower","236","TT","2","1904.97"
"11-26-24 / 08:13 AM","Upper","408","BB","2","2238.36"
"11-26-24 / 08:13 AM","Upper","408","BB","2","2238.36"
"11-26-24 / 08:13 AM","Upper","408","BB","2","2238.36"
"11-20-24 / 12:07 PM","Upper","440","TT","1","2205.62"
"11-18-24 / 06:44 AM","Upper","442","HH","2","2435.68"
"11-18-24 / 06:44 AM","Field","FLR-A12","14","3","4455.51"
"11-18-24 / 06:44 AM","Lower","204","T","2","2554.49"
"11-13-24 / 07:09 PM","Field","FLR-B5","","1","4255"
"11-12-24 / 11:30 AM","Field","FLR-A10","9","2","4082.49"
"11-10-24 / 01:50 PM","Upper","405","CC","2","2093.97"
"11-07-24 / 10:51 AM","Upper","452","D","2","2245.28"
"11-07-24 / 10:51 AM","Lower","215","B","2","4041.5"
"11-07-24 / 10:51 AM","Upper","435","PP","2","1796.22"
"11-05-24 / 11:02 PM","Upper","420","LL","1","1497.1"
"11-05-24 / 11:02 PM","Lower","246","L","1","2095.94"
