"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-12-23 / 03:33 PM","Lower","101","5","1","540"
"07-12-23 / 03:33 PM","Mezzanine Level","M13","9","3","395.76"
"07-12-23 / 03:33 PM","Field","F10","7","1","742.05"
"07-12-23 / 03:33 PM","Lower","107","14","1","450"
"07-12-23 / 03:33 PM","Club Level","C5","1","1","450"
"07-12-23 / 03:33 PM","Upper","202","28","2","230.57"
"07-12-23 / 03:33 PM","Lower","109","16","1","360"
"07-12-23 / 03:33 PM","Upper","221","13","1","354.05"
"07-12-23 / 11:14 AM","Club Level","C21","17","2","266"
"07-12-23 / 11:14 AM","Field","F1","28","1","550"
"07-12-23 / 11:14 AM","Club Level","C24","11","1","393.25"
"07-12-23 / 11:14 AM","Upper","223","18","1","247.5"
"07-12-23 / 11:14 AM","Club Suites","CS144","1","3","360"
"07-12-23 / 11:14 AM","Club Level","C15","7","2","333"
"07-12-23 / 07:25 AM","Club Level","C39","17","1","432.25"
"07-12-23 / 07:25 AM","VIP","Riser","B","1","3600"
"07-12-23 / 03:21 AM","Upper","223","19","1","408.84"
"07-12-23 / 03:21 AM","Club Level","C3","9","1","486.86"
"07-12-23 / 03:21 AM","Club Level","C6","18","1","441"
"07-12-23 / 03:21 AM","Upper","228","16","1","471.25"
"07-12-23 / 03:21 AM","Upper","228","16","1","256.5"
"07-12-23 / 03:21 AM","Club Suites","CS144","1","1","360"
"07-12-23 / 03:21 AM","Upper","202","11","2","471.25"
"07-12-23 / 03:21 AM","Upper","201","3","1","292.5"
"07-12-23 / 03:21 AM","Mezzanine Level","M14","3","1","666.31"
"07-12-23 / 03:21 AM","Upper","225","20","2","424.44"
"07-11-23 / 10:25 PM","Upper","227","30","1","225"
"07-11-23 / 10:25 PM","Upper","225","7","1","269.1"
"07-11-23 / 10:25 PM","Club Level","C5","1","1","450"
"07-11-23 / 10:25 PM","Lower Suites","LS51","","1","495"
"07-11-23 / 10:25 PM","Pit","B-Hive B","","1","4050"
"07-11-23 / 10:25 PM","Field","F7","24","2","899.1"
"07-11-23 / 04:56 PM","Lower","102","14","2","720"
"07-11-23 / 04:56 PM","Lower","136","23","2","383.4"
"07-11-23 / 04:56 PM","Upper","216","1","1","315"
"07-11-23 / 04:56 PM","Upper","219","26","1","391.68"
"07-11-23 / 04:56 PM","Lower","103","21","1","405"
"07-11-23 / 04:56 PM","Pit","Club Renaissance","","3","2227.5"
"07-11-23 / 04:56 PM","Upper","226","19","1","315"
"07-11-23 / 12:10 PM","Field","F13","23","3","625.5"
"07-11-23 / 12:10 PM","Upper","204","25","3","486.86"
"07-11-23 / 12:10 PM","Field","F11","15","1","939.37"
"07-11-23 / 12:10 PM","Standing Room Only","Standing Room","","1","2499.77"
"07-11-23 / 12:10 PM","Upper","219","11","1","549.28"
