"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-08-23 / 05:48 PM","500 Level Home Plate","526","21","1","378.01"
"07-08-23 / 05:48 PM","Field","B7","6","1","619.82"
"07-08-23 / 01:26 PM","Premium Dugout","116L","11","1","437.57"
"07-08-23 / 01:26 PM","200 Level Infield","231R","2","1","203.03"
"07-08-23 / 01:26 PM","Premium Dugout","125R","12","3","649.76"
"07-08-23 / 01:26 PM","200 Level Bases","214L","6","2","416.19"
"07-08-23 / 01:26 PM","200 Level Infield","228L","9","1","473.74"
"07-08-23 / 01:26 PM","500 Level Outfield","508","1","2","278.74"
"07-08-23 / 01:26 PM","Field Level Infield II","117R","23","1","437.57"
"07-08-23 / 01:26 PM","500 Level Home Plate","523","16","1","169.19"
"07-08-23 / 01:26 PM","Premium Dugout","127R","11","1","437.57"
"07-08-23 / 01:26 PM","Premium Dugout","120L","11","3","437.57"
"07-08-23 / 01:26 PM","200 Level Bases","214L","6","2","199.65"
"07-08-23 / 01:26 PM","Field Level Infield II","119R","26","2","257.17"
"07-08-23 / 09:35 AM","Field","A5","19","1","338.38"
"07-08-23 / 09:35 AM","Field Level Bases","130BL","24","2","338.38"
"07-08-23 / 09:35 AM","Premium Infield","117R","13","2","402.44"
"07-08-23 / 05:59 AM","Field","A5","19","1","336.73"
"07-08-23 / 05:59 AM","200 Level Bases","236R","12","1","497.39"
"07-08-23 / 05:59 AM","Premium Dugout","120L","12","1","400.47"
"07-08-23 / 05:59 AM","Premium Dugout","120L","11","2","400.47"
"07-08-23 / 05:59 AM","Premium Dugout","127R","11","2","400.47"
"07-08-23 / 05:59 AM","Field Level Infield II","117R","21","1","400.47"
"07-08-23 / 05:59 AM","Field Level Infield II","126L","27","1","309.62"
"07-08-23 / 12:42 AM","Premium Dugout","123R","10","4","434.7"
"07-08-23 / 12:42 AM","Field Level Bases","130AL","2","1","262.65"
"07-08-23 / 12:42 AM","200 Level Bases","215R","13","2","233.81"
"07-08-23 / 12:42 AM","Field Level Infield II","125R","25","1","272.75"
"07-08-23 / 12:42 AM","500 Level Outfield","509","18","3","161.99"
"07-08-23 / 12:42 AM","Premium Infield","116L","13","1","488.62"
"07-08-23 / 12:42 AM","Premium Dugout","120L","10","4","434.7"
"07-08-23 / 12:42 AM","Premium Dugout","121R","11","3","434.7"
"07-08-23 / 12:42 AM","Field","A2","21","1","642.99"
"07-08-23 / 12:42 AM","Premium Dugout","122L","10","4","434.7"
"07-08-23 / 12:42 AM","Field","A4","28","1","584.75"
"07-08-23 / 12:42 AM","Field","B7","1","2","363.75"
"07-07-23 / 06:55 PM","500 Level Home Plate","524","18","3","174.13"
"07-07-23 / 06:55 PM","200 Level Bases","216L","4","2","255.91"
"07-07-23 / 06:55 PM","Field","A3","11","1","370.4"
"07-07-23 / 06:55 PM","500 Level Outfield","537","15","3","272.58"
"07-07-23 / 06:55 PM","Field Level Bases","130DR","20","2","194"
"07-07-23 / 01:58 PM","500 Level Home Plate","524","18","2","183.3"
"07-07-23 / 01:58 PM","200 Level Bases","217R","8","1","299.37"
"07-07-23 / 01:58 PM","500 Level Outfield","538","15","1","293.54"
"07-07-23 / 01:57 PM","Field","A6","19","1","673.45"
"07-07-23 / 06:27 AM","500 Level Bases","513","11","1","152.31"
"07-07-23 / 06:27 AM","500 Level Bases","515","7","2","313.79"
"07-07-23 / 06:27 AM","Field Level Bases","130BR","20","1","511.99"
"07-07-23 / 06:27 AM","Field Level Bases","130AL","10","3","511.99"
"07-07-23 / 02:11 AM","Field Level Bases","113BL","28","3","236.92"
"07-07-23 / 02:11 AM","Field Level Bases","130AR","22","2","340.85"
"07-07-23 / 02:11 AM","500 Level Infield","529","21","1","341.89"
"07-07-23 / 02:11 AM","200 Level Bases","236L","5","1","378.18"
"07-07-23 / 02:11 AM","200 Level Bases","236L","5","1","186.15"
"07-07-23 / 02:11 AM","200 Level Bases","215R","3","1","169.23"
"07-07-23 / 02:11 AM","Field Level Bases","130AL","12","3","511.99"
"07-07-23 / 02:11 AM","Field","A7","31","1","704.85"
"07-07-23 / 02:11 AM","Field Level Infield","127L","27","2","290.4"
"07-07-23 / 02:11 AM","Field Level Bases","113CL","27","2","203.08"
"07-06-23 / 09:12 PM","Field Level Bases","114R","12","2","511.99"
"07-06-23 / 09:12 PM","Premium Infield","121R","20","1","791.48"
"07-06-23 / 04:18 PM","500 Level Home Plate","522","14","2","321.54"
"07-06-23 / 04:18 PM","500 Level Home Plate","522","22","1","152.31"
