"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"10-01-23 / 08:28 PM","Lower","116","10","1","315"
"10-01-23 / 04:08 PM","Field","FLRC","16","1","1132.2"
"10-01-23 / 04:08 PM","Upper","339","23","1","379.74"
"10-01-23 / 12:28 PM","Lower","104","20","1","334.65"
"10-01-23 / 09:11 AM","Lower","120","25","1","540"
"10-01-23 / 05:24 AM","Club","203","9","2","453.15"
"10-01-23 / 05:24 AM","Field","FLRJ","14","2","1309.5"
"10-01-23 / 01:24 AM","Lower","103","28","2","606.52"
"10-01-23 / 01:24 AM","Field","FLRA","15","1","1619.1"
"10-01-23 / 01:24 AM","Field","FLRH","11","1","1349.1"
"09-30-23 / 09:06 PM","Club","221","1","1","720"
"09-30-23 / 04:31 PM","Upper","304","25","2","412.25"
"09-30-23 / 04:31 PM","Upper","304","23","2","412.25"
"09-30-23 / 04:31 PM","Upper","328","24","1","567.5"
"09-30-23 / 12:19 PM","Field","FLRK","5","2","1823.32"
"09-30-23 / 08:31 AM","Lower","120","25","1","720"
"09-30-23 / 08:31 AM","Lower","117","7","1","697.5"
"09-30-23 / 08:31 AM","Upper","321","10","4","740.43"
"09-30-23 / 04:29 AM","Lower","129","6","1","630"
"09-30-23 / 04:29 AM","Upper","321","10","4","445.5"
"09-29-23 / 11:34 PM","Field","FLRM","11","2","698.4"
"09-29-23 / 11:34 PM","Club","221","6","1","641.21"
"09-29-23 / 11:34 PM","Upper","304","","1","328.49"
"09-29-23 / 01:27 PM","Upper","332","12","2","534.91"
"09-29-23 / 01:26 PM","Upper","327","16","2","387.34"
"09-29-23 / 01:26 PM","Upper","343","15","1","570.34"
"09-29-23 / 09:58 AM","Field","FLRH","11","3","1137.3"
"09-29-23 / 05:40 AM","Upper","322","42","2","275.88"
"09-29-23 / 01:08 AM","Lower","132","18","1","538.2"
"09-29-23 / 01:08 AM","Upper","331","28","2","360"
"09-29-23 / 01:08 AM","Club","244","7","1","599.04"
"09-29-23 / 01:08 AM","Lower","129","25","1","899.1"
"09-28-23 / 08:21 PM","Upper","322","42","2","275.88"
"09-28-23 / 03:11 PM","Lower","129","13","2","819"
"09-28-23 / 03:11 PM","Upper","322","22","1","307.49"
"09-28-23 / 07:17 AM","Upper","342","32","2","315"
"09-28-23 / 02:51 AM","Club","238","6","2","1148.5"
"09-27-23 / 04:52 PM","Lower","131","38","2","469.87"
"09-27-23 / 04:52 PM","Club","221","5","2","453.15"
"09-27-23 / 05:04 AM","Upper","303","15","1","270"
"09-26-23 / 11:00 AM","Upper","331","29","2","287.24"
"09-25-23 / 10:39 PM","Lower","116","28","1","401.02"
"09-25-23 / 10:39 PM","Club","221","6","2","413.08"
"09-25-23 / 10:39 PM","Upper","329","27","1","311.58"
"09-25-23 / 10:39 PM","Upper","303","15","3","281.05"
"09-25-23 / 10:39 PM","Upper","340","19","1","288"
"09-25-23 / 01:50 PM","Upper","342","13","2","244.96"
"09-25-23 / 10:21 AM","Lower","116","31","2","399.82"
"09-25-23 / 02:54 AM","Club","203","7","1","466.46"
"09-24-23 / 10:39 PM","Upper","338","16","2","244.53"
"09-24-23 / 02:16 PM","Upper","340","12","1","234"
"09-24-23 / 10:36 AM","Upper","346","13","1","270"
"09-23-23 / 11:42 PM","Upper","303","31","2","188.83"
"09-23-23 / 11:03 AM","Upper","323","41","3","216"
"09-22-23 / 04:59 PM","Club","239","2","1","450"
"09-22-23 / 04:59 PM","Upper","321","10","2","208.49"
"09-22-23 / 08:41 AM","Upper","322","35","1","187.51"
"09-22-23 / 08:41 AM","Lower","116","11","1","416.62"
"09-22-23 / 08:41 AM","Upper","322","19","1","192.41"
"09-22-23 / 04:35 AM","Upper","343","19","2","210"
"09-21-23 / 06:52 PM","Upper","301","33","3","221.16"
"09-21-23 / 01:41 AM","Upper","322","18","2","199.01"
"09-20-23 / 08:59 PM","Upper","322","21","3","196.5"
"09-20-23 / 08:59 PM","Upper","322","42","2","180.02"
"09-20-23 / 04:25 PM","Upper","342","9","2","247.96"
"09-20-23 / 12:14 PM","Upper","333","11","1","251.78"
"09-20-23 / 12:14 PM","Upper","332","21","1","292.11"
"09-20-23 / 04:38 AM","Upper","337","14","3","382.5"
"09-19-23 / 10:42 AM","Upper","322","21","3","199.75"
"09-19-23 / 07:09 AM","Upper","342","32","3","223.1"
"09-19-23 / 02:59 AM","Upper","322","22","3","199.25"
"09-17-23 / 05:59 PM","Field","Club Renaissance","","1","2776.5"
"09-17-23 / 02:40 AM","Club","232","6","1","564.89"
"09-17-23 / 02:40 AM","Club","232","7","2","332.28"
"09-17-23 / 02:40 AM","Upper","331","12","1","267.3"
"09-16-23 / 06:11 PM","Upper","325","39","4","536.13"
"09-16-23 / 06:11 PM","Upper","332","20","2","402.86"
"09-16-23 / 06:11 PM","Upper","333","15","2","387.7"
"09-16-23 / 06:11 PM","Upper","332","20","2","238.68"
"09-16-23 / 06:11 PM","Upper","341","39","1","326.74"
"09-16-23 / 06:11 PM","Upper","333","15","2","229.32"
"09-16-23 / 06:11 PM","Club","232","6","1","334.15"
"09-16-23 / 12:46 AM","Club","239","3","1","577.01"
"09-16-23 / 12:46 AM","Upper","327","36","2","207"
"09-16-23 / 12:46 AM","Upper","301","31","1","422.54"
"09-16-23 / 12:46 AM","Upper","322","39","1","225"
"09-16-23 / 12:46 AM","Club","221","6","1","412.42"
"09-15-23 / 03:32 PM","Upper","324","39","2","380.13"
"09-15-23 / 03:32 PM","Club","239","7","4","332.28"
"09-15-23 / 03:32 PM","Lower","116","25","2","396.74"
"09-14-23 / 01:59 PM","Upper","302","28","3","452.83"
"09-14-23 / 01:59 PM","Field","FLRH","11","2","1305"
"09-14-23 / 01:59 PM","Upper","329","20","1","354.9"
"09-14-23 / 05:40 AM","Upper","341","21","2","251.23"
"09-13-23 / 08:59 PM","Upper","343","17","4","448.28"
"09-13-23 / 08:59 PM","Upper","325","39","4","536.13"
"09-13-23 / 08:59 PM","Lower","104","38","3","421.2"
"09-13-23 / 08:59 PM","Upper","330","32","1","220.5"
"09-13-23 / 01:08 PM","Lower","117","22","1","486.88"
"09-13-23 / 05:26 AM","Upper","323","37","1","297.79"
"09-12-23 / 02:22 PM","Upper","326","22","2","469.49"
"09-12-23 / 02:22 PM","Upper","344","23","2","457.38"
"09-12-23 / 02:22 PM","Upper","328","22","2","289.03"
"09-12-23 / 02:22 PM","Upper","321","30","1","410.43"
"09-12-23 / 08:12 AM","Lower","117","29","4","898.08"
"09-12-23 / 08:12 AM","Upper","323","41","2","434.65"
"09-12-23 / 08:12 AM","Upper","302","29","1","436.17"
"09-12-23 / 12:50 AM","Upper","341","32","2","280.22"
"09-11-23 / 07:26 AM","Upper","322","41","4","215.1"
"09-11-23 / 07:26 AM","Upper","321","29","1","265.27"
"09-10-23 / 08:53 PM","Club","203","10","2","507.61"
"09-10-23 / 08:53 PM","Field","Club Renaissance","","1","2925"
"09-10-23 / 08:53 PM","Upper","341","36","2","279.83"
"09-10-23 / 12:14 PM","Upper","329","33","2","452.83"
"09-10-23 / 12:14 PM","Upper","324","28","2","452.83"
"09-10-23 / 02:17 AM","Lower","103","23","4","489.6"
"09-09-23 / 08:31 AM","Upper","325","25","2","434.65"
"09-09-23 / 08:31 AM","Upper","303","38","2","401.33"
"09-09-23 / 08:31 AM","Upper","322","11","1","234"
"09-09-23 / 08:31 AM","Lower","116","34","2","463.09"
"09-08-23 / 11:05 PM","Lower","104","36","1","392.4"
"09-08-23 / 11:05 PM","Upper","322","34","2","201.6"
"09-08-23 / 02:36 PM","Lower","104","36","1","400.5"
"09-08-23 / 02:36 PM","Upper","343","38","2","371.04"
"09-08-23 / 02:36 PM","Upper","301","22","3","241.23"
"09-08-23 / 02:36 PM","Upper","344","23","2","228.38"
"09-08-23 / 02:36 PM","Upper","326","18","2","387.7"
"09-08-23 / 02:36 PM","Lower","101","36","2","779.3"
"09-08-23 / 02:36 PM","Upper","322","2","2","314.1"
"09-08-23 / 06:00 AM","Upper","303","39","2","368.02"
"09-08-23 / 06:00 AM","Upper","324","40","2","340.76"
"09-08-23 / 06:00 AM","Lower","104","35","2","364.5"
"09-08-23 / 06:00 AM","Lower","135","29","1","1000"
"09-07-23 / 08:39 PM","Upper","328","18","1","229.81"
"09-07-23 / 08:39 PM","Upper","328","15","2","230.05"
"09-07-23 / 08:39 PM","Lower","104","21","1","495"
"09-07-23 / 12:23 PM","Upper","325","35","4","464.95"
"09-07-23 / 12:23 PM","Field","FLRA","6","1","1530"
"09-07-23 / 02:49 AM","Upper","325","35","4","464.95"
"09-07-23 / 02:49 AM","Upper","324","40","2","198.98"
"09-07-23 / 02:49 AM","Field","FLRL","17","1","1382.93"
"09-07-23 / 02:49 AM","Lower","124","37","1","981"
"09-06-23 / 04:48 PM","Upper","340","29","1","391"
"09-06-23 / 04:48 PM","Upper","301","40","1","191.09"
"09-06-23 / 04:48 PM","Upper","330","32","2","304.41"
"09-06-23 / 04:48 PM","Upper","302","25","2","316.52"
"09-06-23 / 04:48 PM","Upper","322","2","2","224.1"
"09-06-23 / 12:28 AM","Field","B-Hive B","","1","2037"
"09-06-23 / 12:28 AM","Upper","304","33","2","233.26"
"09-06-23 / 12:28 AM","Upper","321","25","5","233.26"
"09-06-23 / 12:28 AM","Upper","304","31","3","233.26"
"09-06-23 / 12:28 AM","Upper","341","12","1","273.18"
"09-06-23 / 12:28 AM","Upper","321","24","5","233.26"
"09-06-23 / 12:28 AM","Upper","304","30","4","233.26"
"09-06-23 / 12:28 AM","Upper","321","23","5","233.26"
"09-06-23 / 12:28 AM","Upper","321","22","5","233.26"
"09-06-23 / 12:28 AM","Upper","321","20","5","233.26"
"09-06-23 / 12:28 AM","Upper","321","21","5","233.26"
"09-06-23 / 12:28 AM","Upper","321","19","5","233.26"
"09-05-23 / 02:49 PM","Upper","322","32","2","218.25"
"09-05-23 / 02:49 PM","Upper","322","40","2","214.39"
"09-05-23 / 02:49 PM","Upper","322","35","4","214.39"
