"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-20-22 / 10:49 PM","Field Box MVP","11FD","M","1","248.38"
"11-20-22 / 10:48 PM","Reserve MVP","1RS","K","1","495"
"11-20-22 / 10:48 PM","Top Deck","7TD","D","3","180"
"11-20-22 / 10:48 PM","Top Deck","13TD","A","2","190"
"11-20-22 / 10:48 PM","Reserve MVP","7RS","J","1","400"
"11-20-22 / 10:48 PM","Executive Club","259CL","C","2","281.19"
"11-20-22 / 10:48 PM","Field Box MVP","11FD","G","1","257.76"
"11-20-22 / 10:48 PM","Field Box MVP","10FD","A","3","398.35"
"11-20-22 / 07:24 PM","Field","P","19","2","652.5"
"11-20-22 / 07:24 PM","Reserve MVP","9RS","M","2","189.15"
"11-20-22 / 07:24 PM","Reserve MVP","4RS","Hh","1","180"
"11-20-22 / 07:24 PM","Top Deck","3TD","N","1","203.7"
"11-20-22 / 07:24 PM","Field Box MVP","12FD","R","1","285"
"11-20-22 / 07:24 PM","Field Box MVP","12FD","V","2","285"
"11-20-22 / 07:24 PM","Field Box MVP","9FD","M","1","317.3"
"11-20-22 / 07:24 PM","Preferred Loge Box Value","166LG","K","2","125.1"
"11-20-22 / 07:24 PM","Preferred Reserve","45RS","BB","1","180.9"
"11-20-22 / 07:24 PM","Preferred Reserve","54RS","GG","1","118.3"
"11-20-22 / 07:24 PM","Top Deck","12TD","R","1","179.1"
"11-20-22 / 07:24 PM","Infield Box","30FD","L","1","675"
"11-20-22 / 07:24 PM","Preferred Reserve","41RS","JJ","1","225"
"11-20-22 / 07:24 PM","Field Box MVP","7FD","F","1","356.25"
"11-20-22 / 07:24 PM","Preferred Field Value","46FD","T","2","479.4"
"11-20-22 / 03:51 PM","Field Box MVP","12FD","V","1","276"
"11-20-22 / 03:50 PM","Field Box MVP","1FD","K","1","285"
"11-20-22 / 03:50 PM","Field Box MVP","15FD","A","3","495"
"11-20-22 / 03:50 PM","Preferred Loge Box Value","157LG","N","1","360"
"11-20-22 / 03:50 PM","Loge Box MVP","109LG","F","1","292.5"
"11-20-22 / 03:50 PM","Reserve MVP","2RS","R","3","360"
"11-20-22 / 03:50 PM","Loge Box MVP","107LG","L","2","284.82"
"11-20-22 / 03:50 PM","Preferred Reserve","42RS","AA","2","190"
"11-20-22 / 12:51 PM","Field Box MVP","8FD","D","2","328.06"
"11-20-22 / 12:51 PM","Infield Reserve","24RS","L","2","355.5"
"11-20-22 / 12:51 PM","Field Box MVP","7FD","A","2","315"
"11-20-22 / 12:51 PM","Infield Box","27FD","U","1","450"
"11-20-22 / 12:51 PM","Preferred Reserve","57RS","EE","2","126.54"
"11-20-22 / 12:51 PM","Top Deck","5TD","B","2","180"
"11-20-22 / 12:51 PM","Infield Reserve","33RS","AA","2","190"
"11-20-22 / 12:51 PM","Preferred Reserve","56RS","M","2","133"
"11-20-22 / 12:51 PM","Preferred Reserve","56RS","L","2","133"
"11-20-22 / 12:51 PM","Preferred Reserve","59RS","A","3","156.75"
"11-20-22 / 12:51 PM","Infield Box Value","35FD","F","3","805.5"
"11-20-22 / 12:51 PM","Field Box MVP","15FD","D","2","351.49"
"11-20-22 / 12:51 PM","Loge Box MVP","103LG","P","2","316.83"
"11-20-22 / 12:51 PM","Preferred Loge Box","156LG","H","4","302.25"
"11-20-22 / 12:51 PM","Field Box MVP","12FD","K","2","265.05"
"11-20-22 / 12:51 PM","Field Box MVP","1FD","S","2","232.5"
"11-20-22 / 12:51 PM","Infield Reserve","37RS","FF","4","187.46"
"11-20-22 / 12:51 PM","Preferred Loge Box Value","165LG","A","2","238.64"
"11-20-22 / 12:50 PM","Top Deck","4TD","G","2","178.09"
"11-20-22 / 12:50 PM","Preferred Reserve","57RS","GG","3","126.54"
"11-20-22 / 12:50 PM","Preferred Reserve","45RS","CC","2","168.71"
"11-20-22 / 12:50 PM","Preferred Reserve","38RS","JJ","2","187.46"
"11-20-22 / 12:50 PM","Field","K","18","1","675"
"11-20-22 / 12:50 PM","Field Box MVP","3FD","B","2","285"
"11-20-22 / 12:50 PM","Preferred Reserve","45RS","AA","4","190"
"11-20-22 / 12:50 PM","Field Box MVP","18FD","H","2","474.33"
